,TEXT,START,END,LABEL
0,Bacia,1642,1647,B-BACIA
1,de,1648,1650,I-BACIA
2,Santos,1651,1657,I-BACIA
3,brechas,2170,2177,B-ROCHA
4,carbonáticas,2178,2190,I-ROCHA
5,bacias,2386,2392,B-BACIA
6,Mioceno-Plioceno,2537,2553,B-UNIDADE_CRONO
7,Mioceno-Plioceno,2624,2640,B-UNIDADE_CRONO
8,Mioceno-Plioceno,2687,2703,B-UNIDADE_CRONO
9,bacia,2926,2931,B-BACIA
10,brechas,3487,3494,B-ROCHA
11,tufas,4474,4479,B-ROCHA
12,FORMAÇÃO,4624,4632,B-UNIDADE_LITO
13,fanerozóico,5063,5074,B-UNIDADE_CRONO
14,Mesozóico,5211,5220,B-UNIDADE_CRONO
15,Jurássico,5403,5412,B-UNIDADE_CRONO
16,cretáceo,5715,5723,B-UNIDADE_CRONO
17,cenozoico,5796,5805,B-UNIDADE_CRONO
18,mioceno,5978,5985,B-UNIDADE_CRONO
19,Oligoceno,6145,6154,B-UNIDADE_CRONO
20,EoMioceno,6270,6279,B-UNIDADE_CRONO
21,NeoMioceno,6383,6393,B-UNIDADE_CRONO
22,Serra,7409,7414,B-ROCHA
23,bacias,8073,8079,B-BACIA
24,águas,9638,9643,B-FLUIDODATERRA
25,mudstones,9816,9825,B-ROCHA
26,Fm.,9887,9890,B-UNIDADE_LITO
27,Chalk,9891,9896,I-UNIDADE_LITO
28,Hills,9897,9902,I-UNIDADE_LITO
29,grainstones,9966,9977,B-ROCHA
30,bacia,10199,10204,B-BACIA
31,Mioceno,10215,10222,B-UNIDADE_CRONO
32,sedimentos,10354,10364,B-NÃOCONSOLID
33,rochas,10384,10390,B-ROCHA
34,vulcânicas,10391,10401,I-ROCHA
35,rochas,10478,10484,B-ROCHA
36,sedimentares,10485,10497,I-ROCHA
37,Sedimentos,11289,11299,B-NÃOCONSOLID
38,águas,11530,11535,B-FLUIDODATERRA
39,águas,11612,11617,B-FLUIDODATERRA
40,sedimentos,11728,11738,B-NÃOCONSOLID
41,agua,11885,11889,B-FLUIDODATERRA
42,doce,11890,11894,I-FLUIDODATERRA
43,Pleistoceno,12934,12945,B-UNIDADE_CRONO
44,água,13570,13574,B-FLUIDODATERRA
45,água,13649,13653,B-FLUIDODATERRA
46,água,14063,14067,B-FLUIDODATERRA
47,embasamento,14164,14175,B-UNIDADE_LITO
48,Gilbert,14365,14372,B-BACIA
49,laminitos,14838,14847,B-ROCHA
50,embasamento,15063,15074,B-UNIDADE_LITO
51,rocha,15854,15859,B-ROCHA
52,tufas,16957,16962,B-ROCHA
53,águas,17286,17291,B-FLUIDODATERRA
54,tufas,17383,17388,B-ROCHA
55,calcárias,17389,17398,I-ROCHA
56,tufas,17552,17557,B-ROCHA
57,rocha,18038,18043,B-ROCHA
58,embasamento,18047,18058,B-UNIDADE_LITO
59,água,18415,18419,B-FLUIDODATERRA
60,tufas,19164,19169,B-ROCHA
61,água,19621,19625,B-FLUIDODATERRA
62,cascatas,19838,19846,B-NÃOCONSOLID
63,piscinas,19859,19867,B-POÇO
64,tufas,21157,21162,B-ROCHA
65,halita,21763,21769,B-ROCHA
66,bacias,22963,22969,B-BACIA
67,água,23138,23142,B-FLUIDODATERRA
68,doce,23143,23147,I-FLUIDODATERRA
69,Bacia,24234,24239,B-BACIA
70,de,24240,24242,I-BACIA
71,Santos,24243,24249,I-BACIA
72,Campos,24252,24258,B-BACIA
73,bacias,25076,25082,B-BACIA
74,de,25083,25085,I-BACIA
75,Santos,25086,25092,I-BACIA
76,Campos,25095,25101,B-BACIA
