,TEXT,START,END,LABEL
0,Reconcavo,1051,1060,B-BACIA
1,Agua,2011,2015,B-CAMPO
2,Grande,2016,2022,I-CAMPO
3,Itaparica,3532,3541,B-CAMPO
4,Dom,4006,4009,B-CAMPO
5,Joao,4010,4014,I-CAMPO
6,Candeias,4016,4024,B-CAMPO
7,Agua,5460,5464,B-CAMPO
8,Comprida,5465,5473,I-CAMPO
9,Recôncavo,5853,5862,B-BACIA
10,Agua,6067,6071,B-CAMPO
11,Lobato,6654,6660,B-CAMPO
12,Reconcavo,6717,6726,B-BACIA
13,Reconcavo,8394,8403,B-BACIA
14,Dom,8766,8769,B-CAMPO
15,Joao,8770,8774,I-CAMPO
16,Itaparica,8780,8789,B-CAMPO
17,Reconcavo,9665,9674,B-BACIA
18,Reconcavo,10204,10213,B-BACIA
19,Dom,10332,10335,B-CAMPO
20,João,10336,10340,I-CAMPO
21,Itaparica,10538,10547,B-CAMPO
22,Itaparica,10612,10621,B-CAMPO
23,Dom,11061,11064,B-CAMPO
24,Joao,11065,11069,I-CAMPO
25,Reconcavo,12408,12417,B-BACIA
26,Itaparica,14115,14124,B-CAMPO
27,Itaparica,14956,14965,B-CAMPO
28,Reconcavo,17323,17332,B-BACIA
29,Candeias,18524,18532,B-CAMPO
30,Itaparica,18799,18808,B-CAMPO
