,TEXT,START,END,LABEL
0,poços,541,546,B-POÇO
1,Cusávão,1093,1100,B-UNIDADE_CRONO
2,frlhos,1422,1428,B-ROCHA
3,bacia,1869,1874,B-BACIA
4,Cretáceo,2385,2393,B-UNIDADE_CRONO
5,Jururio,2466,2473,B-UNIDADE_CRONO
6,poços,2609,2614,B-POÇO
7,Curarú,7019,7025,B-UNIDADE_CRONO
8,sedimentos,8783,8793,B-NÃOCONSOLID
9,rochas,9793,9799,B-ROCHA
10,qrágas,11777,11783,B-UNIDADE_LITO
11,Loctóuica,11784,11793,I-UNIDADE_LITO
12,idade,12199,12204,B-UNIDADE_CRONO
13,alosinica,12205,12214,I-UNIDADE_CRONO
14,poço,13323,13327,B-POÇO
15,Jepusitáilos,13839,13851,B-UNIDADE_CRONO
16,agua,14323,14327,B-FLUIDODATERRA
17,doce,14328,14332,I-FLUIDODATERRA
18,Cestaceos,15069,15078,B-UNIDADE_CRONO
19,poço,17670,17674,B-POÇO
20,Silto,17790,17795,B-NÃOCONSOLID
21,Siltito,17877,17884,B-ROCHA
22,isitos,18041,18047,B-ROCHA
23,poço,18772,18776,B-POÇO
24,carvão,20066,20072,B-ROCHA
25,dboritos,20459,20467,B-ROCHA
26,siltitos,20531,20539,B-ROCHA
27,rocha,20891,20896,B-ROCHA
28,cretáeisor,21465,21475,B-UNIDADE_CRONO
29,rocha,21984,21989,B-ROCHA
30,agua,23329,23333,B-FLUIDODATERRA
31,siltito,23682,23689,B-ROCHA
32,arenits,23699,23706,B-ROCHA
33,sedimentos,24123,24133,B-NÃOCONSOLID
34,sedinestes,24402,24412,B-NÃOCONSOLID
35,silte,25341,25346,B-NÃOCONSOLID
36,sedimentos,25516,25526,B-NÃOCONSOLID
37,sedimentos,25630,25640,B-NÃOCONSOLID
38,Locenog,25731,25738,B-UNIDADE_CRONO
39,agua,26429,26433,B-FLUIDODATERRA
40,agua,26460,26464,B-FLUIDODATERRA
41,rocha,26749,26754,B-ROCHA
42,Loceno,27048,27054,B-UNIDADE_CRONO
43,rochas,27156,27162,B-ROCHA
44,areia,27232,27237,B-NÃOCONSOLID
45,areia,27388,27393,B-NÃOCONSOLID
46,aguas,28093,28098,B-FLUIDODATERRA
47,aguas,29817,29822,B-FLUIDODATERRA
48,rochas,29888,29894,B-ROCHA
49,rochas,30344,30350,B-ROCHA
50,seixos,30399,30405,B-NÃOCONSOLID
51,aguas,30492,30497,B-FLUIDODATERRA
52,aguas,30664,30669,B-FLUIDODATERRA
53,rocha,33108,33113,B-ROCHA
54,silte,33149,33154,B-NÃOCONSOLID
55,Cretáceo,33458,33466,B-UNIDADE_CRONO
56,Cretáceo,33648,33656,B-UNIDADE_CRONO
57,arenitos,34055,34063,B-ROCHA
58,siltos,34200,34206,B-NÃOCONSOLID
59,argilas,34209,34216,B-NÃOCONSOLID
60,arenitos,35099,35107,B-ROCHA
61,poço,35201,35205,B-POÇO
62,agua,35680,35684,B-FLUIDODATERRA
63,agua,36822,36826,B-FLUIDODATERRA
64,agua,36881,36885,B-FLUIDODATERRA
65,agua,37246,37250,B-FLUIDODATERRA
66,Quaternário,37444,37455,B-UNIDADE_CRONO
67,agua,38198,38202,B-FLUIDODATERRA
68,agua,38686,38690,B-FLUIDODATERRA
69,arenitos,39122,39130,B-ROCHA
70,siltito,39315,39322,B-ROCHA
71,folhelhos,39682,39691,B-ROCHA
72,formação,39695,39703,B-UNIDADE_LITO
73,Longi,39704,39709,I-UNIDADE_LITO
74,bacia,39725,39730,B-BACIA
75,do,39731,39733,I-BACIA
76,Sorunhioo,39734,39743,I-BACIA
77,poço,40032,40036,B-POÇO
78,socimentos,40464,40474,B-NÃOCONSOLID
79,U,40487,40488,B-ROCHA
80,quartaito,40489,40498,B-ROCHA
81,poços,40781,40786,B-POÇO
82,Limoeiro,40940,40948,B-CAMPO
83,poço,41709,41713,B-POÇO
84,sedimentos,42039,42049,B-NÃOCONSOLID
85,poços,42595,42600,B-POÇO
86,Linoetsvo,44080,44089,B-UNIDADE_CRONO
87,idade,44200,44205,B-UNIDADE_CRONO
88,formação,45917,45925,B-UNIDADE_LITO
89,Piraeus,45926,45933,I-UNIDADE_LITO
90,“,46326,46327,B-UNIDADE_LITO
91,alânópolis,46327,46337,I-UNIDADE_LITO
92,Hioseno,48530,48537,B-UNIDADE_CRONO
93,Curaró,49408,49414,B-CAMPO
94,formação,50388,50396,B-UNIDADE_LITO
95,Gurete,50397,50403,I-UNIDADE_LITO
96,aguas,50563,50568,B-FLUIDODATERRA
97,seiimentos,50786,50796,B-NÃOCONSOLID
98,“,50854,50855,B-UNIDADE_CRONO
99,Soceno,50855,50861,I-UNIDADE_CRONO
100,Faoebisldno,51222,51233,B-UNIDADE_CRONO
101,poço,51323,51327,B-POÇO
102,corcsito,57090,57098,B-ROCHA
103,pel,58618,58621,B-ROCHA
104,poço,61212,61216,B-POÇO
105,formação,67028,67036,B-UNIDADE_LITO
106,Sowden,67037,67043,I-UNIDADE_LITO
107,Je,68431,68433,B-UNIDADE_CRONO
108,aguas,68719,68724,B-FLUIDODATERRA
109,poco,69770,69774,B-POÇO
110,poço,75098,75102,B-POÇO
111,Jouprismto,75598,75608,B-ROCHA
112,deseritos,76390,76399,B-ROCHA
113,poço,76762,76766,B-POÇO
114,Cisleího,76767,76775,I-POÇO
115,Coeano,77420,77426,B-UNIDADE_CRONO
116,poço,78443,78447,B-POÇO
117,Uinl~Pig,78448,78456,I-POÇO
118,poço,79180,79184,B-POÇO
119,Jurarã,79188,79194,B-CAMPO
120,poço,80488,80492,B-POÇO
121,“,80772,80773,B-UNIDADE_CRONO
122,Po,81351,81353,B-POÇO
123,poço,81986,81990,B-POÇO
124,Filoseno,83172,83180,B-UNIDADE_CRONO
125,iioceno,83311,83318,B-UNIDADE_CRONO
126,Cururá,84016,84022,B-CAMPO
127,Quisseriáão,86515,86526,B-UNIDADE_CRONO
128,poço,87015,87019,B-POÇO
129,CRalePA,87020,87027,I-POÇO
130,poço,89085,89089,B-POÇO
131,poço,91187,91191,B-POÇO
132,sedimentos,92480,92490,B-NÃOCONSOLID
133,poço,93319,93323,B-POÇO
134,poço,94233,94237,B-POÇO
135,poço,94485,94489,B-POÇO
136,anitos,95099,95105,B-ROCHA
137,poço,95653,95657,B-POÇO
138,poço,96274,96278,B-POÇO
139,Torclaito,96675,96684,B-ROCHA
140,poço,100930,100934,B-POÇO
141,poço,100981,100985,B-POÇO
142,Jimloli,100986,100993,I-POÇO
