,TEXT,START,END,LABEL
0,Andar,638,643,B-UNIDADE_CRONO
1,Fm,4175,4177,B-UNIDADE_LITO
2,Sergi,4178,4183,I-UNIDADE_LITO
3,arenitos,4997,5005,B-ROCHA
4,arenitos,5085,5093,B-ROCHA
5,arenitos,5295,5303,B-ROCHA
6,arenitos,5418,5426,B-ROCHA
7,arenitos,5461,5469,B-ROCHA
8,arenitos,5545,5553,B-ROCHA
9,arenitos,5593,5601,B-ROCHA
10,arenitos,5671,5679,B-ROCHA
11,arenitos,5717,5725,B-ROCHA
12,arenitos,5799,5807,B-ROCHA
13,arenito,5871,5878,B-ROCHA
14,arenito,5912,5919,B-ROCHA
15,arenitos,6020,6028,B-ROCHA
16,arenitos,6048,6056,B-ROCHA
17,arenito,6094,6101,B-ROCHA
18,arenitos,6249,6257,B-ROCHA
19,arenito,6379,6386,B-ROCHA
20,arenito,6524,6531,B-ROCHA
21,arenitos,6544,6552,B-ROCHA
22,arenito,6697,6704,B-ROCHA
23,conglomerado,6755,6767,B-ROCHA
24,conglomerado,6800,6812,B-ROCHA
25,conglomerado,6847,6859,B-ROCHA
26,conglomerado,6895,6907,B-ROCHA
27,conglome,6944,6952,B-ROCHA
28,conglomerado,6995,7007,B-ROCHA
29,conglomerados,7064,7077,B-ROCHA
30,calcários,7110,7119,B-ROCHA
31,calcários,7262,7271,B-ROCHA
32,calcârios,7393,7402,B-ROCHA
33,calcarios,7519,7528,B-ROCHA
34,calcários,7641,7650,B-ROCHA
35,calcários,7760,7769,B-ROCHA
36,calcários,7879,7888,B-ROCHA
37,Bacia,8017,8022,B-BACIA
38,do,8023,8025,I-BACIA
39,Recôncavo,8026,8035,I-BACIA
40,Andar,8039,8044,B-UNIDADE_CRONO
41,Rio,8045,8048,I-UNIDADE_CRONO
42,da,8049,8051,I-UNIDADE_CRONO
43,Serra,8052,8057,I-UNIDADE_CRONO
44,Bacia,8085,8090,B-BACIA
45,do,8091,8093,I-BACIA
46,Recôncavo,8094,8103,I-BACIA
47,Andar,8107,8112,B-UNIDADE_CRONO
48,Rio,8113,8116,I-UNIDADE_CRONO
49,da,8117,8119,I-UNIDADE_CRONO
50,Serra,8120,8125,I-UNIDADE_CRONO
51,petróleo,8310,8318,B-FLUIDODATERRA
52,Andar,8360,8365,B-UNIDADE_CRONO
53,Rio,8366,8369,I-UNIDADE_CRONO
54,da,8370,8372,I-UNIDADE_CRONO
55,Serra,8373,8378,I-UNIDADE_CRONO
56,Bacia,8383,8388,B-BACIA
57,do,8389,8391,I-BACIA
58,Re,8392,8394,I-BACIA
59,Andar,8409,8414,B-UNIDADE_CRONO
60,Rio,8415,8418,I-UNIDADE_CRONO
61,da,8419,8421,I-UNIDADE_CRONO
62,Serra,8422,8427,I-UNIDADE_CRONO
63,Bacia,8431,8436,B-BACIA
64,do,8437,8439,I-BACIA
65,Recôncavo,8440,8449,I-BACIA
66,Cretáceo,8494,8502,B-UNIDADE_CRONO
67,Inferior,8503,8511,I-UNIDADE_CRONO
68,Neocomiano,8528,8538,B-UNIDADE_CRONO
69,Andar,9179,9184,B-UNIDADE_CRONO
70,Jurássico,9277,9286,B-UNIDADE_CRONO
71,bacia,9419,9424,B-BACIA
72,Andar,9491,9496,B-UNIDADE_CRONO
73,Rio,9497,9500,I-UNIDADE_CRONO
74,da,9501,9503,I-UNIDADE_CRONO
75,Serra,9504,9509,I-UNIDADE_CRONO
76,Andar,9883,9888,B-UNIDADE_CRONO
77,Andar,9992,9997,B-UNIDADE_CRONO
78,poço,10006,10010,B-POÇO
79,Andar,10568,10573,B-UNIDADE_CRONO
80,Rio,10574,10577,I-UNIDADE_CRONO
81,da,10578,10580,I-UNIDADE_CRONO
82,Serra,10581,10586,I-UNIDADE_CRONO
83,Bacia,10765,10770,B-BACIA
84,do,10771,10773,I-BACIA
85,Rec6ncavo,10774,10783,I-BACIA
86,bacia,10822,10827,B-BACIA
87,sedimentos,10998,11008,B-NÃOCONSOLID
88,Andar,11079,11084,B-UNIDADE_CRONO
89,Rio,11085,11088,I-UNIDADE_CRONO
90,da,11089,11091,I-UNIDADE_CRONO
91,Serra,11092,11097,I-UNIDADE_CRONO
92,Bacia,12217,12222,B-BACIA
93,do,12223,12225,I-BACIA
94,Recôncavo,12226,12235,I-BACIA
95,Andar,12247,12252,B-UNIDADE_CRONO
96,Rio,12253,12256,I-UNIDADE_CRONO
97,da,12257,12259,I-UNIDADE_CRONO
98,Serra,12260,12265,I-UNIDADE_CRONO
99,hidrocarbonetos,12371,12386,B-FLUIDODATERRA
