,TEXT,START,END,LABEL
0,Reconcavo,1280,1289,B-BACIA
1,Reconcavo,1333,1342,B-BACIA
2,Agua,2243,2247,B-CAMPO
3,Grande,2248,2254,I-CAMPO
4,Itaparica,3753,3762,B-CAMPO
5,Dom,4229,4232,B-CAMPO
6,Joao,4233,4237,I-CAMPO
7,Candeias,4239,4247,B-CAMPO
8,Agua,5704,5708,B-CAMPO
9,Comprida,5709,5717,I-CAMPO
10,Reconcavo,6102,6111,B-BACIA
11,Agua,6318,6322,B-CAMPO
12,Recôncavo,6973,6982,B-BACIA
13,ES-10,10059,10064,B-POÇO
14,Reconcavo,10381,10390,B-BACIA
15,Itaparica,13031,13040,B-CAMPO
16,Candeias,13223,13231,B-CAMPO
17,Candeias,14136,14144,B-CAMPO
18,Itaparica,18017,18026,B-CAMPO
19,Candeias,18197,18205,B-CAMPO
20,Candeias,19968,19976,B-CAMPO
21,Itaparica,20004,20013,B-CAMPO
22,Candeias,24133,24141,B-CAMPO
