,TEXT,START,END,LABEL
0,Recôncavo,94,103,B-BACIA
1,Tucano,113,119,B-BACIA
2,basin,120,125,I-BACIA
3,Tucano,286,292,B-BACIA
4,Reconcavo,706,715,B-BACIA
5,Reconcavo,1335,1344,B-BACIA
6,Tucano,1372,1378,B-BACIA
7,Reconcavo,1738,1747,B-BACIA
8,Tucano~of,1766,1775,B-BACIA
9,Tucano,1845,1851,B-BACIA
10,Reconcavo,1913,1922,B-BACIA
11,Tucano,1939,1945,B-BACIA
12,Recôncavo,1955,1964,B-BACIA
13,Candeias,2037,2045,B-CAMPO
14,Reconcavo,2130,2139,B-BACIA
15,Tucano,2171,2177,B-BACIA
16,Tueano,2263,2269,B-BACIA
17,Tueano,2331,2337,B-BACIA
18,Reeoncavo,2406,2415,B-BACIA
19,Tucano,2584,2590,B-BACIA
20,Reconcavo,2759,2768,B-BACIA
