,TEXT,START,END,LABEL
0,Marine,1082,1088,I-UNIDADE_CRONO
1,Poço,4303,4307,B-POÇO
2,1,4308,4309,I-POÇO
3,Poço,4843,4847,B-POÇO
4,Poço,6365,6369,B-POÇO
5,rocha,8468,8473,B-ROCHA
6,rochas,8769,8775,B-ROCHA
7,petróleo,8827,8835,B-FLUIDODATERRA
8,campos,8928,8934,B-CAMPO
9,rocha,9298,9303,B-ROCHA
10,agua,9351,9355,B-FLUIDODATERRA
11,petróleo,9806,9814,B-FLUIDODATERRA
12,campos,9919,9925,B-CAMPO
13,rocha,10136,10141,B-ROCHA
14,rocha,10897,10902,B-ROCHA
15,rocha,10949,10954,B-ROCHA
16,rocha,11036,11041,B-ROCHA
17,rocha,11136,11141,B-ROCHA
18,poços,11567,11572,B-POÇO
19,tuhos,12610,12615,B-ROCHA
20,poço,12811,12815,B-POÇO
21,poço,13577,13581,B-POÇO
22,água,13852,13856,B-FLUIDODATERRA
23,água,13858,13862,B-FLUIDODATERRA
24,salgada,13863,13870,I-FLUIDODATERRA
25,óleo,13878,13882,B-FLUIDODATERRA
26,água,13896,13900,B-FLUIDODATERRA
27,poço,14849,14853,B-POÇO
28,água,19598,19602,B-FLUIDODATERRA
29,poço,19991,19995,B-POÇO
30,poço,20530,20534,B-POÇO
31,poços,20652,20657,B-POÇO
32,poço,20773,20777,B-POÇO
33,poço,21127,21131,B-POÇO
34,poço,21323,21327,B-POÇO
35,poço,21786,21790,B-POÇO
36,água,21891,21895,B-FLUIDODATERRA
37,doce,21896,21900,I-FLUIDODATERRA
38,água,21902,21906,B-FLUIDODATERRA
39,salgada,21907,21914,I-FLUIDODATERRA
40,óleo,21922,21926,B-FLUIDODATERRA
41,água,21940,21944,B-FLUIDODATERRA
42,poço,22111,22115,B-POÇO
43,poço,22568,22572,B-POÇO
44,água,22635,22639,B-FLUIDODATERRA
45,poço,22992,22996,B-POÇO
46,areia,23012,23017,B-NÃOCONSOLID
47,areia,23026,23031,B-NÃOCONSOLID
48,poços,23268,23273,B-POÇO
49,poços,23456,23461,B-POÇO
50,areia,24387,24392,B-NÃOCONSOLID
51,conglomerados,25406,25419,B-ROCHA
52,12,28185,28187,I-POÇO
53,9,28527,28528,I-POÇO
54,1/,28529,28531,I-POÇO
55,9,28537,28538,B-POÇO
56,8,28673,28674,I-POÇO
57,1/,28675,28677,I-POÇO
58,poço,28999,29003,B-POÇO
59,poços,29038,29043,B-POÇO
60,poço,29205,29209,B-POÇO
61,poço,29460,29464,B-POÇO
62,poço,30016,30020,B-POÇO
63,poço,30390,30394,B-POÇO
64,cascalho,30532,30540,B-NÃOCONSOLID
65,poço,30587,30591,B-POÇO
66,cascal,30794,30800,B-NÃOCONSOLID
67,poço,31296,31300,B-POÇO
68,bombas,32860,32866,B-NÃOCONSOLID
69,bomba,33033,33038,B-NÃOCONSOLID
70,bomba,33246,33251,B-NÃOCONSOLID
71,poço,33908,33912,B-POÇO
72,bomba,34096,34101,B-NÃOCONSOLID
73,bomba,34218,34223,B-NÃOCONSOLID
74,bomba,34835,34840,B-NÃOCONSOLID
75,poços,35909,35914,B-POÇO
76,poços,36209,36214,B-POÇO
77,poço,36425,36429,B-POÇO
78,poço,36476,36480,B-POÇO
79,poços,36529,36534,B-POÇO
80,poço,36670,36674,B-POÇO
81,poço,36792,36796,B-POÇO
82,poço,36890,36894,B-POÇO
83,Poços,36979,36984,B-POÇO
84,poços,37017,37022,B-POÇO
85,poço,37129,37133,B-POÇO
86,poços,37188,37193,B-POÇO
87,poço,38346,38350,B-POÇO
88,bomba,38980,38985,B-NÃOCONSOLID
89,arenito,40047,40054,B-ROCHA
90,argilito,40072,40080,B-ROCHA
91,siltito,40083,40090,B-ROCHA
92,poço,40286,40290,B-POÇO
93,Poço,41089,41093,B-POÇO
94,poço,41138,41142,B-POÇO
95,poço,41569,41573,B-POÇO
96,seixos,41938,41944,B-NÃOCONSOLID
97,conglomerados,41970,41983,B-ROCHA
98,cascalho,42283,42291,B-NÃOCONSOLID
99,cascalho,42295,42303,B-NÃOCONSOLID
100,cascalhos,42578,42587,B-NÃOCONSOLID
101,bomba,43313,43318,B-NÃOCONSOLID
102,bomba,43885,43890,B-NÃOCONSOLID
103,bomba,44647,44652,B-NÃOCONSOLID
104,bomba,45387,45392,B-NÃOCONSOLID
105,poço,45445,45449,B-POÇO
106,7530,45450,45454,I-POÇO
107,poço,45544,45548,B-POÇO
108,bomba,46265,46270,B-NÃOCONSOLID
109,poço,47409,47413,B-POÇO
110,cascalho,47447,47455,B-NÃOCONSOLID
111,poço,47468,47472,B-POÇO
112,gás,47778,47781,B-FLUIDODATERRA
113,cascalho,47928,47936,B-NÃOCONSOLID
114,bomba,48930,48935,B-NÃOCONSOLID
115,argila,49240,49246,B-NÃOCONSOLID
116,seixos,54632,54638,B-NÃOCONSOLID
117,areia,55017,55022,B-NÃOCONSOLID
118,seixos,55211,55217,B-NÃOCONSOLID
119,conglome,55280,55288,B-ROCHA
120,Espelho,58419,58426,B-ROCHA
121,Espelho,58510,58517,B-ROCHA
122,Espelho,58608,58615,B-ROCHA
123,poços,60508,60513,B-POÇO
124,poços,60543,60548,B-POÇO
125,poço,62026,62030,B-POÇO
126,bomba,63312,63317,B-NÃOCONSOLID
127,poço,63767,63771,B-POÇO
128,pedras,63896,63902,B-ROCHA
129,poço,64772,64776,B-POÇO
130,bomba,66239,66244,B-NÃOCONSOLID
131,poço,67501,67505,B-POÇO
132,bombas,67794,67800,B-NÃOCONSOLID
133,bombas,68459,68465,B-NÃOCONSOLID
134,bomba,68936,68941,B-NÃOCONSOLID
135,bomba,69015,69020,B-NÃOCONSOLID
136,bomba,69283,69288,B-NÃOCONSOLID
137,bombas,69594,69600,B-NÃOCONSOLID
