,TEXT,START,END,LABEL
0,Bacia,50,55,B-BACIA
1,de,56,58,I-BACIA
2,Ala,59,62,I-BACIA
3,bacia,214,219,B-BACIA
4,bacia,356,361,B-BACIA
5,de,362,364,I-BACIA
6,Alagoas,365,372,I-BACIA
7,bacias,548,554,B-BACIA
8,bacia,1310,1315,B-BACIA
9,bacia,2207,2212,B-BACIA
10,Bacia,2447,2452,B-BACIA
11,de,2453,2455,I-BACIA
12,Alagoas-Sergipe,2456,2471,I-BACIA
13,Bacia,3129,3134,B-BACIA
14,de,3135,3137,I-BACIA
15,Alagoas-Sergipe,3138,3153,I-BACIA
16,Comiasã,5029,5036,B-BACIA
17,Tucano,6551,6557,B-BACIA
18,Neo~.,6813,6818,B-UNIDADE_CRONO
19,mbriano,6825,6832,B-UNIDADE_CRONO
20,Pré-Caulbriano,7050,7064,B-UNIDADE_CRONO
21,Grupos,7344,7350,B-UNIDADE_LITO
22,Pré-Cambriano,7378,7391,B-UNIDADE_CRONO
23,Superior,7392,7400,I-UNIDADE_CRONO
24,rochas,7978,7984,B-ROCHA
25,Sistema,7988,7995,B-UNIDADE_CRONO
26,Cambriano,7996,8005,I-UNIDADE_CRONO
27,Pré-Cambriano,8027,8040,B-UNIDADE_CRONO
28,Bacia,8078,8083,B-BACIA
29,Bacia,8214,8219,B-BACIA
30,Sergipe-Alagoss,8220,8235,I-BACIA
31,rochas,8377,8383,B-ROCHA
32,pioneiro,8628,8636,B-POÇO
33,88-1-AL,8637,8644,B-POÇO
34,Sistema,8818,8825,B-UNIDADE_CRONO
35,Bacia,8842,8847,B-BACIA
36,Sergipe-Alagoas,8848,8863,I-BACIA
37,poços,9015,9020,B-POÇO
38,Sergipe,9493,9500,B-BACIA
39,sedimentos,9666,9676,B-NÃOCONSOLID
40,embasamento,9970,9981,B-UNIDADE_LITO
41,rochas,10559,10565,B-ROCHA
42,Sistema,10668,10675,B-UNIDADE_CRONO
43,CarbolÚfero,10943,10954,B-UNIDADE_CRONO
44,Superior,10955,10963,I-UNIDADE_CRONO
45,sedimentos,11084,11094,B-NÃOCONSOLID
46,Permiano,11159,11167,B-UNIDADE_CRONO
47,Sistema,11478,11485,B-UNIDADE_CRONO
48,Permiano,11486,11494,I-UNIDADE_CRONO
49,Bacia,11521,11526,B-BACIA
50,Sergipe-Alagoas,11527,11542,I-BACIA
51,fazenda,11552,11559,B-CAMPO
52,Alegrete,11560,11568,I-CAMPO
53,Bacia,11754,11759,B-BACIA
54,Sergipe-AI,11760,11770,I-BACIA
55,Cretáceo,11962,11970,B-UNIDADE_CRONO
56,Cretáceo,12050,12058,B-UNIDADE_CRONO
57,Série,12091,12096,B-UNIDADE_CRONO
58,Creíáceo,12097,12105,I-UNIDADE_CRONO
59,Bacia,12118,12123,B-BACIA
60,"Ser~pe""",12124,12131,I-BACIA
61,Albia,12171,12176,B-UNIDADE_CRONO
62,Aptiano,12203,12210,B-UNIDADE_CRONO
63,Andar,12664,12669,B-UNIDADE_CRONO
64,Alalt03SO,12670,12679,I-UNIDADE_CRONO
65,Andar,12681,12686,B-UNIDADE_CRONO
66,J,12687,12688,I-UNIDADE_CRONO
67,Série,12811,12816,B-UNIDADE_CRONO
68,BahiA,12817,12822,I-UNIDADE_CRONO
69,Série,12998,13003,B-UNIDADE_CRONO
70,Cre,13004,13007,I-UNIDADE_CRONO
71,áceo,13008,13012,I-UNIDADE_CRONO
72,andar,13369,13374,B-UNIDADE_CRONO
73,VN,13561,13563,B-POÇO
74,Andar,13723,13728,B-UNIDADE_CRONO
75,Brotas,13729,13735,I-UNIDADE_CRONO
76,Cretáceo,13776,13784,B-UNIDADE_CRONO
77,Inferior,13785,13793,I-UNIDADE_CRONO
78,Jurássico,13804,13813,B-UNIDADE_CRONO
79,Superior,13814,13822,I-UNIDADE_CRONO
80,andar,13935,13940,B-UNIDADE_CRONO
81,Brotas,13941,13947,I-UNIDADE_CRONO
82,Bacias,13977,13983,B-BACIA
83,Recôncavoa,14005,14015,B-BACIA
84,Tucano,14017,14023,B-BACIA
85,Jatobá,14026,14032,B-BACIA
86,Bacia,14057,14062,B-BACIA
87,de,14063,14065,I-BACIA
88,Araripe,14066,14073,I-BACIA
89,Bacia,14152,14157,B-BACIA
90,do,14158,14160,I-BACIA
91,Gabão,14161,14166,I-BACIA
92,Recôncavo,14343,14352,B-BACIA
93,Tucan<,14355,14361,B-BACIA
94,sedimentos,14468,14478,B-NÃOCONSOLID
95,Formação,14716,14724,B-UNIDADE_LITO
96,Barra,14725,14730,I-UNIDADE_LITO
97,de,14731,14733,I-UNIDADE_LITO
98,Itiúba,14734,14740,I-UNIDADE_LITO
99,Formação,14744,14752,B-UNIDADE_LITO
100,Serraria,14753,14761,I-UNIDADE_LITO
101,Formação,14874,14882,B-UNIDADE_LITO
102,Bananeiras,14883,14893,I-UNIDADE_LITO
103,Membro,14909,14915,B-UNIDADE_LITO
104,Candeeiro,14916,14925,I-UNIDADE_LITO
105,Formação,14929,14937,B-UNIDADE_LITO
106,Aracaré,14938,14945,I-UNIDADE_LITO
107,andar,14975,14980,B-UNIDADE_CRONO
108,Brotas,14981,14987,I-UNIDADE_CRONO
109,anaar,15181,15186,B-UNIDADE_CRONO
110,ozóieo,15235,15241,B-UNIDADE_CRONO
111,sedimento,15476,15485,B-NÃOCONSOLID
112,andar,15789,15794,B-UNIDADE_CRONO
113,Santo,15795,15800,I-UNIDADE_CRONO
114,"A..""",15801,15805,I-UNIDADE_CRONO
115,Bacia,15815,15820,B-BACIA
116,Sergipe,15821,15828,I-BACIA
117,Al~~ons,15829,15836,I-BACIA
118,poço,15881,15885,B-POÇO
119,VN-l,15886,15890,I-POÇO
