,TEXT,START,END,LABEL
0,Bacia,312,317,B-BACIA
1,de,318,320,I-BACIA
2,.llagoas,321,329,I-BACIA
3,bacia,472,477,B-BACIA
4,bacia,618,623,B-BACIA
5,de,624,626,I-BACIA
6,Alago~ergipe,627,639,I-BACIA
7,bacias,809,815,B-BACIA
8,petróleo,1010,1018,B-FLUIDODATERRA
9,bacia,1715,1720,B-BACIA
10,bacia,2712,2717,B-BACIA
11,Bacia,3282,3287,B-BACIA
12,Bacia,3864,3869,B-BACIA
13,bacia,4193,4198,B-BACIA
14,andares,7881,7888,B-UNIDADE_CRONO
15,Alagoas,7889,7896,I-UNIDADE_CRONO
16,Série,8401,8406,B-UNIDADE_CRONO
17,FORMAÇÃO,8700,8708,B-UNIDADE_LITO
18,Membro,8751,8757,B-UNIDADE_LITO
19,Maceió,8758,8764,I-UNIDADE_LITO
20,Camadas,8765,8772,I-UNIDADE_LITO
21,Membro,8798,8804,B-UNIDADE_LITO
22,Tabuleiro,8805,8814,I-UNIDADE_LITO
23,do,8815,8817,I-UNIDADE_LITO
24,Martins,8818,8825,I-UNIDADE_LITO
25,Membro,8826,8832,B-UNIDADE_LITO
26,Ca...,8833,8838,I-UNIDADE_LITO
27,Membro,8846,8852,B-UNIDADE_LITO
28,Ibt,8853,8856,I-UNIDADE_LITO
29,Membro,8912,8918,B-UNIDADE_LITO
30,Maceió,8919,8925,I-UNIDADE_LITO
31,Membro,8959,8965,B-UNIDADE_LITO
32,TaZuleiro,8966,8975,I-UNIDADE_LITO
33,do,8976,8978,I-UNIDADE_LITO
34,Martins,8979,8986,I-UNIDADE_LITO
35,Membro,8987,8993,B-UNIDADE_LITO
36,Membro,9003,9009,B-UNIDADE_LITO
37,Membro,9064,9070,B-UNIDADE_LITO
38,Oi~nhos,9071,9078,I-UNIDADE_LITO
39,Membro,9135,9141,B-UNIDADE_LITO
40,Maceió,9142,9148,I-UNIDADE_LITO
41,Membro,9149,9155,B-UNIDADE_LITO
42,Tabuleiro,9156,9165,I-UNIDADE_LITO
43,do,9166,9168,I-UNIDADE_LITO
44,J4artins,9169,9177,I-UNIDADE_LITO
45,Membro,9178,9184,B-UNIDADE_LITO
46,CanÓpo1is,9185,9194,I-UNIDADE_LITO
47,Membro,9195,9201,B-UNIDADE_LITO
48,Ibt....-a,9202,9211,I-UNIDADE_LITO
49,Membro,9212,9218,B-UNIDADE_LITO
50,Oi~irinhos,9219,9229,I-UNIDADE_LITO
51,Rochas,9350,9356,B-ROCHA
52,Formação,9464,9472,B-UNIDADE_LITO
53,Riaohuelo,9473,9482,I-UNIDADE_LITO
54,Membro,9548,9554,B-UNIDADE_LITO
55,Marui.m,9555,9562,I-UNIDADE_LITO
56,Membro,9724,9730,B-UNIDADE_LITO
57,Angico,9731,9737,I-UNIDADE_LITO
58,Mellbro,9738,9745,I-UNIDADE_LITO
59,Taquari,9746,9753,I-UNIDADE_LITO
60,Membro,10092,10098,B-UNIDADE_LITO
61,Aracaju,10099,10106,I-UNIDADE_LITO
62,Membro,10107,10113,B-UNIDADE_LITO
63,Sapucari,10114,10122,I-UNIDADE_LITO
64,Membro,10194,10200,B-UNIDADE_LITO
65,Sapucari,10201,10209,I-UNIDADE_LITO
66,Membro,10230,10236,B-UNIDADE_LITO
67,Aracaju,10237,10244,I-UNIDADE_LITO
68,Membro,10245,10251,B-UNIDADE_LITO
69,Sapu.cari,10252,10261,I-UNIDADE_LITO
70,Membro,10409,10415,B-UNIDADE_LITO
71,Calumbi,10416,10423,I-UNIDADE_LITO
72,Membro,10498,10504,B-UNIDADE_LITO
73,CfUumbi,10505,10512,I-UNIDADE_LITO
74,Membro,10513,10519,B-UNIDADE_LITO
75,Ma.ri,10520,10525,I-UNIDADE_LITO
