,TEXT,START,END,LABEL
0,Campos,230,236,B-BACIA
1,Maranhão,1294,1302,B-BACIA
2,Pedra,3662,3667,B-UNIDADE_LITO
3,de,3668,3670,I-UNIDADE_LITO
4,Fogo,3671,3675,I-UNIDADE_LITO
5,Pastos,3687,3693,B-CAMPO
6,Bons,3694,3698,I-CAMPO
7,Pastos,4039,4045,B-NÃOCONSOLID
8,Permian,4903,4910,B-UNIDADE_CRONO
9,Bons,6575,6579,I-UNIDADE_LITO
10,Poti,8398,8402,B-BACIA
11,Pedra,8445,8450,B-ROCHA
12,de,8451,8453,I-UNIDADE_LITO
13,Fogo,8454,8458,I-ROCHA
14,de,14249,14251,I-UNIDADE_LITO
15,Pastos,14340,14346,B-UNIDADE_LITO
16,Bons,14347,14351,I-UNIDADE_LITO
17,Pedra,15401,15406,B-ROCHA
18,de,15407,15409,I-ROCHA
19,Fogo,15410,15414,I-ROCHA
20,Fazenda,20634,20641,B-CAMPO
21,Motuca,20642,20648,I-CAMPO
22,Poti,34346,34350,B-BACIA
23,Maranhão,36542,36550,B-BACIA
24,Pedra,36856,36861,B-ROCHA
25,de,36862,36864,I-UNIDADE_LITO
26,Fogo,36865,36869,I-UNIDADE_LITO
27,Buriti,37494,37500,B-CAMPO
