,TEXT,START,END,LABEL
0,bacia,1292,1297,B-BACIA
1,Bacia,3308,3313,B-BACIA
2,4,3314,3315,I-BACIA
3,sedimentos,8539,8549,B-NÃOCONSOLID
4,idades,8553,8559,B-UNIDADE_CRONO
5,CarbonIfera,8560,8571,I-UNIDADE_CRONO
6,Teroiária,8576,8585,B-UNIDADE_CRONO
7,bacia,9856,9861,B-BACIA
8,Sergipe~\lagoas,9876,9891,B-BACIA
9,Aptiano-Albiano,10136,10151,B-UNIDADE_CRONO
10,Teroiário,10320,10329,B-UNIDADE_CRONO
11,Inferior,10330,10338,I-UNIDADE_CRONO
12,sedimentos,11015,11025,B-NÃOCONSOLID
13,Cretáceo,11038,11046,B-UNIDADE_CRONO
14,Cenozóico,11049,11058,B-UNIDADE_CRONO
15,rochas,11772,11778,B-ROCHA
16,sedi,11851,11855,B-NÃOCONSOLID
17,Devoniano,12380,12389,B-UNIDADE_CRONO
18,Inferior,12390,12398,I-UNIDADE_CRONO
19,Cretãoco,12405,12413,B-UNIDADE_CRONO
20,Paleozoico,12572,12582,B-UNIDADE_CRONO
21,Megozóicos,12595,12605,B-UNIDADE_CRONO
22,Paleozdico,12775,12785,B-UNIDADE_CRONO
23,Mesozóico,12790,12799,B-UNIDADE_CRONO
24,Paleozoico,12952,12962,B-UNIDADE_CRONO
25,Megozóicos,12975,12985,B-UNIDADE_CRONO
26,Paleozdico,13155,13165,B-UNIDADE_CRONO
27,Mesozóico,13170,13179,B-UNIDADE_CRONO
28,Formação,16022,16030,B-UNIDADE_LITO
29,Se,16031,16033,I-UNIDADE_LITO
30,rrari,16034,16039,I-UNIDADE_LITO
31,poço,16998,17002,B-POÇO
32,VN,17003,17005,I-POÇO
33,poços,17473,17478,B-POÇO
34,po,17553,17555,B-POÇO
35,poço,18080,18084,B-POÇO
36,Cp-ll-SE.,18085,18094,I-POÇO
37,poço,18851,18855,B-POÇO
38,poço,20529,20533,B-POÇO
39,ampl,20614,20618,B-BACIA
40,poço,21208,21212,B-POÇO
41,poço,21416,21420,B-POÇO
42,Pi·a-2-AL,21421,21430,I-POÇO
43,Pia-3·-AL,21432,21441,B-POÇO
44,bacia,21951,21956,B-BACIA
45,bacia,22169,22174,B-BACIA
46,de,22175,22177,I-BACIA
47,Se,22178,22180,I-BACIA
48,rgipe,22181,22186,I-BACIA
49,bacia,22734,22739,B-BACIA
50,de,22740,22742,I-BACIA
51,Alagoas,22743,22750,I-BACIA
52,Sergipe,23294,23301,B-BACIA
53,poco,23646,23650,B-POÇO
54,Pia-2-AL,23651,23659,I-POÇO
55,bacia,23688,23693,B-BACIA
56,do,23694,23696,I-BACIA
57,Recôncavo-Tucano,23697,23713,I-BACIA
58,Sergipe-Alagoas,23798,23813,B-BACIA
59,do,23924,23926,I-BACIA
60,Recôncavo-Tuc,23927,23940,I-BACIA
61,RecônCavo-Tucano,24346,24362,B-BACIA
62,poços,24579,24584,B-POÇO
63,Sergipe-Alagoas,25214,25229,B-BACIA
64,Sergipe-Alagoas,25316,25331,B-BACIA
65,s,25375,25376,B-BACIA
66,de,25377,25379,I-BACIA
67,Recônccvo,25380,25389,I-BACIA
68,Tucanoo,25392,25399,B-BACIA
69,Sergipe-Alagoas,25571,25586,B-BACIA
70,Tucano,26190,26196,B-BACIA
71,sediM.entos,26299,26310,B-NÃOCONSOLID
72,Tucano,27356,27362,B-BACIA
73,9,27363,27364,I-BACIA
74,Eoceno,27691,27697,B-UNIDADE_CRONO
75,Inferior,27698,27706,I-UNIDADE_CRONO
76,bacia,28090,28095,B-BACIA
77,rochas,29134,29140,B-ROCHA
78,poços,29367,29372,B-POÇO
79,CpB-lR,29373,29379,I-POÇO
80,3-SE,29386,29390,B-POÇO
81,poço,29774,29778,B-POÇO
82,VF,29779,29781,I-POÇO
83,poços,29860,29865,B-POÇO
84,sedimentos,29924,29934,B-NÃOCONSOLID
85,poço,30056,30060,B-POÇO
86,s,30061,30062,I-POÇO
87,2,30071,30072,B-POÇO
88,3-SE,30074,30078,B-POÇO
89,VF,30081,30083,B-POÇO
90,idade,30241,30246,B-UNIDADE_CRONO
91,Aptiano,30247,30254,I-UNIDADE_CRONO
92,Cenomaniano,30897,30908,B-UNIDADE_CRONO
93,Aptiano,31193,31200,B-UNIDADE_CRONO
94,Superio,31201,31208,I-UNIDADE_CRONO
95,Superior,31352,31360,I-UNIDADE_CRONO
96,sedimentos,31402,31412,B-NÃOCONSOLID
97,Cenomaniano,31575,31586,B-UNIDADE_CRONO
98,Cenomaniano,31883,31894,B-UNIDADE_CRONO
99,Infer.,31895,31901,I-UNIDADE_CRONO
100,poço,31956,31960,B-POÇO
101,Cn-l-SE,31961,31968,I-POÇO
102,Cenomani,32360,32368,B-UNIDADE_CRONO
103,Cenomani,33256,33264,B-UNIDADE_CRONO
104,bacia,33325,33330,B-BACIA
105,de,33331,33333,I-BACIA
106,Sergipe,33334,33341,I-BACIA
107,Cenoma,33476,33482,B-UNIDADE_CRONO
108,niano,33483,33488,I-UNIDADE_CRONO
109,Inferior,33489,33497,I-UNIDADE_CRONO
110,Ce,33519,33521,B-UNIDADE_CRONO
111,Aptiano,35288,35295,B-UNIDADE_CRONO
112,Superior-Cenonaniano,35296,35316,I-UNIDADE_CRONO
113,Inferior,35317,35325,I-UNIDADE_CRONO
114,rochas,38390,38396,B-ROCHA
115,Turoniano,39146,39155,B-UNIDADE_CRONO
116,Inferior,39156,39164,I-UNIDADE_CRONO
117,Cenomaniano,39228,39239,B-UNIDADE_CRONO
118,Turoniano,39254,39263,B-UNIDADE_CRONO
119,Inferior,39264,39272,I-UNIDADE_CRONO
120,calcário,39515,39523,B-ROCHA
121,calcário,39739,39747,B-ROCHA
122,Fazenda,40005,40012,B-CAMPO
123,Tãbua,40013,40018,I-CAMPO
124,antoniano,40384,40393,B-UNIDADE_CRONO
125,Pb-1-AL,40594,40601,B-POÇO
126,niaciano,40864,40872,B-UNIDADE_CRONO
127,Andar,41390,41395,B-UNIDADE_CRONO
128,Santonia,41396,41404,I-UNIDADE_CRONO
129,Andar,41470,41475,B-UNIDADE_CRONO
130,Santonia,41476,41484,I-UNIDADE_CRONO
131,calcário,41628,41636,B-ROCHA
132,Fazenda,41641,41648,B-CAMPO
133,poço,41712,41716,B-POÇO
134,Formação,41758,41766,B-UNIDADE_LITO
135,Cotinguiba,41767,41777,I-UNIDADE_LITO
136,poço,41794,41798,B-POÇO
137,Coniaciano,44357,44367,B-UNIDADE_CRONO
138,Fazenda,44397,44404,B-CAMPO
139,Tabua,44405,44410,I-CAMPO
140,Cret,44599,44603,B-UNIDADE_CRONO
141,Terci,44612,44617,B-UNIDADE_CRONO
142,Campan,45657,45663,B-UNIDADE_CRONO
143,bacia,46164,46169,B-BACIA
144,água,46493,46497,B-FLUIDODATERRA
145,idade,46955,46960,B-UNIDADE_CRONO
146,Campanianco,46961,46972,I-UNIDADE_CRONO
147,poço,47039,47043,B-POÇO
148,Mo-I-SE,47044,47051,I-POÇO
149,RSF-2-AL,47442,47450,B-POÇO
150,RSF-3-AL,47481,47489,B-POÇO
151,RSF-4-AL,47517,47525,B-POÇO
152,RSF,47553,47556,B-POÇO
153,RSF-~-AL,47593,47601,B-POÇO
154,bacia,48095,48100,B-BACIA
155,Maestrichtiano,48714,48728,B-UNIDADE_CRONO
156,Cretáceh,50263,50271,B-UNIDADE_CRONO
157,poço,51513,51517,B-POÇO
158,Iast-l-SE,51518,51527,I-POÇO
159,Paleoceno,51844,51853,B-UNIDADE_CRONO
160,Inferior,51854,51862,I-UNIDADE_CRONO
161,areias,52050,52056,B-NÃOCONSOLID
162,sedimentos,52106,52116,B-NÃOCONSOLID
163,bacias,52707,52713,B-BACIA
164,sedimentos,52751,52761,B-NÃOCONSOLID
165,paleoceno,52781,52790,B-UNIDADE_CRONO
166,Superior,52791,52799,I-UNIDADE_CRONO
