,TEXT,START,END,LABEL
0,Potiguar,284,292,B-BACIA
1,Potiguar,481,489,B-BACIA
2,Potiguar,1020,1028,B-BACIA
3,Potiguar,1345,1353,B-BACIA
4,Potiguar,2785,2793,B-BACIA
5,Poti~uar,5364,5372,B-BACIA
6,bacia,6965,6970,B-BACIA
7,Po,6971,6973,I-BACIA
8,tiguar,6974,6980,I-BACIA
9,Potiguar,7496,7504,B-BACIA
10,Potiguar,7565,7573,B-BACIA
11,Potiguar,7793,7801,B-BACIA
12,Potiguar,8654,8662,B-BACIA
13,Potiguar,11670,11678,B-BACIA
14,P1agi~,12121,12127,B-POÇO
15,Potiguar,12290,12298,B-BACIA
16,P1agi~,12897,12903,B-POÇO
17,Potiguar,13066,13074,B-BACIA
18,Potiguar,13317,13325,B-BACIA
19,Santana,15721,15728,B-ROCHA
20,Potiguar,16616,16624,B-BACIA
21,Potiguar,17190,17198,B-BACIA
22,Potiguar,26520,26528,B-BACIA
23,1-MAS-8,27080,27087,B-POÇO
24,1-MAS-8,28022,28029,B-POÇO
25,Ceará,29978,29983,B-BACIA
26,Potiguar,29988,29996,B-BACIA
27,Potiguar,32610,32618,B-BACIA
28,7-UB-14,33506,33513,B-POÇO
29,Potiguar,34270,34278,B-BACIA
30,Basin,34279,34284,I-BACIA
31,Potiguar,34972,34980,B-BACIA
32,Potiguar,36792,36800,B-BACIA
33,Ceara,36805,36810,B-BACIA
34,Bacia,38251,38256,B-BACIA
35,Potiguar,38257,38265,I-BACIA
