,TEXT,START,END,LABEL
0,embasamento,966,977,B-UNIDADE_LITO
1,basalto,1016,1023,B-ROCHA
2,poços,1119,1124,B-POÇO
3,Precambriano,1370,1382,B-UNIDADE_CRONO
4,diabásio,1436,1444,B-ROCHA
5,poços,1504,1509,B-POÇO
6,poços,1607,1612,B-POÇO
7,poço,1707,1711,B-POÇO
8,diabásios,2235,2244,B-ROCHA
9,diabásio,3038,3046,B-ROCHA
10,bacia,3147,3152,B-BACIA
11,bacia,3241,3246,B-BACIA
12,poços,3894,3899,B-POÇO
13,embasamento,4649,4660,B-UNIDADE_LITO
14,bacias,4872,4878,B-BACIA
15,formação,5587,5595,B-UNIDADE_LITO
16,Itararé,5596,5603,I-UNIDADE_LITO
17,diabásio,5698,5706,B-ROCHA
18,embasamento,6077,6088,B-UNIDADE_LITO
19,diabásio,6151,6159,B-ROCHA
20,embasamento,7250,7261,B-UNIDADE_LITO
21,diabá,7301,7306,B-ROCHA
22,poços,7481,7486,B-POÇO
23,2,7521,7522,B-POÇO
24,MO-2-Pr,7534,7541,B-POÇO
25,poços,7633,7638,B-POÇO
26,O-l-Pr,7639,7645,I-POÇO
27,bacia,8833,8838,B-BACIA
28,d,8839,8840,I-BACIA
29,0,8841,8842,I-BACIA
30,Paraná,8843,8849,I-BACIA
31,diabásio,8926,8934,B-ROCHA
32,leozóicas,9024,9033,B-UNIDADE_CRONO
33,diabásio,9129,9137,B-ROCHA
34,diabásios,9177,9186,B-ROCHA
35,folhelho,9366,9374,B-ROCHA
36,folhelhos,9398,9407,B-ROCHA
37,arenitos,9431,9439,B-ROCHA
38,folhelhos,9453,9462,B-ROCHA
39,poços,9499,9504,B-POÇO
40,poços,9558,9563,B-POÇO
41,poçoso,11975,11981,B-POÇO
42,Poço,12001,12005,B-POÇO
43,poço,12416,12420,B-POÇO
44,0-1,12421,12424,I-POÇO
45,Poço,12596,12600,B-POÇO
46,Mo-I-Pr,12601,12608,I-POÇO
47,Poço,12649,12653,B-POÇO
48,embasamento,12941,12952,B-UNIDADE_LITO
49,Poço,13316,13320,B-POÇO
50,Mo-2-'Pr,13321,13329,I-POÇO
51,poço,13498,13502,B-POÇO
52,Poço,13695,13699,B-POÇO
53,R-1-Pr,13700,13706,I-POÇO
54,Poço,13750,13754,B-POÇO
55,R-1-~r,13755,13761,I-POÇO
56,diabásio,13821,13829,B-ROCHA
57,diabásio,13969,13977,B-ROCHA
58,sill,14232,14236,B-ROCHA
59,diabásio,14240,14248,B-ROCHA
60,embasamentoo,14253,14265,B-UNIDADE_LITO
61,diabásio,15195,15203,B-ROCHA
62,poço,15415,15419,B-POÇO
63,Mo-I-Pr,15420,15427,I-POÇO
64,diabásio,15746,15754,B-ROCHA
65,formações,15768,15777,B-UNIDADE_LITO
66,Iratí,15778,15783,I-UNIDADE_LITO
67,Ponta,15786,15791,I-UNIDADE_LITO
68,Grossa,15792,15798,I-UNIDADE_LITO
69,diabásio,15982,15990,B-ROCHA
70,formação,15994,16002,B-UNIDADE_LITO
71,Ponta,16003,16008,I-UNIDADE_LITO
72,Grossa,16009,16015,I-UNIDADE_LITO
73,poço,16559,16563,B-POÇO
74,SE,18159,18161,B-BACIA
75,formação,19161,19169,B-UNIDADE_LITO
76,Ponta,19170,19175,I-UNIDADE_LITO
77,Gro,19176,19179,I-UNIDADE_LITO
78,formação,23062,23070,B-UNIDADE_LITO
79,Ponta,23071,23076,I-UNIDADE_LITO
80,Grossa,23077,23083,I-UNIDADE_LITO
81,diabásio,23559,23567,B-ROCHA
82,poçop,23684,23689,B-POÇO
83,poço,23717,23721,B-POÇO
84,diabásio,24492,24500,B-ROCHA
85,poço,25324,25328,B-POÇO
86,Mo-l-Pr,25329,25336,I-POÇO
87,poço,26746,26750,B-POÇO
88,R-l-Pr,26751,26757,I-POÇO
89,poço,26958,26962,B-POÇO
90,poços,27035,27040,B-POÇO
91,Mo-I-Pr,27041,27048,I-POÇO
92,Mo-2-Pr'p,27051,27060,B-POÇO
93,diabá,27102,27107,B-ROCHA
94,formação,27132,27140,B-UNIDADE_LITO
95,Ponta,27141,27146,I-UNIDADE_LITO
96,Grossa,27147,27153,I-UNIDADE_LITO
97,diabásio,27335,27343,B-ROCHA
98,diabásio,27382,27390,B-ROCHA
99,formação,27688,27696,B-UNIDADE_LITO
100,Ponta,27697,27702,I-UNIDADE_LITO
101,Grossa,27703,27709,I-UNIDADE_LITO
102,bacia,28909,28914,B-BACIA
103,bacia,29772,29777,B-BACIA
104,bacia,30151,30156,B-BACIA
105,bacia,30226,30231,B-BACIA
106,bacia,30583,30588,B-BACIA
107,bacia,31006,31011,B-BACIA
108,basalto,32445,32452,B-ROCHA
109,SE-2E,33946,33951,B-POÇO
110,SE-2E,34395,34400,B-POÇO
111,poços,34510,34515,B-POÇO
112,diabásio,35065,35073,B-ROCHA
113,poço,35126,35130,B-POÇO
114,bacia,35271,35276,B-BACIA
115,bacias,35395,35401,B-BACIA
116,',35402,35403,I-BACIA
117,Sedimentares,35403,35415,I-BACIA
118,bacia,36871,36876,B-BACIA
119,bacia,37086,37091,B-BACIA
120,bacia,37105,37110,B-BACIA
121,bacia,37222,37227,B-BACIA
122,bacia,37370,37375,B-BACIA
123,bacia,37851,37856,B-BACIA
124,bacia,38518,38523,B-BACIA
125,bacia,38721,38726,B-BACIA
126,bacia,38793,38798,B-BACIA
127,bacia,38844,38849,B-BACIA
128,Grupo,40036,40041,B-UNIDADE_LITO
129,32,40042,40044,I-UNIDADE_LITO
130,Grupo,40394,40399,B-UNIDADE_LITO
131,poços,41129,41134,B-POÇO
132,formação,41494,41502,B-UNIDADE_LITO
133,Ponta,41503,41508,I-UNIDADE_LITO
134,Groas8,41509,41515,I-UNIDADE_LITO
135,diabásio,41633,41641,B-ROCHA
136,embasamento,42526,42537,B-UNIDADE_LITO
137,Altás,43590,43595,B-UNIDADE_CRONO
138,9,43596,43597,I-UNIDADE_CRONO
139,bacia,44190,44195,B-BACIA
140,Ortigueira-Rese,44196,44211,I-BACIA
141,bacia,44285,44290,B-BACIA
142,poço,47904,47908,B-POÇO
143,diabáa,48478,48484,B-ROCHA
144,basalto,48613,48620,B-ROCHA
145,diabásio,48813,48821,B-ROCHA
146,diabá,49472,49477,B-ROCHA
147,diabásio,49706,49714,B-ROCHA
148,embasamento,50329,50340,B-UNIDADE_LITO
149,basalto,50428,50435,B-ROCHA
150,bacias,51136,51142,B-BACIA
