,TEXT,START,END,LABEL
0,Bacia,911,916,B-BACIA
1,de,917,919,I-BACIA
2,ALA,920,923,I-BACIA
3,poços,1055,1060,B-POÇO
4,hidrocarbonetos,1149,1164,B-FLUIDODATERRA
5,Jequi,1214,1219,B-UNIDADE_CRONO
6,Jequi,1400,1405,B-UNIDADE_CRONO
7,formação,1452,1460,B-UNIDADE_LITO
8,hidrocarbonetos,1538,1553,B-FLUIDODATERRA
9,poço,1923,1927,B-POÇO
10,poços,1947,1952,B-POÇO
11,prospecto,1956,1965,B-POÇO
12,de,1966,1968,I-POÇO
13,Jequia,1969,1975,I-POÇO
14,pioneiros,2051,2060,B-POÇO
15,LP-l-AL,2161,2168,B-POÇO
16,PdCst-l-AL,2184,2194,B-POÇO
17,Ce-l-AL,2220,2227,B-POÇO
18,Co-l-AL,2241,2248,B-POÇO
19,poços,2272,2277,B-POÇO
20,Co-l-AL,2278,2285,I-POÇO
21,Ce-l-AL,2288,2295,B-POÇO
22,sedimentos,2350,2360,B-NÃOCONSOLID
23,poço,2391,2395,B-POÇO
24,PdCst-l-AL1,2396,2407,I-POÇO
25,sedimentos,2425,2435,B-NÃOCONSOLID
26,queternários,2436,2448,B-UNIDADE_CRONO
27,formação,2477,2485,B-UNIDADE_LITO
28,Alagoas,2486,2493,I-UNIDADE_LITO
29,sedimentos,2560,2570,B-NÃOCONSOLID
30,sedimentos,2596,2606,B-NÃOCONSOLID
31,formação,3200,3208,B-UNIDADE_LITO
32,Jequi,3209,3214,I-UNIDADE_LITO
33,poço,3276,3280,B-POÇO
34,LE-l-AL,3281,3288,I-POÇO
35,poços,3314,3319,B-POÇO
36,Jequi~,3323,3329,B-BACIA
37,poço,3780,3784,B-POÇO
38,Jequia,3823,3829,B-UNIDADE_CRONO
39,poço,3901,3905,B-POÇO
40,poço,3909,3913,B-POÇO
41,LE-I-AL,3914,3921,I-POÇO
42,Paleoceno,3969,3978,B-UNIDADE_CRONO
43,formaçao,4054,4062,B-UNIDADE_LITO
44,Barreiras,4063,4072,I-UNIDADE_LITO
45,areias,4104,4110,B-NÃOCONSOLID
46,sedimentos,4211,4221,B-NÃOCONSOLID
47,Paleoceno,4225,4234,B-UNIDADE_CRONO
48,argilas,4277,4284,B-NÃOCONSOLID
49,areia,4386,4391,B-NÃOCONSOLID
50,folhelho,4524,4532,B-ROCHA
51,siltito,4616,4623,B-ROCHA
52,arenito,4694,4701,B-ROCHA
53,sedimentos,4772,4782,B-NÃOCONSOLID
54,paleocenos,4783,4793,B-UNIDADE_CRONO
55,formação,4865,4873,B-UNIDADE_LITO
56,Jequi~,4874,4880,I-UNIDADE_LITO
57,poço,4908,4912,B-POÇO
58,folhelhos,5247,5256,B-ROCHA
59,silUtos,5352,5359,B-ROCHA
60,arenitos,5469,5477,B-ROCHA
61,folhelho,5601,5609,B-ROCHA
62,calcario,5782,5790,B-ROCHA
63,arenito,5865,5872,B-ROCHA
64,formação,5936,5944,B-UNIDADE_LITO
65,Jequi~,5945,5951,I-UNIDADE_LITO
66,formação,5986,5994,B-UNIDADE_LITO
67,Alagoas,5995,6002,I-UNIDADE_LITO
68,formação,6068,6076,B-UNIDADE_LITO
69,Poxim,6077,6082,I-UNIDADE_LITO
70,arenitos,6158,6166,B-ROCHA
71,folhelhos,6191,6200,B-ROCHA
72,siltitos,6203,6211,B-ROCHA
73,formação,6321,6329,B-UNIDADE_LITO
74,são,6330,6333,I-UNIDADE_LITO
75,Miguel,6334,6340,I-UNIDADE_LITO
76,lhelhos,6430,6437,B-ROCHA
77,arenitos,6463,6471,B-ROCHA
78,Poxim,6523,6528,B-POÇO
79,bacia,6706,6711,B-BACIA
80,bacia,6869,6874,B-BACIA
81,lhelhos,6937,6944,B-ROCHA
82,Jequi~,7169,7175,B-UNIDADE_CRONO
83,formação,7206,7214,B-UNIDADE_LITO
84,Jequi~,7215,7221,I-UNIDADE_LITO
85,Poxim,7337,7342,B-POÇO
86,hidrocarbonetos,7491,7506,B-FLUIDODATERRA
87,poço,7537,7541,B-POÇO
88,formação,7681,7689,B-UNIDADE_LITO
89,Poxim,7690,7695,I-UNIDADE_LITO
90,formação,7723,7731,B-UNIDADE_LITO
91,Alagoas,7732,7739,I-UNIDADE_LITO
92,Miguel,7750,7756,I-UNIDADE_LITO
93,Rochas,7758,7764,B-ROCHA
94,folhelhos,7782,7791,B-ROCHA
95,rocha,7954,7959,B-ROCHA
96,folhelhos,7982,7991,B-ROCHA
97,folhelho,8046,8054,B-ROCHA
98,arenitos,8112,8120,B-ROCHA
99,Jequiá,8142,8148,B-UNIDADE_CRONO
100,rocha,8200,8205,B-ROCHA
101,poço,8509,8513,B-POÇO
102,Jequi~,8559,8565,B-UNIDADE_CRONO
103,poço,8717,8721,B-POÇO
104,Poxim,8998,9003,B-POÇO
105,hidrocarbonetos,9145,9160,B-FLUIDODATERRA
106,arenitos,9182,9190,B-ROCHA
107,areias,9274,9280,B-NÃOCONSOLID
108,poço,9345,9349,B-POÇO
109,LE-I-AL,9350,9357,I-POÇO
110,hidrocarbonetos,9391,9406,B-FLUIDODATERRA
111,poço,9513,9517,B-POÇO
112,formação,9995,10003,B-UNIDADE_LITO
113,Jequi~,10004,10010,I-UNIDADE_LITO
114,poços,10159,10164,B-POÇO
115,poço,10299,10303,B-POÇO
116,Lagoa,10307,10312,B-CAMPO
117,arenito,10413,10420,B-ROCHA
118,arenito,10441,10448,B-ROCHA
119,hidrocar,10960,10968,B-FLUIDODATERRA
120,poço,10989,10993,B-POÇO
