,TEXT,START,END,LABEL
0,petróleo,229,237,B-FLUIDODATERRA
1,hidrocarbo~etos,830,845,B-FLUIDODATERRA
2,rochas,919,925,B-ROCHA
3,Fm.,952,955,B-UNIDADE_LITO
4,Muribeca,956,964,I-UNIDADE_LITO
5,Campo,1036,1041,B-CAMPO
6,de,1042,1044,I-CAMPO
7,Camo,1045,1049,I-CAMPO
8,rim,1050,1053,I-CAMPO
9,óleo,1154,1158,B-FLUIDODATERRA
10,gás,1174,1177,B-FLUIDODATERRA
11,arenitos,1371,1379,B-ROCHA
12,arenitos,1397,1405,B-ROCHA
13,siltit05,1421,1429,B-ROCHA
14,folhelhos,1432,1441,B-ROCHA
15,Campo,1583,1588,B-CAMPO
16,de,1589,1591,I-CAMPO
17,Camorim,1592,1599,I-CAMPO
18,conglomerados,1610,1623,B-ROCHA
19,arenitos,1626,1634,B-ROCHA
20,folhelhos,1668,1677,B-ROCHA
21,idade,1682,1687,B-UNIDADE_CRONO
22,Cretáceo,1688,1696,I-UNIDADE_CRONO
23,Inferior,1697,1705,I-UNIDADE_CRONO
24,Apti,1708,1712,B-UNIDADE_CRONO
25,Formação,1775,1783,B-UNIDADE_LITO
26,!'Iu,1784,1788,I-UNIDADE_LITO
27,siltitos,2059,2067,B-ROCHA
28,poço,2239,2243,B-POÇO
29,rocha,2580,2585,B-ROCHA
30,folhelh~,3417,3425,B-ROCHA
31,poço,3531,3535,B-POÇO
32,sedimentos,3569,3579,B-NÃOCONSOLID
33,folhelhos,3650,3659,B-ROCHA
34,conglomerados,3692,3705,B-ROCHA
35,arenit,3708,3714,B-ROCHA
36,arenitos,3754,3762,B-ROCHA
37,conglomerados,3765,3778,B-ROCHA
38,arenitos,3862,3870,B-ROCHA
39,conglomerados,3926,3939,B-ROCHA
40,areias,4069,4075,B-NÃOCONSOLID
41,areia,4447,4452,B-NÃOCONSOLID
42,seixos,4615,4621,B-NÃOCONSOLID
43,arenitos,4712,4720,B-ROCHA
44,rochas,4905,4911,B-ROCHA
45,rochas,4930,4936,B-ROCHA
46,arenitos,5294,5302,B-ROCHA
47,arenitos,5359,5367,B-ROCHA
48,arenitos,5409,5417,B-ROCHA
49,siltitos,5592,5600,B-ROCHA
50,folhelhos,5603,5612,B-ROCHA
51,rochas,5654,5660,B-ROCHA
52,sedimentos,6334,6344,B-NÃOCONSOLID
53,rochas,6504,6510,B-ROCHA
54,conglomerados,7416,7429,B-ROCHA
55,arenitos,7431,7439,B-ROCHA
56,arenitos,7459,7467,B-ROCHA
57,sedimentos,7540,7550,B-NÃOCONSOLID
58,Formação,9053,9061,B-UNIDADE_LITO
59,Collegats,9062,9071,I-UNIDADE_LITO
60,Bacia,9103,9108,B-BACIA
61,de,9109,9111,I-BACIA
62,Tr,9112,9114,I-BACIA
63,rochas,9157,9163,B-ROCHA
64,sedimentos,9252,9262,B-NÃOCONSOLID
65,conglomerado,10053,10065,B-ROCHA
66,areia,10068,10073,B-NÃOCONSOLID
67,siltito,10086,10093,B-ROCHA
68,arenitos,10341,10349,B-ROCHA
69,sedimentos,11159,11169,B-NÃOCONSOLID
70,campo,11722,11727,B-CAMPO
71,arenitos,11755,11763,B-ROCHA
72,campo,11826,11831,B-CAMPO
73,campo,11903,11908,B-CAMPO
74,Campo,12441,12446,B-CAMPO
75,poços,12486,12491,B-POÇO
76,CH-9,12492,12496,I-POÇO
