,TEXT,START,END,LABEL
0,Tu,3952,3954,B-BACIA
1,Tucano,4015,4021,B-BACIA
2,Ilucano,4334,4341,B-UNIDADE_CRONO
3,Tucano,7055,7061,B-BACIA
4,Tucano,8363,8369,B-BACIA
5,arenitos,10236,10244,B-ROCHA
6,Sergipe,41324,41331,B-BACIA
7,Basin,41332,41337,I-BACIA
8,Tucano,41643,41649,B-BACIA
9,Tucano,41712,41718,B-BACIA
10,Basin,41719,41724,I-BACIA
11,Tucano,42286,42292,B-BACIA
12,Bas,42293,42296,I-BACIA
13,Tucano,42464,42470,B-BACIA
14,Tucano,50609,50615,B-BACIA
15,Ba,50616,50618,I-BACIA
16,Poço,57320,57324,B-POÇO
17,Tucano,64891,64897,B-BACIA
18,Sergipe,71545,71552,B-BACIA
19,Basin,71553,71558,I-BACIA
20,Sergipe,73863,73870,B-BACIA
