,TEXT,START,END,LABEL
0,arenitos,413,421,B-ROCHA
1,Bacia,776,781,B-BACIA
2,Bacia,1471,1476,B-BACIA
3,arenitos,1641,1649,B-ROCHA
4,formação,1717,1725,B-UNIDADE_LITO
5,Monte,1726,1731,I-UNIDADE_LITO
6,Alegre,1732,1738,I-UNIDADE_LITO
7,arenitos,1901,1909,B-ROCHA
8,Curuá,1927,1932,B-CAMPO
9,poços,2527,2532,B-POÇO
10,1,2533,2534,I-POÇO
11,Ro-1,2536,2540,B-POÇO
12,So-1,2542,2546,B-POÇO
13,NO-6,2548,2552,B-POÇO
14,Ua-1,2555,2559,B-POÇO
15,poco,3096,3100,B-POÇO
16,poços,3250,3255,B-POÇO
17,poços,3370,3375,B-POÇO
18,areias,3771,3777,B-NÃOCONSOLID
19,areias,3918,3924,B-NÃOCONSOLID
20,Formação,4370,4378,B-UNIDADE_LITO
21,Curua,4379,4384,I-UNIDADE_LITO
22,arenitos,4555,4563,B-ROCHA
23,Curuá,4578,4583,B-CAMPO
24,F.Monte,4641,4648,B-UNIDADE_LITO
25,arenitos,4922,4930,B-ROCHA
26,folhelho,5328,5336,B-ROCHA
27,poços,5347,5352,B-POÇO
28,poços,5994,5999,B-POÇO
29,poços,6190,6195,B-POÇO
30,Curuá,6323,6328,B-CAMPO
31,Inferior,6329,6337,I-CAMPO
32,poço,6369,6373,B-POÇO
33,NO-6,6374,6378,I-POÇO
34,Curuá,6505,6510,B-CAMPO
35,poço,6660,6664,B-POÇO
36,Curuá,6812,6817,B-CAMPO
37,Superior,6818,6826,I-UNIDADE_CRONO
38,poços,7006,7011,B-POÇO
39,poços,7249,7254,B-POÇO
40,areias,7882,7888,B-NÃOCONSOLID
41,areias,8449,8455,B-NÃOCONSOLID
42,folhelho,8756,8764,B-ROCHA
43,F.Monte,8774,8781,B-UNIDADE_LITO
44,deere,8782,8787,I-UNIDADE_LITO
45,Amazonas,9129,9137,B-BACIA
