,TEXT,START,END,LABEL
0,Quaterl~ário,1228,1240,B-UNIDADE_CRONO
1,Ceará,1420,1425,B-BACIA
2,sedimentos,1757,1767,B-NÃOCONSOLID
3,idade,1810,1815,B-UNIDADE_CRONO
4,Alagoas,1816,1823,I-UNIDADE_CRONO
5,Supeiior,1919,1927,I-UNIDADE_CRONO
6,Cretáceo,1997,2005,B-UNIDADE_CRONO
7,sedimentos,2121,2131,B-NÃOCONSOLID
8,folhelhos,2196,2205,B-ROCHA
9,areias,2239,2245,B-NÃOCONSOLID
10,arenitos,2372,2380,B-ROCHA
11,sedimentos,2476,2486,B-NÃOCONSOLID
12,Cretáceo,2501,2509,B-UNIDADE_CRONO
13,Inferior,2510,2518,I-UNIDADE_CRONO
14,Albo,2554,2558,I-UNIDADE_CRONO
15,Cenornaniana,2560,2572,B-UNIDADE_CRONO
16,Cretáceo,2578,2586,B-UNIDADE_CRONO
17,Superior,2587,2595,I-UNIDADE_CRONO
18,bacia,2807,2812,B-BACIA
19,do,2813,2815,I-BACIA
20,Cear6,2816,2821,I-BACIA
21,Ap,2912,2914,B-UNIDADE_CRONO
22,sedimentos,2939,2949,B-NÃOCONSOLID
23,Cret6ceo,2953,2961,B-UNIDADE_CRONO
24,Superior,2962,2970,I-UNIDADE_CRONO
25,Grupo,3131,3136,B-UNIDADE_LITO
26,Cariárias,3137,3146,I-UNIDADE_LITO
27,idade,3175,3180,B-UNIDADE_CRONO
28,Alagoas,3181,3188,I-UNIDADE_CRONO
29,folhelhos,3296,3305,B-ROCHA
30,siltitos,3308,3316,B-ROCHA
31,Bacia,3960,3965,B-BACIA
32,Cretácea,3966,3974,B-UNIDADE_CRONO
