,TEXT,START,END,LABEL
0,Reconcavo,1179,1188,B-BACIA
1,Sergipe,1193,1200,B-BACIA
2,Tucano,1294,1300,B-BACIA
3,basin,1301,1306,I-BACIA
4,Reconcavo,1370,1379,B-BACIA
5,Tucano,1807,1813,B-BACIA
6,Reconcavo,2159,2168,B-BACIA
7,Tucano,2385,2391,B-BACIA
8,Tucano,2827,2833,B-BACIA
9,Tucano,4297,4303,B-BACIA
10,Reconcavo,4444,4453,B-BACIA
11,Tucano,4584,4590,B-BACIA
12,bas1n,4591,4596,I-BACIA
13,Reconcavo,5066,5075,B-BACIA
14,Reconcavo,5248,5257,B-BACIA
15,Tucano,5356,5362,B-BACIA
16,Reconcavo,5414,5423,B-BACIA
17,Reconcavo,5556,5565,B-BACIA
18,Reconcavo,5750,5759,B-BACIA
19,Tucano,6720,6726,B-BACIA
20,Reconcavo,7666,7675,B-BACIA
21,Tucano,8313,8319,B-BACIA
22,Forméltion,8320,8330,I-BACIA
23,Tucano,9181,9187,B-BACIA
24,Reconcavo,9301,9310,B-BACIA
25,Tucano,10097,10103,B-BACIA
26,Basin,10104,10109,I-BACIA
27,Tucano,10968,10974,B-BACIA
28,Tucano,11662,11668,B-BACIA
29,Reconcavo,11780,11789,B-BACIA
30,Tucano,11841,11847,B-BACIA
31,Basin,11848,11853,I-BACIA
32,Tucano,12116,12122,B-BACIA
33,Basin,12123,12128,I-BACIA
34,Tucano,12494,12500,B-BACIA
35,Basin,12501,12506,I-BACIA
36,Tucano-Araçi,13195,13207,B-BACIA
37,Tu.cano·,14677,14685,B-BACIA
38,Tucano,15504,15510,B-BACIA
39,Tucano,16611,16617,B-BACIA
40,Tucano,17560,17566,B-BACIA
41,Tucano,19668,19674,B-BACIA
42,Tucano,21219,21225,B-BACIA
43,Tucano,25015,25021,B-BACIA
44,Poço,25032,25036,B-POÇO
45,Tucano,26214,26220,B-BACIA
46,Tucano...,26351,26360,B-BACIA
47,Tucano,26573,26579,B-BACIA
48,Tucano,27371,27377,B-BACIA
49,Tucano,28119,28125,B-BACIA
50,Tucano,28427,28433,B-BACIA
51,Tucano,28728,28734,B-BACIA
52,Tucano,28888,28894,B-BACIA
53,Tucano,29031,29037,B-BACIA
54,Tucano,29997,30003,B-BACIA
55,Tucano,30757,30763,B-BACIA
56,Tucano,31151,31157,B-BACIA
57,Tucano,31277,31283,B-BACIA
58,Poço,31809,31813,B-POÇO
59,Tucano,32338,32344,B-BACIA
60,Tucano,32786,32792,B-BACIA
61,Tucano,34753,34759,B-BACIA
62,Basin,34760,34765,I-BACIA
63,Tucano,36793,36799,B-BACIA
64,Reconcavo,37199,37208,B-BACIA
65,Tucano,37493,37499,B-BACIA
66,Basin,37500,37505,I-BACIA
67,Tucano,37583,37589,B-BACIA
68,Basin,37590,37595,I-BACIA
69,Tucano,37634,37640,B-BACIA
70,Tucano,38734,38740,B-BACIA
71,Tucano,39580,39586,B-BACIA
72,Tucano,40252,40258,B-BACIA
73,Tucano,41808,41814,B-BACIA
74,Poço,42469,42473,B-POÇO
75,Verde,42474,42479,I-POÇO
76,Tucano,43285,43291,B-BACIA
77,Tucano,43323,43329,B-BACIA
78,Tucano,43427,43433,B-BACIA
79,Massacará,43861,43870,B-CAMPO
80,Tucano,44399,44405,B-BACIA
81,Bas1n,44406,44411,I-BACIA
82,Reconcavo,44746,44755,B-BACIA
83,Tucano,44770,44776,B-BACIA
84,Basin,44777,44782,I-BACIA
85,Tucano,44828,44834,B-BACIA
86,Reeoncavo,45078,45087,B-BACIA
87,Tucano,45096,45102,B-BACIA
88,Basin,45103,45108,I-BACIA
89,Tucano,45600,45606,B-BACIA
90,Basin,45607,45612,I-BACIA
91,Reconcavo,45683,45692,B-BACIA
92,Tucano,45759,45765,B-BACIA
93,Tucano,46008,46014,B-BACIA
94,Basin,46015,46020,I-BACIA
95,Tucano,47118,47124,B-BACIA
96,Tucano,49916,49922,B-BACIA
97,Tucano,50562,50568,B-BACIA
98,BasiD,50569,50574,I-BACIA
99,Tucano,51550,51556,B-BACIA
100,Tucano,52114,52120,B-BACIA
101,PR-1,52283,52287,B-POÇO
102,Tucano,52301,52307,B-BACIA
103,Bacia,52602,52607,B-BACIA
104,Sedimentar,52608,52618,I-BACIA
105,Tucano,52622,52628,B-BACIA
106,Tucano,53586,53592,B-BACIA
107,Poço,53593,53597,I-BACIA
