,TEXT,START,END,LABEL
0,Bacia,56,61,B-BACIA
1,do,62,64,I-BACIA
2,Espírito,65,73,I-BACIA
3,Santo,74,79,I-BACIA
4,sedimentos,177,187,B-NÃOCONSOLID
5,arenitos,205,213,B-ROCHA
6,folhelhos,215,224,B-ROCHA
7,caléários,227,236,B-ROCHA
8,sedimentos,286,296,B-NÃOCONSOLID
9,basalto,336,343,B-ROCHA
10,arenitos,480,488,B-ROCHA
11,rochas,766,772,B-ROCHA
12,rochas,896,902,B-ROCHA
13,vulcânicas,903,913,I-ROCHA
14,sedimentos,928,938,B-NÃOCONSOLID
15,basalto,1038,1045,B-ROCHA
16,diabásio,1049,1057,B-ROCHA
17,Membro,1079,1085,B-UNIDADE_LITO
18,Santa,1086,1091,I-UNIDADE_LITO
19,Bárbara,1092,1099,I-UNIDADE_LITO
20,poço,1254,1258,B-POÇO
21,2,1259,1260,I-POÇO
22,Formação,1329,1337,B-UNIDADE_LITO
23,Abrolhos,1338,1346,I-UNIDADE_LITO
24,basaltos,1360,1368,B-ROCHA
25,diabá,1370,1375,B-ROCHA
26,tufos,1382,1387,B-ROCHA
27,brechas,1389,1396,B-ROCHA
28,sedimentos,1409,1419,B-NÃOCONSOLID
29,basalto,1471,1478,B-ROCHA
30,siltito,1667,1674,B-ROCHA
31,brecha,1914,1920,B-ROCHA
32,rocha,2273,2278,B-ROCHA
33,Formação,2403,2411,B-UNIDADE_LITO
34,A-,2412,2414,I-UNIDADE_LITO
35,sedimentos,2500,2510,B-NÃOCONSOLID
36,sedimentos,2754,2764,B-NÃOCONSOLID
37,sedimentos,2847,2857,B-NÃOCONSOLID
38,Formação,2874,2882,B-UNIDADE_LITO
39,Abrolhos,2883,2891,I-UNIDADE_LITO
40,Cretá,2918,2923,B-UNIDADE_CRONO
41,ceo,2924,2927,I-UNIDADE_CRONO
42,idade,2946,2951,B-UNIDADE_CRONO
43,bacia,3226,3231,B-BACIA
44,Membro,3261,3267,B-UNIDADE_LITO
45,Santa,3268,3273,I-UNIDADE_LITO
46,Bárbara,3274,3281,I-UNIDADE_LITO
47,diabásio,3316,3324,B-ROCHA
48,basalto,3328,3335,B-ROCHA
49,Formação,3376,3384,B-UNIDADE_LITO
50,Urucutuca,3385,3394,I-UNIDADE_LITO
51,folhelho,3411,3419,B-ROCHA
52,silti,3452,3457,B-ROCHA
53,conglomerados,3504,3517,B-ROCHA
54,folhe,3673,3678,B-ROCHA
55,lhos,3679,3683,I-ROCHA
56,arenitos,3727,3735,B-ROCHA
57,calcários,3738,3747,B-ROCHA
58,folhelhos,3859,3868,B-ROCHA
59,arenitos,3942,3950,B-ROCHA
60,calcários,4007,4016,B-ROCHA
61,Formação,4104,4112,B-UNIDADE_LITO
62,Urucutuca,4113,4122,I-UNIDADE_LITO
63,Bacia,4201,4206,B-BACIA
64,Bahia,4207,4212,I-BACIA
65,Sul/E~,4213,4219,I-BACIA
66,poço,4382,4386,B-POÇO
67,l-BAS-2A,4387,4395,I-POÇO
68,bacia,4579,4584,B-BACIA
69,sedimentos,4614,4624,B-NÃOCONSOLID
70,grupos,4629,4635,B-UNIDADE_LITO
71,Espírito,4636,4644,I-UNIDADE_LITO
72,San,4645,4648,I-UNIDADE_LITO
73,to,4649,4651,I-UNIDADE_LITO
74,Rio,4654,4657,I-UNIDADE_LITO
75,Doce,4658,4662,I-UNIDADE_LITO
76,folhelhos,4738,4747,B-ROCHA
77,olhelho,4802,4809,B-ROCHA
78,poços,4837,4842,B-POÇO
79,l-,4843,4845,I-POÇO
80,ESS-3,4845,4850,B-POÇO
81,Espirit,4863,4870,B-BACIA
82,o,4871,4872,I-UNIDADE_CRONO
83,Santo,4873,4878,I-BACIA
84,l-BAS-2A,4897,4905,B-POÇO
85,Formação,4974,4982,B-UNIDADE_LITO
86,Urucutuca,4983,4992,I-UNIDADE_LITO
87,Grupo,5052,5057,B-UNIDADE_LITO
88,Nativo,5058,5064,I-UNIDADE_LITO
89,sedimentos,5457,5467,B-NÃOCONSOLID
90,poç~,5578,5582,B-POÇO
91,ESS-2,5587,5592,B-POÇO
92,Grupo,5777,5782,B-UNIDADE_LITO
93,Rio,5783,5786,I-UNIDADE_LITO
94,Doce,5787,5791,I-UNIDADE_LITO
95,sedimentos,5905,5915,B-NÃOCONSOLID
96,Grupo,5942,5947,B-UNIDADE_LITO
97,Espírito,5948,5956,I-UNIDADE_LITO
98,San,5957,5960,I-UNIDADE_LITO
99,formações,6073,6082,B-UNIDADE_LITO
100,Piraúna,6083,6090,I-UNIDADE_LITO
101,Pirapitan,6092,6101,I-UNIDADE_LITO
102,Piranha,6107,6114,I-UNIDADE_LITO
103,água~~,6209,6215,B-FLUIDODATERRA
104,folheThos,6298,6307,B-ROCHA
105,renitos,6312,6319,B-ROCHA
106,calcário,6372,6380,B-ROCHA
107,folhelhos,6385,6394,B-ROCHA
108,arenitos,6546,6554,B-ROCHA
109,arenitos,6724,6732,B-ROCHA
110,hidro,6798,6803,B-FLUIDODATERRA
111,Grupo,6819,6824,B-UNIDADE_LITO
