,TEXT,START,END,LABEL
0,Reconcavo,107,116,B-BACIA
1,Basin~,117,123,I-BACIA
2,Candeias,455,463,B-CAMPO
3,Reconcavo,612,621,B-BACIA
4,Candeias,1223,1231,B-CAMPO
5,Reconcavo,3685,3694,B-BACIA
6,Reconeavo,5175,5184,B-UNIDADE_CRONO
7,Candeias,8963,8971,B-BACIA
8,·,11192,11193,B-UNIDADE_LITO
9,Itaparica,11194,11203,I-UNIDADE_LITO
10,Reconcavo,11640,11649,B-BACIA
11,Itaparica,13350,13359,B-CAMPO
12,Alagoas,13596,13603,B-BACIA
13,Reconcavo,13988,13997,B-BACIA
14,sedimento,14671,14680,B-NÃOCONSOLID
15,Candeias,15828,15836,B-CAMPO
16,Candeias,16793,16801,B-CAMPO
17,Candeias,17481,17489,B-CAMPO
18,Reconcavo,17520,17529,B-BACIA
19,Itsparico,18098,18107,B-UNIDADE_CRONO
20,Candeias,18117,18125,B-CAMPO
21,Candeias,18397,18405,B-CAMPO
22,Tucano,18722,18728,B-BACIA
23,Tucano,19075,19081,B-BACIA
24,Reconcavo,19088,19097,B-BACIA
25,Candeias,19600,19608,B-CAMPO
26,Candeias,20004,20012,B-CAMPO
27,Candeias,20104,20112,B-CAMPO
