,TEXT,START,END,LABEL
0,Rochas,173,179,B-ROCHA
1,Poços,192,197,B-POÇO
2,2-NB-I-BA,198,207,I-POÇO
3,Bacia,209,214,B-BACIA
4,de,215,217,I-BACIA
5,Almada,218,224,I-BACIA
6,l-TM·-l-AL,227,237,B-POÇO
7,Bacia,239,244,B-BACIA
8,de,245,247,I-BACIA
9,Serg,248,252,I-BACIA
10,!,252,253,I-BACIA
11,I-HU-2-BA,267,276,B-POÇO
12,4-eX-2-BA,279,288,B-POÇO
13,Bacia,290,295,B-BACIA
14,do,296,298,I-BACIA
15,Recôncavo,299,308,I-BACIA
16,poços,615,620,B-POÇO
17,bacias,624,630,B-BACIA
18,bacias,899,905,B-BACIA
19,poços,1118,1123,B-POÇO
20,bacias,1370,1376,B-BACIA
21,poços,1631,1636,B-POÇO
22,bacias,1883,1889,B-BACIA
23,hidrocarbonetos,2894,2909,B-FLUIDODATERRA
24,sedimentos,3040,3050,B-NÃOCONSOLID
25,bacias,3952,3958,B-BACIA
26,bacia,4235,4240,B-BACIA
27,poços,4287,4292,B-POÇO
28,hidrocarbonetos,4674,4689,B-FLUIDODATERRA
29,bacia,4697,4702,B-BACIA
30,poço,4717,4721,B-POÇO
31,2-NB,4722,4726,I-POÇO
32,Formação,4881,4889,B-UNIDADE_LITO
33,Urucutuca,4890,4899,I-UNIDADE_LITO
34,Maestrichtiano,4948,4962,B-UNIDADE_CRONO
35,hidrocarbonetos,4994,5009,B-FLUIDODATERRA
36,Bacia,5037,5042,B-BACIA
37,de,5043,5045,I-BACIA
38,Almada,5046,5052,I-BACIA
39,sedimentos,5061,5071,B-NÃOCONSOLID
40,Maestrichtiano,5182,5196,B-UNIDADE_CRONO
41,hidrocarbonetos,5283,5298,B-FLUIDODATERRA
42,Formação,5302,5310,B-UNIDADE_LITO
43,Candeias,5311,5319,I-UNIDADE_LITO
44,hidrocarbonetos,5364,5379,B-FLUIDODATERRA
45,poço,5394,5398,B-POÇO
46,l-TM-I-AL,5399,5408,I-POÇO
47,Tabulei,5410,5417,B-UNIDADE_CRONO
48,ro,5418,5420,I-UNIDADE_CRONO
49,dos,5421,5424,I-UNIDADE_CRONO
50,Martins,5425,5432,I-UNIDADE_CRONO
51,Bacia,5513,5518,B-BACIA
52,Sergipe,5519,5526,I-BACIA
53,Bacia,5543,5548,B-BACIA
54,Sergipe,5549,5556,I-BACIA
55,/Alagoas,5556,5564,I-BACIA
56,Formação,5570,5578,B-UNIDADE_LITO
57,Muribeca,5579,5587,I-UNIDADE_LITO
58,hidrocarbonetos,5668,5683,B-FLUIDODATERRA
59,hidrocarbonetos,5865,5880,B-FLUIDODATERRA
60,líquidos,5881,5889,I-FLUIDODATERRA
61,Formação,5893,5901,B-UNIDADE_LITO
62,Coqueiro,5902,5910,I-UNIDADE_LITO
63,Seco,5911,5915,I-UNIDADE_LITO
64,hidrocarbonetos,6043,6058,B-FLUIDODATERRA
65,poços,6080,6085,B-POÇO
66,l-HU-2-BA,6086,6095,I-POÇO
67,4-CX-2-BA,6115,6124,B-POÇO
68,poço,6194,6198,B-POÇO
69,óleo,6213,6217,B-FLUIDODATERRA
70,Formação,6399,6407,B-UNIDADE_LITO
71,são,6408,6411,I-UNIDADE_LITO
72,Sebastião,6412,6421,I-UNIDADE_LITO
73,poço,6438,6442,B-POÇO
74,l-HU-2-BA,6443,6452,I-POÇO
75,hidrocarbonetos,6550,6565,B-FLUIDODATERRA
76,Formação,6572,6580,B-UNIDADE_LITO
77,Pojuca,6581,6587,I-UNIDADE_LITO
78,Aratu,6589,6594,B-CAMPO
79,poço,6603,6607,B-POÇO
80,l-HU-2-BA,6608,6617,I-POÇO
81,hidrocarbonetos,6681,6696,B-FLUIDODATERRA
82,Formação,6730,6738,B-UNIDADE_LITO
83,Marfim,6739,6745,I-UNIDADE_LITO
84,hidrocarbonetos,6811,6826,B-FLUIDODATERRA
85,poço,6830,6834,B-POÇO
86,l-HU-2-BA,6835,6844,I-POÇO
87,Bacia,6854,6859,B-BACIA
88,do,6860,6862,I-BACIA
89,Reconcavo,6863,6872,I-BACIA
90,Formação,6878,6886,B-UNIDADE_LITO
91,Candeias,6887,6895,I-UNIDADE_LITO
92,hidro,7264,7269,B-FLUIDODATERRA
93,hidrocarbonetos,7458,7473,B-FLUIDODATERRA
94,Bacia,7487,7492,B-BACIA
95,do,7493,7495,I-BACIA
96,Reconcavo,7496,7505,I-BACIA
97,Formaçao,7509,7517,B-UNIDADE_LITO
98,Candeias,7518,7526,I-UNIDADE_LITO
99,poço,7579,7583,B-POÇO
100,4-CX-2-BA,7584,7593,I-POÇO
101,poço,7663,7667,B-POÇO
102,l-HU-2-BA,7668,7677,I-POÇO
103,poço,7832,7836,B-POÇO
104,2-NB-l-BA,7837,7846,I-POÇO
105,Formação,7857,7865,B-UNIDADE_LITO
106,Candeias,7866,7874,I-UNIDADE_LITO
107,hidrocarbonetos,7915,7930,B-FLUIDODATERRA
108,poço,7951,7955,B-POÇO
109,l-TM-I-AL,7956,7965,I-POÇO
110,Formação,7986,7994,B-UNIDADE_LITO
111,Muribeca,7995,8003,I-UNIDADE_LITO
112,Formação,8015,8023,B-UNIDADE_LITO
113,Penedo,8024,8030,I-UNIDADE_LITO
114,hidrocarbonetos,8068,8083,B-FLUIDODATERRA
115,hidrocarbonetos,8259,8274,B-FLUIDODATERRA
116,gases,8532,8537,B-FLUIDODATERRA
