,TEXT,START,END,LABEL
0,pre-aptiano,317,328,B-UNIDADE_CRONO
1,poco,458,462,B-POÇO
2,sedimentos,906,916,B-NÃOCONSOLID
3,pre-aptianos,934,946,B-UNIDADE_CRONO
4,Riachão,1020,1027,B-CAMPO
5,poço,1056,1060,B-POÇO
6,pre-aptiano,1284,1295,B-UNIDADE_CRONO
7,óleo,1598,1602,B-FLUIDODATERRA
8,poçoe,2576,2581,B-POÇO
9,Campo,3070,3075,B-CAMPO
10,de,3076,3078,I-CAMPO
11,Call1lÕJlOU8,3079,3091,I-CAMPO
12,hidrocarbonetos,3523,3538,B-FLUIDODATERRA
13,Campo,3542,3547,B-CAMPO
14,de,3548,3550,I-CAMPO
15,Carmopoli4,3551,3561,I-CAMPO
16,bacias,3592,3598,B-BACIA
17,sedimentos,3664,3674,B-NÃOCONSOLID
18,evaporito§,3803,3813,B-ROCHA
19,hidro9arbonetos,3843,3858,B-FLUIDODATERRA
20,sedimentos,3884,3894,B-NÃOCONSOLID
21,Aptiana,3939,3946,B-UNIDADE_CRONO
22,rocha,3973,3978,B-ROCHA
23,sedimentos,4065,4075,B-NÃOCONSOLID
24,pre-Aptiana,4563,4574,B-UNIDADE_CRONO
25,Rochas,4994,5000,B-ROCHA
26,Bacia,5261,5266,B-BACIA
27,de,5267,5269,I-BACIA
28,Sergipe,5270,5277,I-BACIA
29,pré,5466,5469,B-UNIDADE_CRONO
30,Campo,5654,5659,B-CAMPO
31,de,5660,5662,I-CAMPO
32,Cannópolis,5663,5673,I-CAMPO
33,pré-Aptiana,6281,6292,B-UNIDADE_CRONO
34,rochas,6382,6388,B-ROCHA
35,água,6487,6491,B-FLUIDODATERRA
36,bacias,6621,6627,B-BACIA
37,sedimentos,6690,6700,B-NÃOCONSOLID
38,evaporitos,7079,7089,B-ROCHA
39,hidrocarbaDet08,7144,7159,B-FLUIDODATERRA
40,Campo,7254,7259,B-CAMPO
41,de,7260,7262,I-CAMPO
42,Carmopolis,7263,7273,I-CAMPO
43,hidrocarbon~,7293,7305,B-FLUIDODATERRA
44,bacia,7385,7390,B-BACIA
45,Sergipe/Alagoas,7405,7420,B-BACIA
46,evaporitos,7540,7550,B-ROCHA
47,hidrocarbaDetos,7623,7638,B-FLUIDODATERRA
48,Campo,7727,7732,B-CAMPO
49,de,7733,7735,I-CAMPO
50,CaMÓpolls,7736,7745,I-CAMPO
51,bacia,7855,7860,B-BACIA
52,de,7861,7863,I-BACIA
53,Sergipe,7864,7871,I-BACIA
54,bacia,8141,8146,B-BACIA
55,de,8147,8149,I-BACIA
56,Sergipe,8150,8157,I-BACIA
57,bacia,8488,8493,B-BACIA
58,Aptiano,8630,8637,B-UNIDADE_CRONO
59,sedimentos,8743,8753,B-NÃOCONSOLID
60,sedimentos,8758,8768,B-NÃOCONSOLID
61,bacia,8794,8799,B-BACIA
62,sedimentos,8850,8860,B-NÃOCONSOLID
63,Aptiano,8923,8930,B-UNIDADE_CRONO
64,Cenozolco,9305,9314,B-UNIDADE_CRONO
65,bacia,9317,9322,B-BACIA
66,campo,9595,9600,B-CAMPO
67,arenitos,9672,9680,B-ROCHA
68,hidrocarbonetos,9745,9760,B-FLUIDODATERRA
69,rochas,9778,9784,B-ROCHA
70,arenitos,9848,9856,B-ROCHA
71,arenitos,9897,9905,B-ROCHA
72,rochas,9951,9957,B-ROCHA
73,rochas,10137,10143,B-ROCHA
74,águas,10665,10670,B-FLUIDODATERRA
75,bacia,10730,10735,B-BACIA
76,bacia,10864,10869,B-BACIA
77,evaporitos,11085,11095,B-ROCHA
78,sedimentos,11211,11221,B-NÃOCONSOLID
79,evaporitos,11361,11371,B-ROCHA
80,aguas,11384,11389,B-FLUIDODATERRA
81,halita,11743,11749,B-ROCHA
82,gipsita,11794,11801,B-ROCHA
83,anidrita,11805,11813,B-ROCHA
84,Siluriano,11853,11862,B-UNIDADE_CRONO
85,evaporitos,11974,11984,B-ROCHA
86,evaporitos,12293,12303,B-ROCHA
87,águas,12393,12398,B-FLUIDODATERRA
88,águas,12457,12462,B-FLUIDODATERRA
89,evaporitos,12539,12549,B-ROCHA
90,águas,12716,12721,B-FLUIDODATERRA
91,bacia,12764,12769,B-BACIA
92,águas,13003,13008,B-FLUIDODATERRA
93,sedimentos,13050,13060,B-NÃOCONSOLID
94,sedimentos,13268,13278,B-NÃOCONSOLID
95,evaporitos,13333,13343,B-ROCHA
96,evaporitos,13399,13409,B-ROCHA
97,bacia,13443,13448,B-BACIA
98,rochas,13679,13685,B-ROCHA
99,bacia,13718,13723,B-BACIA
100,águas,13761,13766,B-FLUIDODATERRA
101,águas,13822,13827,B-FLUIDODATERRA
102,salinas,13828,13835,I-FLUIDODATERRA
103,calcário,14073,14081,B-ROCHA
104,calcário,14140,14148,B-ROCHA
105,Siluriano,14229,14238,B-UNIDADE_CRONO
106,evaporitos,14276,14286,B-ROCHA
107,aguas,14383,14388,B-FLUIDODATERRA
108,Cambriano,14420,14429,B-UNIDADE_CRONO
109,evaporitos,14541,14551,B-ROCHA
110,bacias,14612,14618,B-BACIA
111,pré-Aptianos,15301,15313,B-UNIDADE_CRONO
112,sedimentos,15318,15328,B-NÃOCONSOLID
113,pre-Aptiana,15639,15650,I-UNIDADE_CRONO
114,hidrocarbonetos,15670,15685,B-FLUIDODATERRA
115,are&,15689,15693,B-BACIA
116,óleo,15813,15817,B-FLUIDODATERRA
117,idade,15952,15957,B-UNIDADE_CRONO
118,Aptiana,15958,15965,I-UNIDADE_CRONO
119,sedimentos,15987,15997,B-NÃOCONSOLID
120,hidrocarbo,16012,16022,B-FLUIDODATERRA
121,hidrocarbonetos,16116,16131,B-FLUIDODATERRA
122,sedimentos,16192,16202,B-NÃOCONSOLID
123,pre-Aptianos,16203,16215,B-UNIDADE_CRONO
124,aptiana,16291,16298,B-UNIDADE_CRONO
125,sedimentos,16354,16364,B-NÃOCONSOLID
126,evaporltos,16531,16541,B-ROCHA
127,sedimentos,16698,16708,B-NÃOCONSOLID
128,sedimentos,16878,16888,B-NÃOCONSOLID
129,aguas,17006,17011,B-FLUIDODATERRA
130,conglomerados,17043,17056,B-ROCHA
131,rochaa,17320,17326,B-ROCHA
132,embasamento,17510,17521,B-UNIDADE_LITO
133,bacia,17568,17573,B-BACIA
134,Aptiano,17627,17634,B-UNIDADE_CRONO
135,águas,17784,17789,B-FLUIDODATERRA
136,conglomerado,17826,17838,B-ROCHA
137,evaperitos,18085,18095,B-ROCHA
138,bacia,18189,18194,B-BACIA
139,aguas,18275,18280,B-FLUIDODATERRA
140,aguas,18402,18407,B-FLUIDODATERRA
141,rocha,18713,18718,B-ROCHA
142,hidrocarbonetos,18732,18747,B-FLUIDODATERRA
143,águas,18807,18812,B-FLUIDODATERRA
144,ha1ita,19009,19015,B-ROCHA
145,sedimentos,19063,19073,B-NÃOCONSOLID
146,hidrocarbonetos,19176,19191,B-FLUIDODATERRA
147,rochas,19350,19356,B-ROCHA
148,c1ásticas,19357,19366,I-ROCHA
149,hidrocarbonetos,19435,19450,B-FLUIDODATERRA
150,água,19511,19515,B-FLUIDODATERRA
151,Campo,19654,19659,B-CAMPO
152,de,19660,19662,I-CAMPO
153,Carmópo1is,19663,19673,I-CAMPO
154,rocha,19866,19871,B-ROCHA
155,pré-Aptiana,20077,20088,B-UNIDADE_CRONO
156,rochas,20208,20214,B-ROCHA
157,hidrocarbonetos,20454,20469,B-FLUIDODATERRA
158,sedimentos,20504,20514,B-NÃOCONSOLID
159,caloários,20556,20565,B-ROCHA
160,folhelhos,20568,20577,B-ROCHA
161,formação,20632,20640,B-UNIDADE_LITO
162,Muribeoa,20641,20649,I-UNIDADE_LITO
163,formação,20695,20703,B-UNIDADE_LITO
164,Muribeca,20704,20712,I-UNIDADE_LITO
165,sedimentos,20726,20736,B-NÃOCONSOLID
