,TEXT,START,END,LABEL
0,IIArenito,26,35,B-UNIDADE_CRONO
1,Ali,36,39,I-ROCHA
2,poços,124,129,B-POÇO
3,Arenito,347,354,B-ROCHA
4,rocha,699,704,B-ROCHA
5,arenitos,782,790,B-ROCHA
6,em,1799,1801,B-UNIDADE_LITO
7,rocha,1926,1931,B-ROCHA
8,Arenito,2543,2550,B-ROCHA
9,argila,2653,2659,B-NÃOCONSOLID
10,poço,3257,3261,B-POÇO
11,Quartzarenito,3316,3329,B-ROCHA
12,folhelhos,3678,3687,B-ROCHA
13,rochas,4072,4078,B-ROCHA
14,sedimento,4138,4147,B-NÃOCONSOLID
15,sedimentos,4307,4317,B-NÃOCONSOLID
16,folhelhos,4487,4496,B-ROCHA
17,Arenito,4922,4929,B-ROCHA
18,argila,5677,5683,B-NÃOCONSOLID
19,arenitos,6277,6285,B-ROCHA
20,argila,6393,6399,B-NÃOCONSOLID
21,argila,6643,6649,B-NÃOCONSOLID
22,Arenito,7148,7155,B-ROCHA
23,folhelho,7696,7704,B-ROCHA
24,calcit,8105,8111,B-ROCHA
25,7-AR-65-BA,9175,9185,B-POÇO
26,areia,9425,9430,B-NÃOCONSOLID
27,7-I-I8-BA,10230,10239,B-POÇO
28,arenitoo,10311,10319,B-ROCHA
29,calcífero,10411,10420,B-ROCHA
30,areia,10444,10449,B-NÃOCONSOLID
31,7-FP-7-BA,10873,10882,B-POÇO
32,areia,10951,10956,B-NÃOCONSOLID
33,areia,11812,11817,B-NÃOCONSOLID
34,ortoclásio,12687,12697,B-ROCHA
35,areias,13745,13751,B-NÃOCONSOLID
36,Areia,18685,18690,B-NÃOCONSOLID
37,rocha,20396,20401,B-ROCHA
38,calcl,21301,21306,B-ROCHA
39,Muacovita,21373,21382,B-ROCHA
40,Bolhelho,24214,24222,B-ROCHA
41,Polhelho,26646,26654,B-ROCHA
42,argila,26948,26954,B-NÃOCONSOLID
43,arenito,30405,30412,B-ROCHA
44,Folhelho,33797,33805,B-ROCHA
45,Polhelho,34336,34344,B-ROCHA
46,Folbelho,36870,36878,B-ROCHA
