,TEXT,START,END,LABEL
0,poços,1418,1423,B-POÇO
1,3-SP-3-BA,1424,1433,I-POÇO
2,3-SP-7-BA,1436,1445,B-POÇO
3,poços,1601,1606,B-POÇO
4,poços,1665,1670,B-POÇO
5,Recôncav.o,1674,1684,B-BACIA
6,Candeias,1974,1982,B-CAMPO
7,3-SP,2259,2263,B-POÇO
8,poços,2431,2436,B-POÇO
9,argilas,2483,2490,B-NÃOCONSOLID
10,ços,2499,2502,B-BACIA
11,do,2503,2505,I-BACIA
12,Rec,2506,2509,I-BACIA
13,ôncavo~,2510,2517,I-BACIA
14,POÇO,3720,3724,B-POÇO
15,3-SP-3,3725,3731,I-POÇO
16,poço,3743,3747,B-POÇO
17,poços,4477,4482,B-POÇO
18,1-TB,4511,4515,B-POÇO
19,poços,4682,4687,B-POÇO
20,sedimentos,5814,5824,B-NÃOCONSOLID
21,poços,6302,6307,B-POÇO
22,sedimento,6641,6650,B-NÃOCONSOLID
23,3-.SP-3-l!,6905,6915,B-POÇO
24,3-SP-7-BA,6945,6954,B-POÇO
25,3-SP-7,7042,7048,B-POÇO
26,3-SP-3-,7062,7069,B-POÇO
27,3-SP-7,7192,7198,B-POÇO
28,Poço,7650,7654,B-POÇO
29,3-SP-7BA,7655,7663,I-POÇO
30,sedimentos,8706,8716,B-NÃOCONSOLID
31,sedimentos,8762,8772,B-NÃOCONSOLID
32,Recôncavo,8830,8839,B-BACIA
33,Dom,9293,9296,B-CAMPO
34,Fazenda,9329,9336,B-CAMPO
35,Boa,9337,9340,I-CAMPO
36,Esperança,9341,9350,I-CAMPO
37,Quiambina,9352,9361,B-CAMPO
38,bacia,9542,9547,B-BACIA
39,do,9548,9550,I-BACIA
40,Recôncavo,9551,9560,I-BACIA
