,TEXT,START,END,LABEL
0,poços,450,455,B-POÇO
1,campo,459,464,B-CAMPO
2,7-1,2085,2088,B-POÇO
3,campo,2153,2158,B-CAMPO
4,do,2159,2161,I-CAMPO
5,Teboleiro,2162,2171,I-CAMPO
6,do,2172,2174,I-CAMPO
7,Martins,2175,2182,I-CAMPO
8,bacia,2294,2299,B-BACIA
9,óleo,2368,2372,B-FLUIDODATERRA
10,óleo,2516,2520,B-FLUIDODATERRA
11,poço,2524,2528,B-POÇO
12,TM-l-Al,2529,2536,I-POÇO
13,poço,2617,2621,B-POÇO
14,campo,2683,2688,B-CAMPO
15,peços,2725,2730,B-POÇO
16,poços,2783,2788,B-POÇO
17,arenitos,2920,2928,B-ROCHA
18,campo,3365,3370,B-CAMPO
19,do,3371,3373,I-CAMPO
20,Teboleiro,3374,3383,I-CAMPO
21,do,3384,3386,I-CAMPO
22,Martins,3387,3394,I-CAMPO
23,formações,3464,3473,B-UNIDADE_LITO
24,Barreires,3474,3483,I-UNIDADE_LITO
25,Terciório,3486,3495,I-UNIDADE_LITO
26,sedimentos,3513,3523,B-NÃOCONSOLID
27,cretóceos,3524,3533,B-UNIDADE_CRONO
28,formações,3551,3560,B-UNIDADE_LITO
29,Alegoas,3561,3568,I-UNIDADE_LITO
30,hidrocarbonetos,3652,3667,B-FLUIDODATERRA
31,campo,3671,3676,B-CAMPO
32,campo,4225,4230,B-CAMPO
33,do,4231,4233,I-CAMPO
34,Taboleiro,4234,4243,I-CAMPO
35,do,4244,4246,I-CAMPO
36,Martins,4247,4254,I-CAMPO
37,Teboleiro,4708,4717,B-CAMPO
38,campo,4806,4811,B-CAMPO
39,campo,4961,4966,B-CAMPO
40,campo,5675,5680,B-CAMPO
41,Tebeleiro,5684,5693,B-CAMPO
42,do,5694,5696,I-CAMPO
43,Martins,5697,5704,I-CAMPO
44,poço,6401,6405,B-POÇO
45,TMX-l-Al,6406,6414,I-POÇO
46,hidrocerbonetos,6456,6471,B-FLUIDODATERRA
47,poço,6566,6570,B-POÇO
48,campo,7420,7425,B-CAMPO
49,do,7426,7428,I-CAMPO
50,Taboleire,7429,7438,I-CAMPO
51,óleo,7579,7583,B-FLUIDODATERRA
52,campo,7587,7592,B-CAMPO
53,poços,7931,7936,B-POÇO
54,pioneiros,7937,7946,B-POÇO
55,campo,8400,8405,B-CAMPO
56,sedimentos,8445,8455,B-NÃOCONSOLID
57,cretéceos,8456,8465,B-UNIDADE_CRONO
58,Jequié,8744,8750,B-BACIA
59,campo,8845,8850,B-CAMPO
60,arenitos,8861,8869,B-ROCHA
61,formação,8873,8881,B-UNIDADE_LITO
62,™-1-Al,9046,9052,B-POÇO
63,sedimentos,9142,9152,B-NÃOCONSOLID
64,formação,9156,9164,B-UNIDADE_LITO
65,Poxim,9165,9170,I-UNIDADE_LITO
66,bacia,9246,9251,B-BACIA
67,sedimentos,9315,9325,B-NÃOCONSOLID
68,poço,9416,9420,B-POÇO
69,TH-1-,9421,9426,I-POÇO
70,poços,9619,9624,B-POÇO
71,poço,9822,9826,B-POÇO
72,TH-l.Al,9827,9834,I-POÇO
73,poços,9887,9892,B-POÇO
74,TH-3-Al,9893,9900,I-POÇO
75,sedimentos,10224,10234,B-NÃOCONSOLID
76,formação,10238,10246,B-UNIDADE_LITO
77,Alagoas,10247,10254,I-UNIDADE_LITO
78,sedimentos,10268,10278,B-NÃOCONSOLID
79,cretéceos,10279,10288,B-UNIDADE_CRONO
80,formação,10300,10308,B-UNIDADE_LITO
81,Alegoas,10309,10316,I-UNIDADE_LITO
82,aptiens,10372,10379,B-UNIDADE_CRONO
83,sedimentos,10393,10403,B-NÃOCONSOLID
84,poços,10450,10455,B-POÇO
85,campo,10470,10475,B-CAMPO
86,arenitos,10521,10529,B-ROCHA
87,folhelho,10714,10722,B-ROCHA
88,castonho,10734,10742,B-ROCHA
89,gipsite,10774,10781,B-ROCHA
90,poços,10808,10813,B-POÇO
91,campo,10955,10960,B-CAMPO
92,conglomerado,10976,10988,B-ROCHA
93,sei,10994,10997,B-NÃOCONSOLID
94,grenito,11017,11024,B-ROCHA
95,óleo,11173,11177,B-FLUIDODATERRA
96,formação,11213,11221,B-UNIDADE_LITO
97,Maceió,11222,11228,I-UNIDADE_LITO
98,formação,11255,11263,B-UNIDADE_LITO
99,Alegoss,11264,11271,I-UNIDADE_LITO
100,calcífero,11604,11613,B-ROCHA
101,folhelho,11617,11625,B-ROCHA
102,folhelho,11802,11810,B-ROCHA
103,poço,12230,12234,B-POÇO
104,NT-1,12235,12239,I-POÇO
105,campo,12442,12447,B-CAMPO
106,campo,12825,12830,B-CAMPO
107,formação,12985,12993,B-UNIDADE_LITO
108,Maceió,12994,13000,I-UNIDADE_LITO
109,conglomers-do,13786,13799,B-ROCHA
110,poços,13918,13923,B-POÇO
111,óleo,14104,14108,B-FLUIDODATERRA
112,campo,14112,14117,B-CAMPO
113,do,14118,14120,I-CAMPO
114,Teboleiro,14121,14130,I-CAMPO
115,',14131,14132,I-CAMPO
116,do,14133,14135,I-CAMPO
117,Martins,14136,14143,I-CAMPO
118,srenitos,14154,14162,B-ROCHA
119,formação,14195,14203,B-UNIDADE_LITO
120,Meceié,14204,14210,I-UNIDADE_LITO
121,formação,14345,14353,B-UNIDADE_LITO
122,Jequié,14354,14360,I-UNIDADE_LITO
123,hidrocsrbonetos,14441,14456,B-FLUIDODATERRA
124,poços,14481,14486,B-POÇO
125,hidrocsrtonetos,14640,14655,B-FLUIDODATERRA
126,poço,15230,15234,B-POÇO
127,THe6-hl,15235,15242,I-POÇO
128,poços,15403,15408,B-POÇO
129,hidrocarbonetos,15458,15473,B-FLUIDODATERRA
130,atusis,15913,15919,B-ROCHA
131,campo,16091,16096,B-CAMPO
132,campo,16446,16451,B-CAMPO
133,poços,16484,16489,B-POÇO
134,TM-8Al,16796,16802,B-POÇO
135,poços,16911,16916,B-POÇO
136,2,16917,16918,I-POÇO
137,T.3-A1,16921,16927,B-POÇO
138,poços,17354,17359,B-POÇO
139,THelj,17360,17365,I-POÇO
140,TH.6=Al,17368,17375,B-POÇO
141,campo,17594,17599,B-CAMPO
142,poços,18355,18360,B-POÇO
143,poços,18653,18658,B-POÇO
144,poços,18730,18735,B-POÇO
145,folhelho,19521,19529,B-ROCHA
146,folhelho,19584,19592,B-ROCHA
147,poço,19952,19956,B-POÇO
148,séco,19957,19961,I-POÇO
