,TEXT,START,END,LABEL
0,Agua,228,232,B-CAMPO
1,Grande,233,239,I-CAMPO
2,‘the,4209,4213,B-BACIA
3,‘,4470,4471,B-UNIDADE_LITO
4,Barreiras,4471,4480,I-UNIDADE_LITO
5,Agua,4772,4776,B-CAMPO
6,Agua,4791,4795,B-CAMPO
7,Agua,6068,6072,B-CAMPO
8,Agua,6246,6250,B-CAMPO
9,silte,6664,6669,B-NÃOCONSOLID
10,Agua,6959,6963,B-CAMPO
11,Agua,6987,6991,B-CAMPO
12,Agua,7758,7762,B-CAMPO
13,Grando,7763,7769,I-CAMPO
14,agua,8211,8215,B-FLUIDODATERRA
15,Agua,8271,8275,B-CAMPO
16,Agua,8919,8923,B-CAMPO
17,Grando,8924,8930,I-CAMPO
18,Agua,9002,9006,B-CAMPO
19,Pojuca,9162,9168,B-BACIA
20,Agua,11926,11930,B-CAMPO
21,Grande,11931,11937,I-CAMPO
22,Agua’,12405,12410,B-CAMPO
23,Agua,12538,12542,B-CAMPO
24,Grande,12543,12549,I-CAMPO
25,Agua,12611,12615,B-CAMPO
26,Grande,12616,12622,I-CAMPO
27,Agua,12918,12922,B-CAMPO
28,Agua,13517,13521,B-CAMPO
29,Grande,13522,13528,I-CAMPO
30,Catá,13682,13686,B-CAMPO
31,ES-9,13845,13849,B-POÇO
32,Agua,14831,14835,B-CAMPO
33,Grande,14836,14842,I-CAMPO
34,Recôncavo,14943,14952,B-BACIA
35,Recôncavo,15582,15591,B-BACIA
36,Pojuca,15681,15687,B-BACIA
37,Agua,16014,16018,B-CAMPO
38,Grande,16019,16025,I-CAMPO
39,Agua,16352,16356,B-CAMPO
40,Grande,16357,16363,I-CAMPO
41,Agua,16707,16711,B-CAMPO
42,Grande,16712,16718,I-CAMPO
43,Agua,16910,16914,B-CAMPO
44,Agua,17053,17057,B-CAMPO
45,Agua,17357,17361,B-CAMPO
