,TEXT,START,END,LABEL
0,Reconcavo,323,332,B-BACIA
1,Catu,3736,3740,B-CAMPO
2,bacia,5761,5766,B-BACIA
3,do,5767,5769,I-BACIA
4,rio,5770,5773,I-BACIA
5,pojuea,5774,5780,I-BACIA
6,Cretaceo,6139,6147,B-UNIDADE_CRONO
7,Teroiario,6177,6186,B-UNIDADE_CRONO
8,Catu,6277,6281,B-CAMPO
9,folhelho,6473,6481,B-ROCHA
10,Buraci~a,6575,6583,B-CAMPO
11,arenito,6629,6636,B-ROCHA
12,arenito,6804,6811,B-ROCHA
13,arenito,6896,6903,B-ROCHA
14,arenito,8495,8502,B-ROCHA
15,Pojuoa,8759,8765,B-CAMPO
16,fazenda,8827,8834,B-CAMPO
17,Cono,8835,8839,I-CAMPO
18,ção,8840,8843,I-CAMPO
19,Sucupira,8846,8854,B-CAMPO
20,arenito,9072,9079,B-ROCHA
21,Buracica,9600,9608,B-CAMPO
22,fazendas,9710,9718,B-CAMPO
23,Vitória,9719,9726,I-CAMPO
24,campo,10786,10791,B-CAMPO
