,TEXT,START,END,LABEL
0,campo,217,222,B-CAMPO
1,de,223,225,I-CAMPO
2,Mata,226,230,I-CAMPO
3,fazendas,248,256,B-CAMPO
4,Urubu,265,270,I-CAMPO
5,sedimentos,1922,1932,B-NÃOCONSOLID
6,formação,1936,1944,B-UNIDADE_LITO
7,Ilhas,1945,1950,I-UNIDADE_LITO
8,campo,1965,1970,B-CAMPO
9,campos,2171,2177,B-CAMPO
10,de,2178,2180,I-CAMPO
11,Agua,2181,2185,I-CAMPO
12,Grande,2186,2192,I-CAMPO
13,Pojuca,2194,2200,B-CAMPO
14,Mata,2203,2207,B-CAMPO
15,de,2208,2210,I-CAMPO
16,são,2211,2214,I-CAMPO
17,João,2215,2219,I-CAMPO
18,sedimentos,2231,2241,B-NÃOCONSOLID
19,"cretáciosQ,1e",2242,2255,B-UNIDADE_CRONO
20,formações,2288,2297,B-UNIDADE_LITO
21,I,2298,2299,I-UNIDADE_LITO
22,lhas,2300,2304,I-UNIDADE_LITO
23,sedimentos,2427,2437,B-NÃOCONSOLID
24,formação,2478,2486,B-UNIDADE_LITO
25,Barreiras,2487,2496,I-UNIDADE_LITO
26,fazendas,2780,2788,B-CAMPO
27,JacUípe,2789,2796,I-CAMPO
28,fazenda,3355,3362,B-CAMPO
29,Bagre,3363,3368,I-CAMPO
30,arenitos,3422,3430,B-ROCHA
31,formação,3478,3486,B-UNIDADE_LITO
32,folhelho,3632,3640,B-ROCHA
33,calcaria,3680,3688,B-ROCHA
34,Iiuito,3691,3697,B-ROCHA
35,folhelho,3764,3772,B-ROCHA
36,sedimentos,3877,3887,B-NÃOCONSOLID
37,quaternarios,3888,3900,B-UNIDADE_CRONO
38,folhelho,3949,3957,B-ROCHA
39,árenitos,4252,4260,B-ROCHA
40,fazenda,4396,4403,B-CAMPO
41,Jacuipe,4404,4411,I-CAMPO
42,arenito,4456,4463,B-ROCHA
43,formações,4985,4994,B-UNIDADE_LITO
44,Ilhas,4995,5000,I-UNIDADE_LITO
45,são,5003,5006,I-UNIDADE_LITO
46,Sebastião,5007,5016,I-UNIDADE_LITO
47,calcários,5265,5274,B-ROCHA
48,arenitos,5444,5452,B-ROCHA
49,siltitos,5571,5579,B-ROCHA
50,folhelhos,5582,5591,B-ROCHA
51,calcários,5707,5716,B-ROCHA
52,folhelho,5724,5732,B-ROCHA
53,folhelho,5828,5836,B-ROCHA
54,folhelho,5947,5955,B-ROCHA
55,folhelhos,6041,6050,B-ROCHA
56,calcarios,6126,6135,B-ROCHA
57,sedimentos,6183,6193,B-NÃOCONSOLID
58,areias,6300,6306,B-NÃOCONSOLID
59,argilas,6309,6316,B-NÃOCONSOLID
60,Formação,6421,6429,B-UNIDADE_LITO
61,Barreiras,6430,6439,I-UNIDADE_LITO
62,areias,6562,6568,B-NÃOCONSOLID
63,argilas,6571,6578,B-NÃOCONSOLID
64,Formaçao,6658,6666,B-UNIDADE_LITO
65,Sao,6667,6670,I-UNIDADE_LITO
66,Sebastiao,6671,6680,I-UNIDADE_LITO
67,arenitos,6753,6761,B-ROCHA
68,folhelhos,6795,6804,B-ROCHA
69,siltitos,6830,6838,B-ROCHA
70,folhelho,6899,6907,B-ROCHA
71,arenitos,6927,6935,B-ROCHA
72,limonita,7040,7048,B-ROCHA
73,arenitos,7083,7091,B-ROCHA
74,Arenitos,7187,7195,B-ROCHA
75,arenitos,7304,7312,B-ROCHA
76,granulã,7316,7323,B-ROCHA
77,fazenda,7495,7502,B-CAMPO
78,Jacuipe,7503,7510,I-CAMPO
79,arenito,7686,7693,B-ROCHA
80,Arenitos,7723,7731,B-ROCHA
81,arenitos,7855,7863,B-ROCHA
82,Arenitos,8126,8134,B-ROCHA
83,rocha,8279,8284,B-ROCHA
84,arenitos,8385,8393,B-ROCHA
85,rocha,8490,8495,B-ROCHA
86,fazendas,8582,8590,B-CAMPO
87,Buril,8591,8596,I-CAMPO
88,Urubu,8598,8603,I-CAMPO
89,Lunda,8606,8611,I-CAMPO
90,folhelhos,8735,8744,B-ROCHA
91,siltitos,8747,8755,B-ROCHA
92,coprolitos,8904,8914,B-ROCHA
93,arenitos,8949,8957,B-ROCHA
94,sedimentos,9015,9025,B-NÃOCONSOLID
95,sedimentos,9182,9192,B-NÃOCONSOLID
96,arenitos,9271,9279,B-ROCHA
97,campo,9332,9337,B-CAMPO
98,de,9338,9340,I-CAMPO
99,Mata-Pitanga,9341,9353,I-CAMPO
100,formação,9461,9469,B-UNIDADE_LITO
101,Ilhas,9470,9475,I-UNIDADE_LITO
102,poço,9777,9781,B-POÇO
103,MJ-5-BQ.,9782,9790,I-POÇO
104,folhelhos,9830,9839,B-ROCHA
105,folhelhos,9842,9851,B-ROCHA
106,arenitos,9982,9990,B-ROCHA
107,arenitos,9993,10001,B-ROCHA
108,poços,10122,10127,B-POÇO
109,Mata,10131,10135,B-BACIA
110,poços,10223,10228,B-POÇO
111,arenito,10249,10256,B-ROCHA
112,folhelho,10274,10282,B-ROCHA
113,poços,10383,10388,B-POÇO
114,MJ-2,10406,10410,B-POÇO
115,siltitos,10598,10606,B-ROCHA
