,TEXT,START,END,LABEL
0,Reconcavo,76,85,B-BACIA
1,Reconcavo,408,417,B-BACIA
2,Recôn,2138,2143,B-BACIA
3,Catuiçara,3331,3340,B-UNIDADE_CRONO
4,Reconcavo,4768,4777,B-BACIA
5,Reconcavo,4913,4922,B-BACIA
6,Dom,5028,5031,B-CAMPO
7,Dom,5284,5287,B-CAMPO
8,João,5288,5292,I-CAMPO
9,Catu1çara,5618,5627,B-CAMPO
10,Pindobal,5690,5698,B-CAMPO
11,Reeoncavo,7040,7049,B-BACIA
12,Itaparica,9238,9247,B-CAMPO
13,Itaparica,9459,9468,B-CAMPO
14,Dom,18151,18154,B-CAMPO
15,João,18155,18159,I-CAMPO
16,Catu,18655,18659,B-CAMPO
17,Recôncavo,20088,20097,B-BACIA
18,Dom,20099,20102,B-CAMPO
19,João,20103,20107,I-CAMPO
20,Candeias,20109,20117,B-CAMPO
21,Dom,20882,20885,B-CAMPO
22,Recôncavo,23275,23284,B-BACIA
23,Pedrão,23594,23600,B-CAMPO
24,Itaparica,24862,24871,B-CAMPO
25,Itaparica,25316,25325,B-CAMPO
26,Dom,25688,25691,B-CAMPO
27,João,25692,25696,I-CAMPO
28,Candeias,26898,26906,B-CAMPO
29,Pojuca,27841,27847,B-BACIA
30,fazenda,28306,28313,B-CAMPO
31,Dom,29194,29197,B-CAMPO
32,Dom,30845,30848,B-CAMPO
33,João,30849,30853,I-CAMPO
34,Candeias,30858,30866,B-CAMPO
35,Dom,33302,33305,B-CAMPO
36,João,33306,33310,I-CAMPO
37,Dom,33418,33421,B-CAMPO
38,Dom,36535,36538,B-CAMPO
39,João,36539,36543,I-CAMPO
