,TEXT,START,END,LABEL
0,Tucano,148,154,B-BACIA
1,ES-9,781,785,B-POÇO
2,poços,887,892,B-POÇO
3,estratigráficos,895,910,B-POÇO
4,Jatobá,933,939,B-BACIA
5,ES-7,1153,1157,B-POÇO
6,poços,1835,1840,B-POÇO
7,Tucano,2220,2226,B-BACIA
8,Bacia,2278,2283,B-BACIA
9,de,2284,2286,I-BACIA
10,',2287,2288,I-BACIA
11,i'ucano,2288,2295,I-BACIA
12,bacia,2766,2771,B-BACIA
13,de,2772,2774,I-BACIA
14,Tucane-JatQoi,2775,2788,I-BACIA
15,bacia,2930,2935,B-BACIA
16,de,2936,2938,I-BACIA
17,Tuca,2939,2943,I-BACIA
18,bacia,3084,3089,B-BACIA
19,Tuoano,5046,5052,B-UNIDADE_CRONO
20,Tuoanos,5408,5415,B-UNIDADE_CRONO
21,Tuoano,5464,5470,B-UNIDADE_CRONO
22,Tuoano,5936,5942,B-UNIDADE_CRONO
23,neoessários,6159,6170,B-UNIDADE_CRONO
24,Bacia,7299,7304,B-BACIA
25,de,7305,7307,I-BACIA
26,Tuoano-Jatobá,7308,7321,I-BACIA
