,TEXT,START,END,LABEL
0,Recôncavo,467,476,B-BACIA
1,bacia,688,693,B-BACIA
2,Paleozóico,852,862,B-UNIDADE_CRONO
3,Candeias,1035,1043,B-CAMPO
4,Bacia,3226,3231,B-BACIA
5,do,3232,3234,I-BACIA
6,l4ara,3235,3240,I-BACIA
7,Bacia,3907,3912,B-BACIA
8,dOMutulhão,3913,3923,I-BACIA
9,Recôncavo,5319,5328,B-BACIA
10,Bacia,8513,8518,B-BACIA
11,@,8519,8520,I-BACIA
12,Maranhão,8521,8529,I-BACIA
13,siluriano,10458,10467,B-UNIDADE_CRONO
14,Folhelho,10633,10641,B-ROCHA
15,de,10642,10644,I-ROCHA
16,Ibimirim,10645,10653,I-ROCHA
17,Folhelho,10706,10714,B-ROCHA
18,de,10715,10717,I-ROCHA
19,Ibimirim,10718,10726,I-ROCHA
20,Devoniano,10787,10796,B-UNIDADE_CRONO
21,Folhelho,10957,10965,B-ROCHA
22,folhelho,11004,11012,B-ROCHA
23,Folhelho,11605,11613,B-ROCHA
24,folhelho,11661,11669,B-ROCHA
25,silurianc,11813,11822,B-UNIDADE_CRONO
26,devoniano,11825,11834,B-UNIDADE_CRONO
27,Bacia,11838,11843,B-BACIA
28,de,11844,11846,I-BACIA
29,Jatobá,11847,11853,I-BACIA
30,sedimentos,12002,12012,B-NÃOCONSOLID
31,Grupo,12896,12901,B-UNIDADE_LITO
32,Fonte,12902,12907,I-UNIDADE_LITO
33,Grossa,12908,12914,I-UNIDADE_LITO
34,Folhelho,13379,13387,B-ROCHA
35,folhelho,13423,13431,B-ROCHA
36,Bacia,14348,14353,B-BACIA
37,poços,16568,16573,B-POÇO
