,TEXT,START,END,LABEL
0,Tucano,99,105,B-BACIA
1,Recôncavo,146,155,B-BACIA
2,Tucano,1950,1956,B-BACIA
3,Basin,1957,1962,I-BACIA
4,Recôncavo,2047,2056,B-BACIA
5,PR-1-Ba,2165,2172,B-POÇO
6,Recôncavo,2215,2224,B-BACIA
7,PR-1,2412,2416,B-POÇO
8,Tucano,2484,2490,B-BACIA
9,Basin,2491,2496,I-BACIA
10,Recôncavo,2515,2524,B-BACIA
11,Candeias,2650,2658,B-CAMPO
12,Candeias,6238,6246,B-CAMPO
13,Tucano,8619,8625,B-BACIA
14,poços,11547,11552,B-POÇO
15,At-l-Ba,11553,11560,I-POÇO
16,Pr-l-Ba,11581,11588,B-POÇO
17,membro,11825,11831,B-UNIDADE_LITO
18,Itaparica,11832,11841,I-UNIDADE_LITO
19,areia,11943,11948,B-NÃOCONSOLID
20,poços,12215,12220,B-POÇO
21,Mc-l-Ba,12221,12228,I-POÇO
22,formação,12254,12262,B-UNIDADE_LITO
23,Vermelho,12263,12271,I-UNIDADE_LITO
24,membro,12379,12385,B-UNIDADE_LITO
25,Candeias,12386,12394,I-UNIDADE_LITO
26,Tucano,12436,12442,B-BACIA
27,sedimentos,12591,12601,B-NÃOCONSOLID
28,sedimentos,12745,12755,B-NÃOCONSOLID
29,cretaceos,12756,12765,B-UNIDADE_CRONO
30,Reconcavo,12844,12853,B-BACIA
31,bacia,12905,12910,B-BACIA
32,de,12911,12913,I-BACIA
33,Tucano,12914,12920,I-BACIA
34,poço,12927,12931,B-POÇO
35,Mc-l-Ba,12932,12939,I-POÇO
36,agua,12963,12967,B-FLUIDODATERRA
37,salgada,12968,12975,I-FLUIDODATERRA
38,folhelhos,13003,13012,B-ROCHA
39,formação,13016,13024,B-UNIDADE_LITO
40,Vermelho,13025,13033,I-UNIDADE_LITO
41,Candeias,13053,13061,I-UNIDADE_LITO
42,bacia,13249,13254,B-BACIA
43,Tucano,13363,13369,B-BACIA
44,Reconcavo,13418,13427,B-BACIA
