,TEXT,START,END,LABEL
0,evaporitos,77,87,B-ROCHA
1,bacias,157,163,B-BACIA
2,bacias,269,275,B-BACIA
3,albo-aptianas,276,289,B-UNIDADE_CRONO
4,Bacias,826,832,B-BACIA
5,Albo-Aptiano,1081,1093,B-UNIDADE_CRONO
6,Cenomaniano,1494,1505,B-UNIDADE_CRONO
7,Campaniano,2201,2211,B-UNIDADE_CRONO
8,bacias,2705,2711,B-BACIA
9,bacias,2793,2799,B-BACIA
10,bacias,3039,3045,B-BACIA
11,hidrocarbonetos,3145,3160,B-FLUIDODATERRA
12,bacias,3495,3501,B-BACIA
13,aptianas,3512,3520,B-UNIDADE_CRONO
14,hidrocarbonetos,3622,3637,B-FLUIDODATERRA
15,bacias,3788,3794,B-BACIA
16,bacias,4162,4168,B-BACIA
17,bacias,4665,4671,B-BACIA
18,Albo-Aptiano,4821,4833,B-UNIDADE_CRONO
19,Rochas,4880,4886,B-ROCHA
20,sedimentos,4956,4966,B-NÃOCONSOLID
21,Albo-Aptia,4970,4980,B-UNIDADE_CRONO
22,bacias,6138,6144,B-BACIA
23,Albo-Aptiano,6264,6276,B-UNIDADE_CRONO
24,Sergipe,6304,6311,B-BACIA
25,Barreiri,6314,6322,B-BACIA
26,cretáceo,6333,6341,B-UNIDADE_CRONO
27,Inferior,6342,6350,I-UNIDADE_CRONO
28,Recôncavo,6352,6361,B-BACIA
29,bacias,6588,6594,B-BACIA
30,sedimentos,6652,6662,B-NÃOCONSOLID
31,albo-aptianos,6663,6676,B-UNIDADE_CRONO
32,Albo-Aptiano,6794,6806,B-UNIDADE_CRONO
33,bacias,6865,6871,B-BACIA
34,rochas,6944,6950,B-ROCHA
35,albo-aptianas,7182,7195,B-UNIDADE_CRONO
36,sedimentos,7325,7335,B-NÃOCONSOLID
37,albo-aptianos,7336,7349,B-UNIDADE_CRONO
38,Bacias,7436,7442,B-BACIA
39,de,7443,7445,I-BACIA
40,Barreiril1has,7446,7459,I-BACIA
41,Sergipe-Alagoas,7462,7477,I-BACIA
42,bacias,7792,7798,B-BACIA
43,albo-aptianas,8832,8845,B-UNIDADE_CRONO
44,bacias,9098,9104,B-BACIA
45,Cretáceo,9134,9142,B-UNIDADE_CRONO
46,sedimentos,9318,9328,B-NÃOCONSOLID
47,Recôncavo,9382,9391,B-BACIA
48,Albo-Aptiano,9393,9405,B-UNIDADE_CRONO
49,Barreirinhas,9418,9430,B-BACIA
50,Maestrichtiano,9574,9588,B-UNIDADE_CRONO
51,Campaniano,9589,9599,B-UNIDADE_CRONO
52,Paleoceno,9601,9610,B-UNIDADE_CRONO
53,Eoceno,9612,9618,B-UNIDADE_CRONO
54,Oligoceno,9621,9630,B-UNIDADE_CRONO
55,Santo,9643,9648,I-UNIDADE_CRONO
56,Albo-Aptiano,9683,9695,B-UNIDADE_CRONO
57,Bacia,9699,9704,B-BACIA
58,Potiguar,9705,9713,I-BACIA
59,rochas,9990,9996,B-ROCHA
60,carbonáticas,9997,10009,I-ROCHA
61,Cenomaniano,10093,10104,B-UNIDADE_CRONO
62,Bacia,10108,10113,B-BACIA
63,de,10114,10116,I-BACIA
64,Barreirinhas,10117,10129,I-BACIA
65,calcários,10144,10153,B-ROCHA
66,dep6sitos,10428,10437,B-ROCHA
67,bacia,10624,10629,B-BACIA
68,Albo-Aptiano,11646,11658,B-UNIDADE_CRONO
69,Cambriano,11801,11810,B-UNIDADE_CRONO
70,Albo-Aptiano,11978,11990,B-UNIDADE_CRONO
71,Cretáceo,12061,12069,B-UNIDADE_CRONO
72,bacia,12078,12083,B-BACIA
73,albo-aptiana,12267,12279,B-UNIDADE_CRONO
74,Albo-Aptiano,13106,13118,B-UNIDADE_CRONO
