,TEXT,START,END,LABEL
0,Bacia,114,119,B-BACIA
1,do,120,122,I-BACIA
2,Recôncavo,123,132,I-BACIA
3,Bacia,231,236,B-BACIA
4,o,237,238,I-BACIA
5,Recônc,239,245,I-BACIA
6,Bacia,465,470,B-BACIA
7,do,471,473,I-BACIA
8,Rec6ncavo,474,483,I-BACIA
9,bacia,935,940,B-BACIA
10,sedimentos,1129,1139,B-NÃOCONSOLID
11,Recôncavo,1143,1152,B-BACIA
12,bacia,1259,1264,B-BACIA
13,Bacia,1333,1338,B-BACIA
14,do,1339,1341,I-BACIA
15,Recôncavo,1342,1351,I-BACIA
16,Bacia,1405,1410,B-BACIA
17,do,1411,1413,I-BACIA
18,Recôncavo,1414,1423,I-BACIA
19,Basin,1527,1532,I-BACIA
20,Recôncavo-Tucano,1956,1972,B-BACIA
21,Basin,1973,1978,I-BACIA
22,Recôncavo-Tucano,2210,2226,B-BACIA
23,Basin,2227,2232,I-BACIA
24,Bacia,2467,2472,B-BACIA
25,do,2473,2475,I-BACIA
26,Recôncavo,2476,2485,I-BACIA
27,bacia,3651,3656,B-BACIA
28,Bacia,3742,3747,B-BACIA
29,Recôncavo,4678,4687,B-BACIA
30,Tucano,4689,4695,B-BACIA
31,poço,6000,6004,B-POÇO
32,l-AR-2-BA,6005,6014,I-POÇO
33,folhelhos,6091,6100,B-ROCHA
34,Formação,6111,6119,B-UNIDADE_LITO
35,São,6120,6123,I-UNIDADE_LITO
36,Sebastião,6124,6133,I-UNIDADE_LITO
37,Membro,6135,6141,B-UNIDADE_LITO
38,Paciência,6142,6151,I-UNIDADE_LITO
39,Bacia,6153,6158,B-BACIA
40,do,6159,6161,I-BACIA
41,Recôn,6162,6167,I-BACIA
42,cavo,6168,6172,I-BACIA
43,bacia,7900,7905,B-BACIA
44,Andar,7953,7958,B-UNIDADE_CRONO
45,Buracica,7959,7967,I-UNIDADE_CRONO
46,Formação,7997,8005,B-UNIDADE_LITO
47,Candeias,8006,8014,I-UNIDADE_LITO
48,Membro,8016,8022,B-UNIDADE_LITO
49,Tauá,8023,8027,I-UNIDADE_LITO
50,Formação,10749,10757,B-UNIDADE_LITO
51,Marfim,10758,10764,I-UNIDADE_LITO
52,Grupo,10766,10771,B-UNIDADE_LITO
53,Ilhas,10772,10777,I-UNIDADE_LITO
54,Bacia,11855,11860,B-BACIA
55,do,11861,11863,I-BACIA
56,Recôncavo,11864,11873,I-BACIA
57,Andar,11926,11931,B-UNIDADE_CRONO
58,Ji,11932,11934,I-UNIDADE_CRONO
59,Recôncavo-Bahia-Brasil,12113,12135,B-BACIA
60,poço,12137,12141,B-POÇO
61,l-IC-l-BA,12142,12151,I-POÇO
62,Formação,12223,12231,B-UNIDADE_LITO
63,Itaparica,12232,12241,I-UNIDADE_LITO
64,Membro,12243,12249,B-UNIDADE_LITO
65,Água,12250,12254,I-UNIDADE_LITO
66,Grande,12255,12261,I-UNIDADE_LITO
67,Bacia,14868,14873,B-BACIA
68,do,14874,14876,I-BACIA
69,Recôncavo,14877,14886,I-BACIA
70,Poço,15307,15311,B-POÇO
71,l-RA-l-BA,15312,15321,I-POÇO
72,pioneiro,15323,15331,B-POÇO
73,Forma,15370,15375,B-UNIDADE_LITO
74,ção,15376,15379,I-UNIDADE_LITO
75,Candeias,15380,15388,I-UNIDADE_LITO
76,Membro,15390,15396,B-UNIDADE_LITO
77,Tauá,15397,15401,I-UNIDADE_LITO
78,Andar,15453,15458,B-UNIDADE_CRONO
79,Rio,15459,15462,I-UNIDADE_CRONO
80,da,15463,15465,I-UNIDADE_CRONO
81,Serra,15466,15471,I-UNIDADE_CRONO
82,Bacia,15522,15527,B-BACIA
83,do,15528,15530,I-BACIA
84,Recôncavo,15531,15540,I-BACIA
85,Bacia,15648,15653,B-BACIA
86,do,15654,15656,I-BACIA
87,Re,15657,15659,I-BACIA
88,côncavo,15660,15667,I-BACIA
89,poço,15763,15767,B-POÇO
90,l-BN-2-BA,15768,15777,I-POÇO
91,pioneiro,15779,15787,B-POÇO
92,Formação,15855,15863,B-UNIDADE_LITO
93,Marfim,15864,15870,I-UNIDADE_LITO
94,Membro,15872,15878,B-UNIDADE_LITO
95,Catu,15879,15883,I-UNIDADE_LITO
96,Recôncavo,19589,19598,B-BACIA
97,poço,19616,19620,B-POÇO
98,l,19621,19622,I-POÇO
99,Formação,19701,19709,B-UNIDADE_LITO
100,São,19710,19713,I-UNIDADE_LITO
101,Sebastião,19714,19723,I-UNIDADE_LITO
102,Membro,19726,19732,B-UNIDADE_LITO
103,Rio,19733,19736,I-UNIDADE_LITO
104,Andar,19748,19753,B-UNIDADE_CRONO
105,Jiquiá,19754,19760,I-UNIDADE_CRONO
106,bacia,22124,22129,B-BACIA
107,Andar,22177,22182,B-UNIDADE_CRONO
108,J,22183,22184,I-UNIDADE_CRONO
109,iquiá,22185,22190,I-UNIDADE_CRONO
110,Formação,22208,22216,B-UNIDADE_LITO
111,são,22217,22220,I-UNIDADE_LITO
112,Sebastião,22221,22230,I-UNIDADE_LITO
113,Membro,22232,22238,B-UNIDADE_LITO
114,Rio,22239,22242,I-UNIDADE_LITO
115,Joanes,22243,22249,I-UNIDADE_LITO
116,Recôncavo/Tu,23563,23575,B-BACIA
117,cano,23576,23580,I-BACIA
118,Bacia,23688,23693,B-BACIA
119,de,23694,23696,I-BACIA
120,Ser,23697,23700,I-BACIA
121,gipe,23701,23705,I-BACIA
122,Recôncavo-Bahia-Brasil,25337,25359,B-BACIA
123,poço,25361,25365,B-POÇO
124,l-LM-l-BA,25366,25375,I-POÇO
125,Formação,25452,25460,B-UNIDADE_LITO
126,São,25461,25464,I-UNIDADE_LITO
127,Sebastião,25465,25474,I-UNIDADE_LITO
128,Andar,25476,25481,B-UNIDADE_CRONO
129,Buracica,25482,25490,I-UNIDADE_CRONO
130,Formação,26614,26622,B-UNIDADE_LITO
131,São,26623,26626,I-UNIDADE_LITO
132,Sebastião,26627,26636,I-UNIDADE_LITO
133,Membro,26638,26644,B-UNIDADE_LITO
134,Rio,26645,26648,I-UNIDADE_LITO
135,Joanes,26649,26655,I-UNIDADE_LITO
136,sedimentos,27842,27852,B-NÃOCONSOLID
137,An,28093,28095,B-UNIDADE_CRONO
138,dar,28096,28099,B-UNIDADE_CRONO
139,Jiquiá,28100,28106,I-UNIDADE_CRONO
140,treito,28219,28225,B-ROCHA
141,Formação,29180,29188,B-UNIDADE_LITO
142,são,29189,29192,I-UNIDADE_LITO
143,Sebastião,29193,29202,I-UNIDADE_LITO
144,do,29203,29205,I-UNIDADE_LITO
145,Recôncavo/Tucano,29206,29222,I-UNIDADE_LITO
146,Sesmaria,29296,29304,B-CAMPO
147,Andar,29336,29341,B-UNIDADE_CRONO
148,Buracica,29342,29350,I-UNIDADE_CRONO
149,Recôncavo-Bahia-Brasil,30012,30034,B-BACIA
150,poço,30036,30040,B-POÇO
151,3-AR-13-BA,30041,30051,I-POÇO
152,Formação,30128,30136,B-UNIDADE_LITO
153,São,30137,30140,I-UNIDADE_LITO
154,Sebastião,30141,30150,I-UNIDADE_LITO
155,Grupo,30152,30157,B-UNIDADE_LITO
156,Massacará,30158,30167,I-UNIDADE_LITO
157,poço,31444,31448,B-POÇO
158,l-CA,31449,31453,I-POÇO
159,Camaçari,31474,31482,B-CAMPO
160,Formação,31541,31549,B-UNIDADE_LITO
161,Grupo,31565,31570,B-UNIDADE_LITO
162,Massacará,31571,31580,I-UNIDADE_LITO
163,Andar,32957,32962,B-UNIDADE_CRONO
164,Jiquiá,32963,32969,I-UNIDADE_CRONO
165,Recôncavo,33207,33216,B-BACIA
166,poço,33235,33239,B-POÇO
167,l,33240,33241,I-POÇO
168,Formação,33334,33342,B-UNIDADE_LITO
169,Marfim,33343,33349,I-UNIDADE_LITO
170,Recôncavo-Bahia-Brasil,36013,36035,B-BACIA
171,poço,36037,36041,B-POÇO
172,3-CA-3-BA,36042,36051,I-POÇO
173,Formação,36128,36136,B-UNIDADE_LITO
174,são,36137,36140,I-UNIDADE_LITO
175,Sebastião,36141,36150,I-UNIDADE_LITO
176,Andar,36152,36157,B-UNIDADE_CRONO
177,Buracica,36158,36166,I-UNIDADE_CRONO
178,Formação,39606,39614,B-UNIDADE_LITO
179,po,39615,39617,I-UNIDADE_LITO
180,juca,39618,39622,I-UNIDADE_LITO
181,Membro,39624,39630,B-UNIDADE_LITO
