,TEXT,START,END,LABEL
0,Potiguar,371,379,B-BACIA
1,Formação,390,398,B-UNIDADE_LITO
2,Jandaíra,399,407,I-UNIDADE_LITO
3,FORMAÇl'O,617,626,B-UNIDADE_LITO
4,poços,1231,1236,B-POÇO
5,bacia,1272,1277,B-BACIA
6,Formação,1514,1522,B-UNIDADE_LITO
7,Jandaíra,1523,1531,I-UNIDADE_LITO
8,poços,1662,1667,B-POÇO
9,l-RNS-l,1668,1675,I-POÇO
10,l-RNS-2,1677,1684,B-POÇO
11,l-RNS-3,1687,1694,B-POÇO
12,bacia,1743,1748,B-BACIA
13,poço,1772,1776,B-POÇO
14,bacia,1838,1843,B-BACIA
15,l-RNS-2,1859,1866,B-POÇO
16,hidrocarbonetos,2194,2209,B-FLUIDODATERRA
17,Formação,2225,2233,B-UNIDADE_LITO
18,Jandaíra,2234,2242,I-UNIDADE_LITO
19,calcilutitos,2263,2275,B-ROCHA
20,folhe,2278,2283,B-ROCHA
21,lhos,2284,2288,B-ROCHA
22,cretáceo,2298,2306,B-UNIDADE_CRONO
23,calcários,2739,2748,B-ROCHA
24,hidrocarbonetos,2963,2978,B-FLUIDODATERRA
25,poços,3188,3193,B-POÇO
26,Formaçao,3313,3321,B-UNIDADE_LITO
27,Janda~ra,3322,3330,I-UNIDADE_LITO
28,poço,3514,3518,B-POÇO
29,l-RNS-2,3519,3526,I-POÇO
30,rochas,3580,3586,B-ROCHA
31,algal,3601,3606,B-UNIDADE_CRONO
32,poço,3821,3825,B-POÇO
33,folhelhos,3857,3866,B-ROCHA
34,calcários,3884,3893,B-ROCHA
35,Rochas,4842,4848,B-ROCHA
36,Rochas,4865,4871,B-ROCHA
37,Formação,4972,4980,B-UNIDADE_LITO
38,Jandaira,4981,4989,I-UNIDADE_LITO
39,Formação,5335,5343,B-UNIDADE_LITO
40,Jandaira,5344,5352,I-UNIDADE_LITO
41,Bacia,5382,5387,B-BACIA
42,Poti,5388,5392,I-BACIA
43,guar,5393,5397,I-BACIA
44,hidrocarbo,5546,5556,B-FLUIDODATERRA
45,poço,5600,5604,B-POÇO
46,l-RNS-3,5605,5612,I-POÇO
47,bacia,5742,5747,B-BACIA
48,Bacia,5751,5756,B-BACIA
49,Potiguar,5757,5765,I-BACIA
50,águas,6367,6372,B-FLUIDODATERRA
51,hidrocarbonetos,6589,6604,B-FLUIDODATERRA
52,bacia,6698,6703,B-BACIA
53,Arenito,6756,6763,B-ROCHA
54,Açu,6764,6767,I-ROCHA
55,Areia,6879,6884,B-CAMPO
56,poços,6925,6930,B-POÇO
57,2-G-l-RN,6931,6939,I-POÇO
58,2-M-l-RN,6953,6961,B-POÇO
59,Grupo,7120,7125,B-UNIDADE_LITO
60,Apodi,7126,7131,I-UNIDADE_LITO
61,sedimentos,7136,7146,B-NÃOCONSOLID
62,bacia,7162,7167,B-BACIA
63,petróleo,7191,7199,B-FLUIDODATERRA
64,arenitos,7213,7221,B-ROCHA
65,Formação,7225,7233,B-UNIDADE_LITO
66,Açu,7234,7237,I-UNIDADE_LITO
67,Membro,7239,7245,B-UNIDADE_LITO
68,Superior,7246,7254,I-UNIDADE_LITO
69,sedimentos,7288,7298,B-NÃOCONSOLID
70,poços,7317,7322,B-POÇO
71,petróleo,7415,7423,B-FLUIDODATERRA
72,gás,7426,7429,B-FLUIDODATERRA
73,poços,7433,7438,B-POÇO
74,água,7455,7459,B-FLUIDODATERRA
75,bacia,7534,7539,B-BACIA
76,bacia,7754,7759,B-BACIA
77,poços,8282,8287,B-POÇO
78,l-RNS-2,8323,8330,B-POÇO
79,1-RNS-3,8352,8359,B-POÇO
80,hidrocarbonetos,8410,8425,B-FLUIDODATERRA
81,poços,8445,8450,B-POÇO
82,l-RNS-3,8548,8555,B-POÇO
83,bacia,8562,8567,B-BACIA
84,Bacia,8800,8805,B-BACIA
85,Potiguar,8806,8814,I-BACIA
86,bacias,8927,8933,B-BACIA
87,Cypriano,9041,9049,B-UNIDADE_CRONO
88,embasamento,9381,9392,B-UNIDADE_LITO
89,embasamento,9557,9568,B-UNIDADE_LITO
90,embasamento,9731,9742,B-UNIDADE_LITO
91,Potiguar,10406,10414,B-BACIA
92,poços,10485,10490,B-POÇO
93,Potiguar,11013,11021,B-BACIA
94,Formação,11159,11167,B-UNIDADE_LITO
95,J,11168,11169,I-UNIDADE_LITO
96,anda{ra,11170,11177,I-UNIDADE_LITO
97,bacia,11296,11301,B-BACIA
98,Grupo,11622,11627,B-UNIDADE_LITO
99,Apodi,11628,11633,I-UNIDADE_LITO
100,Formação,12038,12046,B-UNIDADE_LITO
101,Jand81,12047,12053,I-UNIDADE_LITO
102,Bacia,12094,12099,B-BACIA
103,Potiguar,12100,12108,I-BACIA
104,poços,12126,12131,B-POÇO
105,Bacia,12160,12165,B-BACIA
106,Potiguar,12166,12174,I-BACIA
107,poço,12416,12420,B-POÇO
108,calcilutitos,12572,12584,B-ROCHA
109,folhelho,12615,12623,B-ROCHA
110,folhe~,12628,12634,B-ROCHA
111,calcilutitos,12817,12829,B-ROCHA
112,poço,13054,13058,B-POÇO
113,poço,13234,13238,B-POÇO
114,Formação,13241,13249,B-UNIDADE_LITO
115,Janda{ra,13250,13258,I-UNIDADE_LITO
116,calcilutitos,13313,13325,B-ROCHA
117,cal,13412,13415,B-ROCHA
118,carenitos,13416,13425,B-ROCHA
119,folhelho,13454,13462,B-ROCHA
120,calcilutitos,13467,13479,B-ROCHA
121,are,13621,13624,B-ROCHA
122,siltitos,13633,13641,B-ROCHA
123,folhelhos,13644,13653,B-ROCHA
124,arenitos,13658,13666,B-ROCHA
125,folhelhos,13947,13956,B-ROCHA
