,TEXT,START,END,LABEL
0,êrea,61,65,B-BACIA
1,de,66,68,I-BACIA
2,Pojuca,69,75,I-BACIA
3,calcário,624,632,B-ROCHA
4,formação,664,672,B-UNIDADE_LITO
5,Ilhas,673,678,I-UNIDADE_LITO
6,formação,797,805,B-UNIDADE_LITO
7,Ilhas,806,811,I-UNIDADE_LITO
8,folhelhos,944,953,B-ROCHA
9,calcário,958,966,B-ROCHA
10,arenito,1012,1019,B-ROCHA
11,calcário,1163,1171,B-ROCHA
12,arenito,1262,1269,B-ROCHA
13,formação,1296,1304,B-UNIDADE_LITO
14,São,1305,1308,I-UNIDADE_LITO
15,Sebastião,1309,1318,I-UNIDADE_LITO
16,calcário,1374,1382,B-ROCHA
17,campo,1766,1771,B-CAMPO
18,calcário,1827,1835,B-ROCHA
