,TEXT,START,END,LABEL
0,fazenda,1135,1142,B-CAMPO
1,Melancias,1143,1152,I-CAMPO
2,bacia,1533,1538,B-BACIA
3,sertao,1635,1641,B-UNIDADE_CRONO
4,embasamento,2359,2370,B-UNIDADE_LITO
5,Ortogneiss,2544,2554,B-ROCHA
6,Arenito,3074,3081,B-ROCHA
7,embasamento,3088,3099,B-UNIDADE_LITO
8,embasamento,3651,3662,B-UNIDADE_LITO
9,Areni,3894,3899,B-ROCHA
10,pelG,4272,4276,B-ROCHA
11,seixos,4722,4728,B-NÃOCONSOLID
12,areni:to,4818,4826,B-ROCHA
13,conglomerado,4865,4877,B-ROCHA
14,quartzito,4959,4968,B-ROCHA
15,granito,4970,4977,B-ROCHA
16,arenito,4994,5001,B-ROCHA
17,conglomerado,5243,5255,B-ROCHA
18,arenito,5334,5341,B-ROCHA
19,arenitos,6199,6207,B-ROCHA
20,sUtitos,6210,6217,B-ROCHA
21,formação,6800,6808,B-UNIDADE_LITO
22,Bambttl,6809,6816,I-UNIDADE_LITO
23,arenitos,6949,6957,B-ROCHA
24,seixos,6998,7004,B-NÃOCONSOLID
25,arenitos,7158,7166,B-ROCHA
26,devoniano,7458,7467,B-UNIDADE_CRONO
27,medio·,7468,7474,I-UNIDADE_CRONO
28,bacia,7478,7483,B-BACIA
29,do,7484,7486,I-BACIA
30,Parnaiba,7487,7495,I-BACIA
31,diamante,7575,7583,B-ROCHA
32,Arenito,7942,7949,B-ROCHA
33,Arenito,8091,8098,B-ROCHA
34,Arenito,8172,8179,B-ROCHA
35,arenito,8376,8383,B-ROCHA
36,Arenito,8584,8591,B-ROCHA
37,Tombador,8592,8600,I-ROCHA
38,Siltitos,8992,9000,B-ROCHA
39,Arenito,9716,9723,B-ROCHA
40,Arenito,10247,10254,B-ROCHA
41,algonquiano,10485,10496,B-UNIDADE_CRONO
42,baciacozÍstl,10655,10667,B-BACIA
