,TEXT,START,END,LABEL
0,poços,437,442,B-POÇO
1,Membro,707,713,B-UNIDADE_LITO
2,Ipiranga,714,722,I-UNIDADE_LITO
3,poço,940,944,B-POÇO
4,poços,1890,1895,B-POÇO
5,l-BAS-l,1896,1903,I-POÇO
6,l-BAS-2A,1906,1914,B-POÇO
7,hidrocarbonetos,1948,1963,B-FLUIDODATERRA
8,poços,2441,2446,B-POÇO
9,bacia,2524,2529,B-BACIA
10,hidrocarbonetos,2589,2604,B-FLUIDODATERRA
11,rochas,2712,2718,B-ROCHA
12,Membro,2770,2776,B-UNIDADE_LITO
13,Pirauna,2777,2784,I-UNIDADE_LITO
14,Formação,2788,2796,B-UNIDADE_LITO
15,Rio,2797,2800,I-UNIDADE_LITO
16,Dôce,2801,2805,I-UNIDADE_LITO
17,bacia,3099,3104,B-BACIA
18,poços,3192,3197,B-POÇO
19,bacia,3492,3497,B-BACIA
20,l-BAS-l,3613,3620,B-POÇO
21,brecha,3763,3769,B-ROCHA
22,vulcânica,3770,3779,I-ROCHA
23,calcilutito,3812,3823,B-ROCHA
24,arenitos,3826,3834,B-ROCHA
25,l-BAS-l,3847,3854,B-POÇO
26,poço,3971,3975,B-POÇO
27,sedimentos,3984,3994,B-NÃOCONSOLID
28,Membro,3998,4004,B-UNIDADE_LITO
29,Pirauna,4005,4012,I-UNIDADE_LITO
30,Formaçao,4022,4030,B-UNIDADE_LITO
31,Rio,4031,4034,I-UNIDADE_LITO
32,Doce,4035,4039,I-UNIDADE_LITO
33,l-BAS-2A,4112,4120,B-POÇO
34,folhelhos,4180,4189,B-ROCHA
35,Formação,4195,4203,B-UNIDADE_LITO
36,Urucutuca,4204,4213,I-UNIDADE_LITO
37,folhelhos,4270,4279,B-ROCHA
38,Formaçao,4283,4291,B-UNIDADE_LITO
39,Urucutuca,4292,4301,I-UNIDADE_LITO
40,arenitos,4363,4371,B-ROCHA
41,folhelhos,4374,4383,B-ROCHA
42,drocarbonetos,4623,4636,B-FLUIDODATERRA
43,arenitos,4655,4663,B-ROCHA
44,Membro,4667,4673,B-UNIDADE_LITO
45,Pirauna,4674,4681,I-UNIDADE_LITO
46,Formação,4685,4693,B-UNIDADE_LITO
47,Rio,4694,4697,I-UNIDADE_LITO
48,Dôce,4698,4702,I-UNIDADE_LITO
49,bacia,4750,4755,B-BACIA
50,Sub-Bacia,4780,4789,B-BACIA
51,de,4790,4792,I-BACIA
52,Mucuri,4793,4799,I-BACIA
53,Sub-Bacia,4806,4815,B-BACIA
54,Norte,4816,4821,I-BACIA
55,Sub-Bacia,4840,4849,B-BACIA
56,do,4850,4852,I-BACIA
57,Rio,4853,4856,I-BACIA
58,Dôce,4857,4861,I-BACIA
59,Espi,5012,5016,B-BACIA
60,Santo,5022,5027,I-BACIA
61,Bacia,5595,5600,B-BACIA
62,do,5601,5603,I-BACIA
63,Espirito,5604,5612,I-BACIA
64,Santo,5613,5618,I-BACIA
65,bacias,5678,5684,B-BACIA
66,cretáci,5685,5692,B-UNIDADE_CRONO
67,sedimentos,5756,5766,B-NÃOCONSOLID
68,bacia,6108,6113,B-BACIA
69,poço,6165,6169,B-POÇO
70,l-ESS-2,6170,6177,I-POÇO
71,rochas,6405,6411,B-ROCHA
72,folhelhos,6457,6466,B-ROCHA
73,membros,6471,6478,B-UNIDADE_LITO
74,Piraúna,6479,6486,I-UNIDADE_LITO
75,Caraúna,6489,6496,I-UNIDADE_LITO
76,Formação,6501,6509,B-UNIDADE_LITO
77,Urucutuca,6510,6519,I-UNIDADE_LITO
78,arenitos,6543,6551,B-ROCHA
79,Membro,6566,6572,B-UNIDADE_LITO
80,Piraúna,6573,6580,I-UNIDADE_LITO
81,arenitos,6792,6800,B-ROCHA
82,Formação,6955,6963,B-UNIDADE_LITO
83,',6964,6965,I-UNIDADE_LITO
84,Formaçao,7004,7012,B-UNIDADE_LITO
85,Caravelas,7013,7022,I-UNIDADE_LITO
86,rochas,7219,7225,B-ROCHA
87,vulcânicas,7226,7236,I-ROCHA
88,Formação,7308,7316,B-UNIDADE_LITO
89,Caravelas,7317,7326,I-UNIDADE_LITO
90,cretáceo,7613,7621,B-UNIDADE_CRONO
91,Formaçao,7663,7671,B-UNIDADE_LITO
92,Urucutuca,7672,7681,I-UNIDADE_LITO
93,areias,7729,7735,B-NÃOCONSOLID
94,Membro,7739,7745,B-UNIDADE_LITO
95,Piraúna,7746,7753,I-UNIDADE_LITO
96,Sub-Bacia,7814,7823,B-BACIA
97,de,7824,7826,I-BACIA
98,Santa,7827,7832,I-BACIA
99,Bárbara,7833,7840,I-BACIA
100,rochas,8594,8600,B-ROCHA
101,vulcânicas,8601,8611,I-ROCHA
102,folhelhos,8992,9001,B-ROCHA
103,rochas,9263,9269,B-ROCHA
104,vulcanicas,9270,9280,I-ROCHA
105,Nova,9319,9323,I-UNIDADE_LITO
106,folhelhos,9800,9809,B-ROCHA
107,lhelhos,10131,10138,B-ROCHA
108,rochas,10255,10261,B-ROCHA
109,vulcânicas,10262,10272,I-ROCHA
110,Bacia,10780,10785,B-BACIA
111,do,10786,10788,I-BACIA
112,Espirito,10789,10797,I-BACIA
113,Santo-,10798,10804,I-BACIA
114,Bacia,11050,11055,B-BACIA
115,do,11056,11058,I-BACIA
116,Espirito,11059,11067,I-BACIA
117,Santo,11068,11073,I-BACIA
