,TEXT,START,END,LABEL
0,poço,592,596,B-POÇO
1,Pv-l,621,625,B-POÇO
2,Ter,3852,3855,B-UNIDADE_CRONO
3,Cretaceo,4000,4008,B-UNIDADE_CRONO
4,formações,4033,4042,B-UNIDADE_LITO
5,Ilhas,4043,4048,I-UNIDADE_LITO
6,Santo,4049,4054,I-UNIDADE_LITO
7,Amaro,4055,4060,I-UNIDADE_LITO
8,Formaç·o,4869,4877,B-UNIDADE_LITO
9,Barrelras,4878,4887,I-UNIDADE_LITO
10,arenitos,4906,4914,B-ROCHA
11,argila,5743,5749,B-NÃOCONSOLID
12,formação,6963,6971,B-UNIDADE_LITO
13,Ilha.s,6972,6978,I-UNIDADE_LITO
14,folhelh,7047,7054,B-ROCHA
15,formação,7479,7487,B-UNIDADE_LITO
16,Ilhas,7488,7493,I-UNIDADE_LITO
17,coprolitos,7752,7762,B-ROCHA
18,folhelho,8404,8412,B-ROCHA
19,folhelho,9185,9193,B-ROCHA
20,arenito,9283,9290,B-ROCHA
21,conglomerado,9478,9490,B-ROCHA
22,Membro,9579,9585,B-UNIDADE_LITO
23,.,9586,9587,I-UNIDADE_LITO
24,Candei,9587,9593,I-UNIDADE_LITO
25,arenito,10917,10924,B-ROCHA
26,aren1to,11297,11304,B-ROCHA
27,folhelho,11654,11662,B-ROCHA
28,arenito,11749,11756,B-ROCHA
29,arenito,12622,12629,B-ROCHA
30,arenito,12787,12794,B-ROCHA
31,gulhos,13715,13721,B-ROCHA
32,poço,14328,14332,B-POÇO
33,poço,14733,14737,B-POÇO
