,TEXT,START,END,LABEL
0,bacia,209,214,B-BACIA
1,Reconcavo,229,238,B-BACIA
2,Sesmaria,571,579,B-CAMPO
3,Reconcavo,789,798,B-BACIA
4,rocha,2017,2022,B-ROCHA
5,sedimentos,2113,2123,B-NÃOCONSOLID
6,fazenda,2539,2546,B-CAMPO
7,Tabatlnga,2547,2556,I-CAMPO
8,areni,2837,2842,B-ROCHA
9,arenitos,3023,3031,B-ROCHA
10,Fazenda,3040,3047,B-CAMPO
11,Tabatinga,3048,3057,I-CAMPO
12,arenito,3126,3133,B-ROCHA
13,bacia,3262,3267,B-BACIA
14,arenitos,3485,3493,B-ROCHA
15,Mucuri,3799,3805,B-BACIA
16,conglomerado,4342,4354,B-ROCHA
17,Mucurl,4569,4575,B-BACIA
18,conglomerado,4702,4714,B-ROCHA
19,seixos,4759,4765,B-NÃOCONSOLID
20,rochas,4769,4775,B-ROCHA
21,gneiss,4789,4795,B-ROCHA
22,quartzitos,4797,4807,B-ROCHA
23,seixos,5028,5034,B-NÃOCONSOLID
24,calcario,5038,5046,B-ROCHA
25,conglomerado,5088,5100,B-ROCHA
26,seixos,5200,5206,B-NÃOCONSOLID
27,calcario,5210,5218,B-ROCHA
28,conglomerado,5285,5297,B-ROCHA
29,conglomerad~,5492,5504,B-ROCHA
30,conglomerado,5542,5554,B-ROCHA
31,Mucur,5723,5728,B-BACIA
32,sedimentos,6034,6044,B-NÃOCONSOLID
33,Salgado,6195,6202,I-UNIDADE_LITO
34,arenitos,6317,6325,B-ROCHA
35,Mucugê,7241,7247,B-BACIA
36,arenito,8253,8260,B-ROCHA
37,seixos,8520,8526,B-NÃOCONSOLID
38,conglomerado,8578,8590,B-ROCHA
39,conglomerado,8615,8627,B-ROCHA
40,arenito,8960,8967,B-ROCHA
41,lhelho,9009,9015,B-ROCHA
42,conglomerado,9111,9123,B-ROCHA
43,seixos,9159,9165,B-NÃOCONSOLID
44,arenito,9404,9411,B-ROCHA
45,arenitos,9617,9625,B-ROCHA
46,arenitos,9794,9802,B-ROCHA
47,Pedra,9848,9853,B-ROCHA
48,do,9854,9856,I-ROCHA
49,Salgado,9857,9864,I-ROCHA
50,Pojuca,9890,9896,B-BACIA
51,arenito,9957,9964,B-ROCHA
52,argilltos,10003,10012,B-ROCHA
53,Pedra,10342,10347,B-ROCHA
54,Bacia,11044,11049,B-BACIA
55,Agua,13358,13362,B-CAMPO
56,Comprida,13363,13371,I-CAMPO
