,TEXT,START,END,LABEL
0,Recbacavo,2324,2333,B-BACIA
1,Turma,2661,2666,B-UNIDADE_CRONO
2,cretaceas,3566,3575,B-UNIDADE_CRONO
3,Formação,4316,4324,B-UNIDADE_LITO
4,Barreiras,4325,4334,I-UNIDADE_LITO
5,sedimentos,4377,4387,B-NÃOCONSOLID
6,Barreiras,4470,4479,I-UNIDADE_LITO
7,arenitos,4501,4509,B-ROCHA
8,Formação,4644,4652,B-UNIDADE_LITO
9,S.,4653,4655,I-UNIDADE_LITO
10,Sebastião,4656,4665,I-UNIDADE_LITO
11,arenito,4705,4712,B-ROCHA
12,arenito,4791,4798,B-ROCHA
13,arenito,5021,5028,B-ROCHA
14,siltitos,5058,5066,B-ROCHA
15,folhelhos,5069,5078,B-ROCHA
16,arenitos,5189,5197,B-ROCHA
17,argilas,5315,5322,B-NÃOCONSOLID
18,formação,5464,5472,B-UNIDADE_LITO
19,Ilhas,5473,5478,I-UNIDADE_LITO
20,Formagao,5635,5643,B-UNIDADE_LITO
21,Ilhas,5644,5649,I-UNIDADE_LITO
22,folhelho,5884,5892,B-ROCHA
23,arenito,6501,6508,B-ROCHA
24,campo,6550,6555,B-CAMPO
25,Siltitoa,6762,6770,B-ROCHA
26,arenitos,6780,6788,B-ROCHA
27,folhelhos,6821,6830,B-ROCHA
28,arenito,6942,6949,B-ROCHA
29,formação,7077,7085,B-UNIDADE_LITO
30,S.,7086,7088,I-UNIDADE_LITO
31,Sebastião,7089,7098,I-UNIDADE_LITO
32,Folhelhos,7110,7119,B-ROCHA
33,coprolitos,7238,7248,B-ROCHA
34,arenito,7361,7368,B-ROCHA
35,arenitos,7429,7437,B-ROCHA
36,arenitos,7586,7594,B-ROCHA
37,arenitos,7811,7819,B-ROCHA
38,folhelho,8000,8008,B-ROCHA
39,arenito,8101,8108,B-ROCHA
40,arenito,8134,8141,B-ROCHA
41,arenito,8321,8328,B-ROCHA
42,arenitos,8587,8595,B-ROCHA
43,arenito,8648,8655,B-ROCHA
44,arenito,8889,8896,B-ROCHA
45,arenito,9048,9055,B-ROCHA
46,arenito,9199,9206,B-ROCHA
47,folhelho,9285,9293,B-ROCHA
48,folhelhos,9455,9464,B-ROCHA
49,arenito,9491,9498,B-ROCHA
50,Agua,10046,10050,B-FLUIDODATERRA
51,bacia,10137,10142,B-BACIA
52,Campo,10203,10208,B-CAMPO
53,de,10209,10211,I-CAMPO
54,Aratu,10212,10217,I-CAMPO
55,fazenda,10531,10538,B-CAMPO
56,Salgado,10539,10546,I-CAMPO
57,fazenda,10706,10713,B-CAMPO
58,bacia,11367,11372,B-BACIA
59,arenito,11560,11567,B-ROCHA
60,sedimentos,11583,11593,B-NÃOCONSOLID
61,arenito,11648,11655,B-ROCHA
62,arenito,11900,11907,B-ROCHA
63,arenito,12683,12690,B-ROCHA
64,arenito,12862,12869,B-ROCHA
65,folhelho,13090,13098,B-ROCHA
66,aren1to,13676,13683,B-ROCHA
67,Bebedouro,13689,13698,B-CAMPO
68,fazenda,13724,13731,B-CAMPO
69,Sa.lgado,13732,13740,I-CAMPO
70,arenitos,13852,13860,B-ROCHA
71,eontacto,13924,13932,B-UNIDADE_CRONO
72,aronito,14645,14652,B-ROCHA
73,po,15490,15492,B-POÇO
74,ço,15493,15495,B-POÇO
