,TEXT,START,END,LABEL
0,Campo,2381,2386,B-CAMPO
1,arenitos,2733,2741,B-ROCHA
2,arenito,3047,3054,B-ROCHA
3,argilito,3066,3074,B-ROCHA
4,arenitos,3197,3205,B-ROCHA
5,formação,3319,3327,B-UNIDADE_LITO
6,Ilhas,3328,3333,I-UNIDADE_LITO
7,campo,3354,3359,B-CAMPO
8,de,3360,3362,I-CAMPO
9,Agua,3363,3367,I-CAMPO
10,Grande,3368,3374,I-CAMPO
11,arenitos,3542,3550,B-ROCHA
12,argilitos,3567,3576,B-ROCHA
13,folhelho,3607,3615,B-ROCHA
14,folhelho,3710,3718,B-ROCHA
15,folhelho,3793,3801,B-ROCHA
16,folhelho,3851,3859,B-ROCHA
17,formação,4057,4065,B-UNIDADE_LITO
18,folhelho,4136,4144,B-ROCHA
19,arenitos,4786,4794,B-ROCHA
20,arenito,5139,5146,B-ROCHA
21,folhelho,5166,5174,B-ROCHA
22,folhelho,5356,5364,B-ROCHA
23,faze,5502,5506,B-UNIDADE_CRONO
24,Brejo,5507,5512,I-UNIDADE_CRONO
25,quasi,5532,5537,B-ROCHA
26,arenitos,5561,5569,B-ROCHA
27,campo,5894,5899,B-CAMPO
28,de,5900,5902,I-CAMPO
29,Água,5903,5907,I-CAMPO
30,Grande,5908,5914,I-CAMPO
31,folhelho,6023,6031,B-ROCHA
32,folhelho,6202,6210,B-ROCHA
33,arenitos,6291,6299,B-ROCHA
34,folhelho,6384,6392,B-ROCHA
35,folhelho,6507,6515,B-ROCHA
36,campos,6691,6697,B-CAMPO
37,de,6698,6700,I-CAMPO
38,Pojuca,6701,6707,I-CAMPO
39,Água,6710,6714,B-CAMPO
40,Grande,6715,6721,I-CAMPO
41,fazenda,7015,7022,B-CAMPO
42,Carmo,7023,7028,I-CAMPO
43,folhelho,7088,7096,B-ROCHA
44,folhelho,7144,7152,B-ROCHA
45,arenitos,7169,7177,B-ROCHA
46,formação,7181,7189,B-UNIDADE_LITO
47,São,7190,7193,I-UNIDADE_LITO
48,Sebastiãos,7194,7204,I-UNIDADE_LITO
49,formação,7360,7368,B-UNIDADE_LITO
50,São,7369,7372,I-UNIDADE_LITO
51,Sebastião,7373,7382,I-UNIDADE_LITO
52,formação,7406,7414,B-UNIDADE_LITO
53,Bar,7415,7418,I-UNIDADE_LITO
54,reiras,7421,7427,I-UNIDADE_LITO
55,Formação,7517,7525,B-UNIDADE_LITO
56,Barreiras,7526,7535,I-UNIDADE_LITO
57,Arenitos,7723,7731,B-ROCHA
58,argilas,7780,7787,B-NÃOCONSOLID
59,coprolitos,8050,8060,B-ROCHA
60,Arenitos,8103,8111,B-ROCHA
61,folhelho,8214,8222,B-ROCHA
62,siltitos,8225,8233,B-ROCHA
63,folhelho,8301,8309,B-ROCHA
64,sedimento,8605,8614,B-NÃOCONSOLID
65,sedimentos,8844,8854,B-NÃOCONSOLID
66,fazenda,9238,9245,B-CAMPO
67,Brejo,9246,9251,I-CAMPO
68,fazenda,9306,9313,B-CAMPO
69,Brejo,9314,9319,I-CAMPO
70,campo,9704,9709,B-CAMPO
71,!,9713,9714,B-FLUIDODATERRA
72,areia,9952,9957,B-NÃOCONSOLID
73,Brejo,11490,11495,B-CAMPO
74,campos,11639,11645,B-CAMPO
75,petróleo,11649,11657,B-FLUIDODATERRA
76,Pojuca,11659,11665,B-CAMPO
77,Água,11668,11672,B-CAMPO
78,Grande,11673,11679,I-CAMPO
79,Faz,12075,12078,B-BACIA
