,TEXT,START,END,LABEL
0,Recôncavo,115,124,B-BACIA
1,campos,424,430,B-CAMPO
2,de,431,433,I-CAMPO
3,Mata,434,438,I-CAMPO
4,Pojuca,439,445,B-CAMPO
5,Catu,448,452,B-CAMPO
6,campo,467,472,B-CAMPO
7,de,473,475,I-CAMPO
8,Taquipe,476,483,I-CAMPO
9,Cassarongongo,495,508,B-CAMPO
10,formação,660,668,B-UNIDADE_LITO
11,Mar~zal,669,676,I-UNIDADE_LITO
12,sedimentos-terciários,799,820,B-NÃOCONSOLID
13,quaternários,823,835,B-UNIDADE_CRONO
14,Fazenda,964,971,B-CAMPO
15,Estiv~,972,978,I-CAMPO
16,quasi,1205,1210,B-BACIA
17,formação,1307,1315,B-UNIDADE_LITO
18,Fazenda,1496,1503,B-CAMPO
19,Estivada,1504,1512,I-CAMPO
20,campo,1679,1684,B-CAMPO
21,de,1685,1687,I-CAMPO
22,Taquipe,1688,1695,I-CAMPO
23,Reoôncavo,2085,2094,B-BACIA
24,Itaparica,5273,5282,B-CAMPO
25,Fazenda,8309,8316,B-CAMPO
26,Estivada,8317,8325,I-CAMPO
27,Jacarandá,10085,10094,B-BACIA
28,Taquipe,11426,11433,B-CAMPO
29,Catu,11553,11557,B-CAMPO
30,12-11-1,12154,12161,B-POÇO
31,Pojuoa,13358,13364,B-BACIA
32,Camagari,15018,15026,B-CAMPO
33,Pojuoa,16270,16276,B-BACIA
34,Tucano,18282,18288,B-BACIA
35,Candeias,19949,19957,B-CAMPO
36,Recôncavo,22567,22576,B-BACIA
37,Tuoano,22852,22858,B-UNIDADE_CRONO
38,Itaparica,23378,23387,B-CAMPO
39,Itapario,23439,23447,B-CAMPO
40,Itaparioa,24221,24230,B-CAMPO
41,Itaparica,24535,24544,B-CAMPO
42,Reoôncavo,24817,24826,B-BACIA
43,Tuoano,24968,24974,B-BACIA
44,Candeias,25282,25290,B-CAMPO
45,Itaparica,25345,25354,B-CAMPO
46,Reoôncavo,25678,25687,B-BACIA
47,Tucano,28148,28154,B-BACIA
48,basin,28155,28160,I-BACIA
49,Catu.,28570,28575,B-CAMPO
50,siltatones,29095,29105,B-ROCHA
51,Bebadouro,29233,29242,B-CAMPO
52,Recôncavo,33735,33744,B-BACIA
53,Tucano,33798,33804,B-BACIA
54,Sergipe,33809,33816,B-BACIA
55,Agua,35868,35872,B-CAMPO
56,Grande,35873,35879,I-CAMPO
57,Fazenda,36424,36431,B-CAMPO
58,Santinho,36432,36440,I-CAMPO
59,Fazenda,36519,36526,B-CAMPO
60,sáo,36527,36530,I-CAMPO
61,Tereré,36545,36551,I-CAMPO
62,Fazenda,36604,36611,B-CAMPO
63,Tuoano,41705,41711,B-BACIA
64,Tuoano,41751,41757,B-BACIA
65,Poor11,42945,42951,B-POÇO
66,Pojuoa,44000,44006,B-BACIA
67,Recôncavo,45652,45661,B-BACIA
68,Reoôncavo,45959,45968,B-BACIA
69,Taquipe,46822,46829,B-CAMPO
70,Fazenda,47008,47015,B-CAMPO
71,Api,47016,47019,I-CAMPO
72,sebastião,47438,47447,B-UNIDADE_LITO
73,Fazenda,49477,49484,B-CAMPO
74,Estivada,49485,49493,I-CAMPO
75,Fazenda,50240,50247,B-CAMPO
76,Fazenda,50274,50281,B-CAMPO
77,Paciência,50282,50291,I-CAMPO
78,Sao,50470,50473,B-CAMPO
79,Pojuca,51041,51047,B-BACIA
80,Agua,53527,53531,B-CAMPO
81,Grande,53532,53538,I-CAMPO
82,Reoôncavo,54204,54213,B-BACIA
83,Recôncavo,54630,54639,B-BACIA
84,Recôncavo,55292,55301,B-BACIA
85,Recôncavo,58031,58040,B-BACIA
86,Po-1-Ba,59108,59115,B-POÇO
87,Fazenda,59135,59142,B-CAMPO
88,Fragoaot,59143,59151,I-CAMPO
89,Fazenda,59521,59528,B-CAMPO
90,Api,59529,59532,I-CAMPO
91,Fazenda,59916,59923,B-CAMPO
92,Tereré,59924,59930,I-CAMPO
93,Fazenda,59958,59965,B-CAMPO
94,Brejo,59966,59971,I-CAMPO
