,TEXT,START,END,LABEL
0,Reoôncavo,126,135,B-BACIA
1,Campos,257,263,B-BACIA
2,Tuoano,302,308,B-BACIA
3,Tucano,331,337,B-BACIA
4,Reoôncavo,834,843,B-BACIA
5,Tu,940,942,B-BACIA
6,cano,943,947,B-BACIA
7,Basin,948,953,I-BACIA
8,Candeias,1144,1152,B-CAMPO
9,Campos,1724,1730,B-BACIA
10,Tucano,2132,2138,B-BACIA
11,Campos,2892,2898,B-BACIA
12,Recôn,3124,3129,B-BACIA
13,Campos,3797,3803,B-BACIA
14,Campos,4049,4055,B-BACIA
15,Reoôncavo,4206,4215,B-BACIA
16,Tuoano,4227,4233,B-BACIA
17,Reoôncavo,4337,4346,B-BACIA
18,Recôncavo,4496,4505,B-BACIA
19,Tucano,4519,4525,B-BACIA
20,Recôncavo,4781,4790,B-BACIA
21,Rio,5209,5212,B-CAMPO
22,da,5213,5215,I-CAMPO
23,Serra,5216,5221,I-CAMPO
24,Rio,6056,6059,B-CAMPO
25,da,6060,6062,I-CAMPO
26,Serra,6063,6068,I-CAMPO
27,Recôncavo,10121,10130,B-BACIA
28,Fazenda,10345,10352,B-CAMPO
29,Gamelei,10353,10360,I-CAMPO
30,Recôncavo,11329,11338,B-BACIA
31,Tucano,11624,11630,B-BACIA
32,bas.1n,11631,11637,I-BACIA
33,Recôncavo,16322,16331,B-BACIA
34,Itaparioa,17222,17231,B-CAMPO
35,Rivar,17429,17434,B-UNIDADE_CRONO
36,Bebedouro,25490,25499,B-BACIA
37,sedimento,27511,27520,B-NÃOCONSOLID
38,Candeias,29056,29064,B-CAMPO
39,Candeias,29184,29192,B-CAMPO
40,Tucano,29599,29605,B-BACIA
41,sedimento,32691,32700,B-NÃOCONSOLID
42,Tucano,36050,36056,B-BACIA
43,Recôncavo,42302,42311,B-BACIA
44,Fazenda,43005,43012,B-CAMPO
45,Fazenda,43854,43861,B-CAMPO
46,Caboclo,43862,43869,I-CAMPO
47,Fazenda,44596,44603,B-CAMPO
48,Oameleiro,44604,44613,I-CAMPO
49,Recôncavo,44654,44663,B-BACIA
50,Fazenda,45126,45133,B-CAMPO
51,abaenoo,45198,45205,B-UNIDADE_CRONO
52,Recôncavo,46416,46425,B-BACIA
53,Tucano,46455,46461,B-BACIA
54,Recôncavo,46675,46684,B-BACIA
55,Recôncavo,47591,47600,B-BACIA
56,Fazenda,49882,49889,B-CAMPO
57,Tucano,50711,50717,B-BACIA
