,TEXT,START,END,LABEL
0,Iaanotu,939,946,B-UNIDADE_CRONO
1,Itapari,1664,1671,I-UNIDADE_LITO
2,Buracica,2135,2143,B-CAMPO
3,Buracica,2235,2243,B-CAMPO
4,Candeias,2257,2265,B-CAMPO
5,Buracica,2378,2386,B-CAMPO
6,Candeias,3725,3733,B-CAMPO
7,Candeias,3804,3812,B-CAMPO
8,Candeias,3839,3847,B-CAMPO
9,Itaparica,3865,3874,B-CAMPO
10,Candeias,3920,3928,B-CAMPO
11,Itaparica,4642,4651,B-CAMPO
12,Buracica,4667,4675,B-CAMPO
13,Dom,4710,4713,B-CAMPO
14,Itaparica,5529,5538,B-CAMPO
15,Recôncavo,5565,5574,B-BACIA
16,Basin,5575,5580,I-BACIA
17,Itaparica,5848,5857,B-CAMPO
18,Itaparica,6027,6036,B-CAMPO
19,Itaparica,6346,6355,B-CAMPO
20,Itaparica,6527,6536,B-CAMPO
21,Candeias,6938,6946,B-CAMPO
22,Agua,7119,7123,B-CAMPO
23,Grande,7124,7130,I-CAMPO
24,Itaparica,7160,7169,B-CAMPO
25,Itaparica,8571,8580,B-CAMPO
