,TEXT,START,END,LABEL
0,Bacia,179,184,B-BACIA
1,de,185,187,I-BACIA
2,Tucano,188,194,I-BACIA
3,ES-9,870,874,B-POÇO
4,poços,1001,1006,B-POÇO
5,pioneiros,1939,1948,B-POÇO
6,poços,1981,1986,B-POÇO
7,Tucano,2379,2385,B-BACIA
8,bacia,2730,2735,B-BACIA
9,do,2736,2738,I-BACIA
10,Tucano,2739,2745,I-BACIA
11,Recôncavo,2943,2952,B-BACIA
12,Tucano,2955,2961,B-BACIA
13,bacia,3035,3040,B-BACIA
14,do,3041,3043,I-BACIA
15,Tucano,3044,3050,I-BACIA
16,Tucano,3080,3086,B-BACIA
17,Sul,3087,3090,I-BACIA
18,Tucano,3093,3099,B-BACIA
19,Central,3100,3107,I-BACIA
20,Tucano,3138,3144,B-BACIA
21,Norte,3145,3150,I-BACIA
22,Tucano,3193,3199,B-BACIA
23,Horte,3200,3205,I-BACIA
24,bacia,3693,3698,B-BACIA
25,do,3699,3701,I-BACIA
26,TUcano,3702,3708,I-BACIA
27,TUcano,3733,3739,B-BACIA
28,Sul,3740,3743,I-BACIA
29,Tucano,3746,3752,B-BACIA
30,Central,3753,3760,I-BACIA
31,TucanQ,4035,4041,B-BACIA
32,Norte,4042,4047,I-CAMPO
33,Jatobá,4050,4056,B-BACIA
34,sedimentos,4069,4079,B-NÃOCONSOLID
35,Recôncavo,4095,4104,B-BACIA
36,Tucano,4107,4113,B-BACIA
37,bacias,4228,4234,B-BACIA
38,sedimentos,4312,4322,B-NÃOCONSOLID
39,Tucano,4326,4332,B-BACIA
40,Norte,4333,4338,I-BACIA
41,sedimentos,4355,4365,B-NÃOCONSOLID
42,Jatobá,4369,4375,B-BACIA
43,Tucano,4437,4443,B-BACIA
44,Norte,4444,4449,I-BACIA
45,sedimentos,4519,4529,B-NÃOCONSOLID
46,bacias,4711,4717,B-BACIA
47,Jatobá,5789,5795,B-BACIA
48,Sul~,5886,5890,I-BACIA
49,Recôncavo,5891,5900,B-BACIA
50,Recôncavo,6071,6080,B-BACIA
51,bacias,6229,6235,B-BACIA
52,do,6236,6238,I-BACIA
53,Recôncavo,6239,6248,I-BACIA
54,TUcano,6251,6257,B-BACIA
55,embasamento,8504,8515,B-UNIDADE_LITO
56,Tucano,9416,9422,B-BACIA
57,Sul,9423,9426,I-BACIA
58,óleo,10088,10092,B-FLUIDODATERRA
59,Quererá,10126,10133,B-CAMPO
60,embasamento,10266,10277,B-UNIDADE_LITO
61,bacia,10491,10496,B-BACIA
62,do,10497,10499,I-BACIA
63,Tucano,10500,10506,I-BACIA
64,Jatobá,13335,13341,B-BACIA
65,bacia,14599,14604,B-BACIA
66,do,14605,14607,I-BACIA
67,Tuqano,14608,14614,I-BACIA
68,Tucano,14864,14870,B-BACIA
69,Norte,14871,14876,I-BACIA
70,Jatobá,14879,14885,B-BACIA
71,Tucano,15124,15130,B-BACIA
72,SUl,15131,15134,I-BACIA
73,Tucano,15137,15143,B-BACIA
74,Central,15144,15151,I-BACIA
75,TUoano,15760,15766,B-UNIDADE_CRONO
76,Sul,15767,15770,I-UNIDADE_CRONO
77,Central,15780,15787,I-BACIA
