,TEXT,START,END,LABEL
0,pioneiro,704,712,B-POÇO
1,poço,791,795,B-POÇO
2,fazenda,1560,1567,B-CAMPO
3,formação,2028,2036,B-UNIDADE_LITO
4,Ilhas,2037,2042,I-UNIDADE_LITO
5,campo,2460,2465,B-CAMPO
6,folhelho,2826,2834,B-ROCHA
7,arenito,3604,3611,B-ROCHA
8,Reconcavo,3926,3935,B-BACIA
9,Bacia,3988,3993,B-BACIA
10,Sedimen,3994,4001,I-BACIA
11,formações,4031,4040,B-UNIDADE_LITO
12,Tlhas,4041,4046,I-UNIDADE_LITO
13,Se,4049,4051,I-UNIDADE_LITO
14,Sebag,4052,4057,I-UNIDADE_LITO
15,Reconcavo,4157,4166,B-BACIA
16,arenito,4359,4366,B-ROCHA
17,siltitos,4611,4619,B-ROCHA
18,renitos,4626,4633,B-ROCHA
19,fazenda,5296,5303,B-CAMPO
20,Carmo,5304,5309,I-CAMPO
21,de,6410,6412,I-CAMPO
22,Areia,6413,6418,I-CAMPO
23,fazenda,6853,6860,B-CAMPO
24,Aragão,6861,6867,I-CAMPO
25,folhelhe,6893,6901,B-ROCHA
26,formação,6949,6957,B-UNIDADE_LITO
27,Ilhas,6958,6963,I-UNIDADE_LITO
28,folhelhosos,7034,7045,B-ROCHA
29,formação,7083,7091,B-UNIDADE_LITO
30,5,7092,7093,I-UNIDADE_LITO
31,folhelho,7137,7145,B-ROCHA
32,formação,7176,7184,B-UNIDADE_LITO
33,Se,7185,7187,I-UNIDADE_LITO
34,Sebastião,7188,7197,I-UNIDADE_LITO
35,formação,7348,7356,B-UNIDADE_LITO
36,Ilhas,7357,7362,I-UNIDADE_LITO
37,arenitos,7446,7454,B-ROCHA
38,formação,7458,7466,B-UNIDADE_LITO
39,folhelho,7683,7691,B-ROCHA
40,fazendas,7792,7800,B-CAMPO
41,Aragao,7801,7807,I-CAMPO
42,Cassa,7810,7815,B-CAMPO
43,Reconcavo,8300,8309,B-BACIA
44,fazenda,8631,8638,B-CAMPO
45,da,8639,8641,I-CAMPO
46,Onças,8642,8647,I-CAMPO
