,TEXT,START,END,LABEL
0,arenito,57,64,B-ROCHA
1,água,83,87,B-FLUIDODATERRA
2,doce,88,92,I-FLUIDODATERRA
3,poço,767,771,B-POÇO
4,Bax-2-Ba,772,780,I-POÇO
5,arenito,795,802,B-ROCHA
6,água,813,817,B-FLUIDODATERRA
7,salgada,818,825,I-FLUIDODATERRA
8,poço,1597,1601,B-POÇO
9,Ba-1-•,1602,1608,I-POÇO
10,arenito,2381,2388,B-ROCHA
11,poços,4024,4029,B-POÇO
12,poços,4217,4222,B-POÇO
13,poços,4367,4372,B-POÇO
14,cretaceos,4720,4729,B-UNIDADE_CRONO
15,formações,4841,4850,B-UNIDADE_LITO
16,cretaceas,4851,4860,B-UNIDADE_CRONO
17,sedimentos,4878,4888,B-NÃOCONSOLID
18,areias,4986,4992,B-NÃOCONSOLID
19,poços,5128,5133,B-POÇO
20,formação,5195,5203,B-UNIDADE_LITO
21,Ilhas,5204,5209,I-UNIDADE_LITO
22,superior,5210,5218,I-UNIDADE_LITO
23,poço,5235,5239,B-POÇO
24,48,5240,5242,I-POÇO
25,formação,5256,5264,B-UNIDADE_LITO
26,São,5265,5268,I-UNIDADE_LITO
27,Sebastião,5269,5278,I-UNIDADE_LITO
28,poços,5283,5288,B-POÇO
29,Poço,5871,5875,B-POÇO
30,FORMAÇÃO,7495,7503,B-UNIDADE_LITO
31,poço,7710,7714,B-POÇO
32,poço,8034,8038,B-POÇO
33,20,8039,8041,I-POÇO
34,poço,8054,8058,B-POÇO
35,38,8059,8061,I-POÇO
36,poço,8250,8254,B-POÇO
37,campo,8634,8639,B-CAMPO
38,poços,8650,8655,B-POÇO
39,poço,9207,9211,B-POÇO
40,poços,9397,9402,B-POÇO
41,poços,10194,10199,B-POÇO
42,poços,11317,11322,B-POÇO
43,poço,11888,11892,B-POÇO
44,poço,12385,12389,B-POÇO
45,poços,13109,13114,B-POÇO
46,poço,13164,13168,B-POÇO
47,4a,13169,13171,I-POÇO
