,TEXT,START,END,LABEL
0,petróleo,2393,2401,B-FLUIDODATERRA
1,Ceaoao1oo,3282,3291,B-UNIDADE_CRONO
2,"P1.""",7873,7877,B-POÇO
3,bacia,11193,11198,B-BACIA
4,formação,20995,21003,B-UNIDADE_LITO
5,Sergi,21004,21009,I-UNIDADE_LITO
6,FORMAÇÃO,27398,27406,B-UNIDADE_LITO
7,areit,29821,29826,B-ROCHA
8,Cratáoeo,33621,33629,B-UNIDADE_CRONO
9,Iàter1ar,33630,33638,I-UNIDADE_CRONO
10,areia,41694,41699,B-NÃOCONSOLID
11,areia,58827,58832,B-NÃOCONSOLID
12,bacia,63075,63080,B-BACIA
13,arenitoa,63556,63564,B-ROCHA
14,óleo,71609,71613,B-FLUIDODATERRA
15,idade,73361,73366,B-UNIDADE_CRONO
16,arenit,74287,74293,B-ROCHA
17,arenite,74416,74423,B-ROCHA
18,P8-1,74871,74875,B-POÇO
19,hidrocarbonetos,75532,75547,B-FLUIDODATERRA
20,P8-1-Ba,75559,75566,B-POÇO
21,folhelho,76637,76645,B-ROCHA
22,P8-1-Ja,77718,77725,B-POÇO
23,poço,78357,78361,B-POÇO
24,Arenitoe,79891,79899,B-ROCHA
25,pioneiro,82548,82556,B-POÇO
26,Inferior,82768,82776,I-UNIDADE_CRONO
