,TEXT,START,END,LABEL
0,Campo,159,164,B-CAMPO
1,de,165,167,I-CAMPO
2,Ostracóides,168,179,I-CAMPO
3,poço,295,299,B-POÇO
4,campo,319,324,B-CAMPO
5,calcários,695,704,B-ROCHA
6,margas,706,712,B-ROCHA
7,arenitos,736,744,B-ROCHA
8,poço,1272,1276,B-POÇO
9,sedimentos,1537,1547,B-NÃOCONSOLID
10,poço,1700,1704,B-POÇO
11,campo,1811,1816,B-CAMPO
12,Recôncavo/Tucano,2142,2158,B-BACIA
13,água,2319,2323,B-FLUIDODATERRA
14,calclferas,2369,2379,B-ROCHA
15,água,2623,2627,B-FLUIDODATERRA
16,água,2652,2656,B-FLUIDODATERRA
17,doce,2657,2661,I-FLUIDODATERRA
18,Ordoviciano,2701,2712,B-UNIDADE_CRONO
19,água,2912,2916,B-FLUIDODATERRA
20,doce,2917,2921,I-FLUIDODATERRA
21,sedimentos,2986,2996,B-NÃOCONSOLID
22,água,3035,3039,B-FLUIDODATERRA
23,sedimentos,3163,3173,B-NÃOCONSOLID
24,rochas,3290,3296,B-ROCHA
25,margas,3309,3315,B-ROCHA
26,folhelhos,3317,3326,B-ROCHA
27,arenitos,3328,3336,B-ROCHA
28,água,3508,3512,B-FLUIDODATERRA
29,rochas,3514,3520,B-ROCHA
30,água,3796,3800,B-FLUIDODATERRA
31,água,3913,3917,B-FLUIDODATERRA
32,poços,5402,5407,B-POÇO
33,Formação,5876,5884,B-UNIDADE_LITO
34,Alagoas,5885,5892,I-UNIDADE_LITO
35,Albiano,5903,5910,B-UNIDADE_CRONO
36,inferior,5911,5919,I-UNIDADE_CRONO
37,poços,6020,6025,B-POÇO
38,formação,6117,6125,B-UNIDADE_LITO
39,Se,6130,6132,I-UNIDADE_LITO
40,bastião,6238,6245,B-ROCHA
41,Tucano,6436,6442,B-BACIA
42,Formação,7102,7110,B-UNIDADE_LITO
43,são,7111,7114,I-UNIDADE_LITO
44,Sebastião,7115,7124,I-UNIDADE_LITO
45,Formaçao,8018,8026,B-UNIDADE_LITO
46,poço,9077,9081,B-POÇO
47,Bast-l-Se,9082,9091,I-POÇO
48,Recôncavo,9299,9308,B-BACIA
49,bacia,9333,9338,B-BACIA
50,de,9339,9341,I-BACIA
51,Tucano,9342,9348,I-BACIA
52,Tucano,9586,9592,B-BACIA
53,grupo,10657,10662,B-UNIDADE_LITO
54,Reeôncavo,11024,11033,B-BACIA
55,bacia,11044,11049,B-BACIA
56,de,11050,11052,I-BACIA
57,Tucano,11053,11059,I-BACIA
58,Formação,11266,11274,B-UNIDADE_LITO
59,são,11275,11278,I-UNIDADE_LITO
60,Miguel,11279,11285,I-UNIDADE_LITO
61,formação,11707,11715,B-UNIDADE_LITO
62,ILHAS,11716,11721,I-UNIDADE_LITO
63,bacia,11795,11800,B-BACIA
64,de,11801,11803,I-BACIA
65,Tucano,11804,11810,I-BACIA
66,bacia,11911,11916,B-BACIA
67,Recôncavo,11921,11930,B-BACIA
68,bacias,13316,13322,B-BACIA
69,bacia,13752,13757,B-BACIA
70,de,13758,13760,I-BACIA
71,Tucano,13761,13767,I-BACIA
72,bacia,14142,14147,B-BACIA
73,de,14148,14150,I-BACIA
74,Tucano,14151,14157,I-BACIA
75,bacia,14208,14213,B-BACIA
76,de,14214,14216,I-BACIA
77,J,14217,14218,I-BACIA
78,bacia,14583,14588,B-BACIA
79,de,14589,14591,I-BACIA
80,Tucano,14592,14598,I-BACIA
81,Recôncavo,15085,15094,B-BACIA
82,folhelho,15156,15164,B-ROCHA
83,lhelho,15221,15227,B-ROCHA
84,Recônca,15806,15813,B-BACIA
85,bacia,15840,15845,B-BACIA
86,de,15846,15848,I-BACIA
87,Tucano,15849,15855,I-BACIA
88,Tucano,16231,16237,B-BACIA
89,bacia,16315,16320,B-BACIA
90,de,16321,16323,I-BACIA
91,Tucano,16324,16330,I-BACIA
92,folhelho,16845,16853,B-ROCHA
93,bacia,16931,16936,B-BACIA
94,de,16937,16939,I-BACIA
95,Tucano,16940,16946,I-BACIA
96,poços,16979,16984,B-POÇO
97,Ost--l-Ba,16985,16994,I-POÇO
98,bacia,17378,17383,B-BACIA
99,de,17384,17386,I-BACIA
100,',17387,17388,I-BACIA
101,rucano,17388,17394,I-BACIA
102,bacia,17400,17405,B-BACIA
103,de,17406,17408,I-BACIA
104,Jatobá,17409,17415,I-BACIA
105,água,17668,17672,B-FLUIDODATERRA
106,doce,17673,17677,I-FLUIDODATERRA
107,Que,17721,17724,B-UNIDADE_CRONO
108,Jurássico,17725,17734,B-UNIDADE_CRONO
109,superior,17735,17743,I-UNIDADE_CRONO
110,idade,18341,18346,B-UNIDADE_CRONO
111,permiana,18347,18355,I-UNIDADE_CRONO
112,Recôncavo,18662,18671,B-BACIA
113,Tuc,18679,18682,B-BACIA
114,ano,18683,18686,I-BACIA
115,bacia,18768,18773,B-BACIA
116,do,18774,18776,I-BACIA
117,Tucano,18777,18783,I-BACIA
118,Sergipe,18829,18836,B-BACIA
119,Recôncavo,18854,18863,B-BACIA
