,TEXT,START,END,LABEL
0,bacia,122,127,B-BACIA
1,Recôncavo,142,151,B-BACIA
2,Série,447,452,B-UNIDADE_CRONO
3,formações,507,516,B-UNIDADE_LITO
4,cretáceas,517,526,B-UNIDADE_CRONO
5,formações,577,586,B-UNIDADE_LITO
6,Ala&Q,587,592,I-UNIDADE_LITO
7,as,593,595,I-UNIDADE_LITO
8,Sapucari-Laranjeiras,597,617,I-UNIDADE_LITO
9,formação,628,636,B-UNIDADE_LITO
10,Algodões,637,645,I-UNIDADE_LITO
11,Recôncavo,792,801,B-BACIA
12,rochas,834,840,B-ROCHA
13,cretáceas,841,850,B-UNIDADE_CRONO
14,bacia,1184,1189,B-BACIA
15,Recôncavo,1204,1213,B-BACIA
16,formações,1348,1357,B-UNIDADE_LITO
17,Série,1363,1368,B-UNIDADE_LITO
18,Bahia,1369,1374,I-UNIDADE_LITO
19,formações,1434,1443,B-UNIDADE_LITO
20,Alagoas,1444,1451,I-UNIDADE_LITO
21,Algodões,1454,1462,I-UNIDADE_LITO
22,quasi,1569,1574,B-UNIDADE_CRONO
23,rochas,3303,3309,B-ROCHA
24,eqôncavo,3392,3400,B-BACIA
25,bacia,3705,3710,B-BACIA
26,eoôncavo,3725,3733,B-BACIA
27,Itaparica,4445,4454,B-CAMPO
28,Bacia,5342,5347,B-BACIA
29,do,5348,5350,I-BACIA
30,Recôncavo,5351,5360,I-BACIA
31,sedimentos,5378,5388,B-NÃOCONSOLID
32,formações,5393,5402,B-UNIDADE_LITO
33,Aliança,5403,5410,I-UNIDADE_LITO
34,Serfij,5412,5418,I-UNIDADE_LITO
35,Itaparica,5421,5430,I-UNIDADE_LITO
36,Ilhas,5443,5448,I-UNIDADE_LITO
37,sedimentos,5450,5460,B-NÃOCONSOLID
38,idade,5464,5469,B-UNIDADE_CRONO
39,Aptiano-l~lbiano,5470,5486,I-UNIDADE_CRONO
40,Tu,5488,5490,B-BACIA
41,oniano,5491,5497,I-BACIA
42,sedimentos,5542,5552,B-NÃOCONSOLID
43,idades,5556,5562,B-UNIDADE_CRONO
44,Aptiano-Albiano,5563,5578,I-UNIDADE_CRONO
45,Albiano,5579,5586,B-UNIDADE_CRONO
46,T~,5589,5591,B-UNIDADE_CRONO
47,formações,5667,5676,B-UNIDADE_LITO
48,Alagoas,5677,5684,I-UNIDADE_LITO
49,Maruim,5686,5692,I-UNIDADE_LITO
50,Riachuelo,5695,5704,I-UNIDADE_LITO
51,bacia,5741,5746,B-BACIA
52,Serei,5749,5754,I-UNIDADE_LITO
53,Algodões,5799,5807,B-UNIDADE_LITO
54,Sapuca,5810,5816,I-UNIDADE_LITO
55,sedimentos,5985,5995,B-NÃOCONSOLID
56,Aptiano-Albiano,5996,6011,B-UNIDADE_CRONO
57,Turonlano,6014,6023,B-UNIDADE_CRONO
58,bacias,6099,6105,B-BACIA
59,bacia,6226,6231,B-BACIA
60,campo,6407,6412,B-CAMPO
61,óleo,6444,6448,B-FLUIDODATERRA
62,campo,6586,6591,B-CAMPO
63,de,6592,6594,I-CAMPO
64,Reconcavo,13685,13694,B-BACIA
65,Itapari,32908,32915,B-CAMPO
66,Itapari_,33647,33655,I-UNIDADE_LITO
67,Itapari,40053,40060,B-BACIA
68,formação,43470,43478,B-UNIDADE_LITO
69,Ilhas,43479,43484,I-UNIDADE_LITO
70,sedimentos,43556,43566,B-NÃOCONSOLID
71,bacia,43592,43597,B-BACIA
72,formação,43753,43761,B-UNIDADE_LITO
73,Ilhas,43762,43767,I-UNIDADE_LITO
74,FORMAÇÃO,43900,43908,B-UNIDADE_LITO
75,tena,56515,56519,[CLS]
76,arait..,64765,64772,B-ROCHA
77,Itapari_,74018,74026,B-BACIA
78,Itapari,79869,79876,B-BACIA
79,areni,82900,82905,B-ROCHA
80,poços,88957,88962,B-POÇO
81,I-22,88963,88967,I-POÇO
82,1-3,88975,88978,B-POÇO
83,1-9,88980,88983,B-POÇO
84,I-1,88986,88989,B-POÇO
85,Agua,94704,94708,B-CAMPO
86,Complidá,94709,94717,I-CAMPO
