,TEXT,START,END,LABEL
0,Cassurog,406,414,B-CAMPO
1,arenito,677,684,B-ROCHA
2,óleo,919,923,B-FLUIDODATERRA
3,poços,1005,1010,B-POÇO
4,arenito,1138,1145,B-ROCHA
5,óleo,1210,1214,B-FLUIDODATERRA
6,arenito,1218,1225,B-ROCHA
7,Taquipos,1245,1253,B-UNIDADE_CRONO
8,arenito,1315,1322,B-ROCHA
9,pioneiro,1693,1701,B-POÇO
10,poços,1799,1804,B-POÇO
11,pionciros,1805,1814,B-POÇO
12,poços,1879,1884,B-POÇO
13,rochas,2010,2016,B-ROCHA
14,seiimentos,2176,2186,B-NÃOCONSOLID
15,Formação,2248,2256,B-UNIDADE_LITO
16,Barreiras,2257,2266,I-UNIDADE_LITO
17,arenito,2817,2824,B-ROCHA
18,Formação,2834,2842,B-UNIDADE_LITO
19,Cundeine,2843,2851,I-UNIDADE_LITO
20,arenitos,2870,2878,B-ROCHA
21,Formação,2882,2890,B-UNIDADE_LITO
22,Ilhas,2891,2896,I-UNIDADE_LITO
23,arenito,3204,3211,B-ROCHA
24,arenitos,3254,3262,B-ROCHA
25,poços,3387,3392,B-POÇO
26,Asradocenos,3487,3498,B-UNIDADE_CRONO
27,Formação,3898,3906,B-UNIDADE_LITO
28,“,3907,3908,I-UNIDADE_LITO
29,ão,3908,3910,I-UNIDADE_LITO
30,sedimentos,4235,4245,B-NÃOCONSOLID
31,rochas,4489,4495,B-ROCHA
32,Jurêscico,4863,4872,B-UNIDADE_CRONO
33,Inferior,4896,4904,I-UNIDADE_CRONO
34,Crotágoo,4997,5005,B-UNIDADE_CRONO
35,Inferioro,5006,5015,I-UNIDADE_CRONO
36,Formação,5018,5026,B-UNIDADE_LITO
37,Alfenga,5027,5034,I-UNIDADE_LITO
38,folhelho,5259,5267,B-ROCHA
39,gás,6219,6222,B-FLUIDODATERRA
40,poços,6232,6237,B-POÇO
41,folhelho,6630,6638,B-ROCHA
42,pioneiro,6946,6954,B-POÇO
43,Axenito,7056,7063,B-ROCHA
44,folhelhos,7123,7132,B-ROCHA
45,folhelhos,7422,7431,B-ROCHA
46,folhelho,7482,7490,B-ROCHA
47,folhelho,7543,7551,B-ROCHA
48,Formação,7717,7725,B-UNIDADE_LITO
49,Aliangas,7726,7734,I-UNIDADE_LITO
50,seiimentos,7794,7804,B-NÃOCONSOLID
51,arenitos,7819,7827,B-ROCHA
52,Itepartos,8254,8263,B-UNIDADE_CRONO
53,folhelho,8316,8324,B-ROCHA
54,folhelho,8458,8466,B-ROCHA
55,poços,8740,8745,B-POÇO
56,costenho,8919,8927,B-ROCHA
57,Cretáceo,9380,9388,B-UNIDADE_CRONO
58,Inferlers,9389,9398,I-UNIDADE_CRONO
59,falhelto,9936,9944,B-ROCHA
60,Itaparica,10345,10354,B-BACIA
61,folhelho,10372,10380,B-ROCHA
62,arenito,10602,10609,B-ROCHA
63,azenito,10641,10648,B-ROCHA
64,folhelho,10680,10688,B-ROCHA
65,Formação,10709,10717,B-UNIDADE_LITO
66,Itaparioa,10718,10727,I-UNIDADE_LITO
67,Formação,10905,10913,B-UNIDADE_LITO
68,eébreposta,10914,10924,I-UNIDADE_LITO
69,arenitos,10974,10982,B-ROCHA
70,formação,10989,10997,B-UNIDADE_LITO
71,Formação,11333,11341,B-UNIDADE_LITO
72,Candeias,11342,11350,I-UNIDADE_LITO
73,poços,11572,11577,B-POÇO
74,sedimentos,13041,13051,B-NÃOCONSOLID
