,TEXT,START,END,LABEL
0,arenitos,152,160,B-ROCHA
1,gás,200,203,B-FLUIDODATERRA
2,poços,252,257,B-POÇO
3,arenitos,316,324,B-ROCHA
4,gas,345,348,B-FLUIDODATERRA
5,poços,406,411,B-POÇO
6,areias,526,532,B-NÃOCONSOLID
7,gás,673,676,B-FLUIDODATERRA
8,arenitos,747,755,B-ROCHA
9,arenitos,843,851,B-ROCHA
10,areias,893,899,B-NÃOCONSOLID
11,Ao-I-BA,1018,1025,B-POÇO
12,arenitos,1121,1129,B-ROCHA
13,arenitos,1180,1188,B-ROCHA
14,poços,1326,1331,B-POÇO
15,gás,1355,1358,B-FLUIDODATERRA
16,MB-2-BA,8828,8835,B-POÇO
17,Itapari,9202,9209,B-CAMPO
18,Itaparica,11138,11147,B-CAMPO
19,MB-2-BA,14332,14339,B-POÇO
20,1-,15974,15976,B-POÇO
