,TEXT,START,END,LABEL
0,poços,197,202,B-POÇO
1,poqoo,1069,1074,B-POÇO
2,poços,1139,1144,B-POÇO
3,arenito,1390,1397,B-ROCHA
4,Qe-1,1410,1414,B-POÇO
5,óleo,1493,1497,B-FLUIDODATERRA
6,água,1500,1504,B-FLUIDODATERRA
7,arenito,1557,1564,B-ROCHA
8,poços,1684,1689,B-POÇO
9,Qe-l,1690,1694,I-POÇO
10,poços,1771,1776,B-POÇO
11,arenito,1946,1953,B-ROCHA
12,Qe-3,2334,2338,B-POÇO
13,Quererá,4515,4522,B-CAMPO
14,Reconcavo,4715,4724,B-BACIA
15,Quererá,6064,6071,B-CAMPO
16,Tucano,6195,6201,B-BACIA
17,Basin,6202,6207,I-BACIA
18,Recôncavo,6782,6791,B-BACIA
19,Tucano,6870,6876,B-BACIA
20,Basin,6877,6882,I-BACIA
21,Recôncavo,7080,7089,B-BACIA
22,Dom,7220,7223,B-CAMPO
23,João,7224,7228,I-CAMPO
24,Agua,7233,7237,B-CAMPO
25,Grande,7238,7244,I-CAMPO
26,Reconcavo,7519,7528,B-BACIA
27,Candeias,7620,7628,B-CAMPO
28,Recôncavo,8715,8724,B-BACIA
29,Tucano,9968,9974,B-BACIA
30,Basia,9975,9980,I-BACIA
31,Recôncavo,10065,10074,B-BACIA
32,Basin,10075,10080,I-BACIA
33,Tucano,10138,10144,B-BACIA
34,Basia,10145,10150,I-BACIA
35,bacia,11259,11264,B-BACIA
36,Tucano,12506,12512,B-BACIA
37,Basin,12513,12518,I-BACIA
38,Candeias,17292,17300,B-CAMPO
