,TEXT,START,END,LABEL
0,Bacia,76,81,B-BACIA
1,de,82,84,I-BACIA
2,Tucano,85,91,I-BACIA
3,bacia,385,390,B-BACIA
4,de,391,393,I-BACIA
5,Tucan,394,399,I-BACIA
6,sedi,735,739,B-NÃOCONSOLID
7,bacia,1473,1478,B-BACIA
8,de,1479,1481,I-BACIA
9,Tucan,1482,1487,I-BACIA
10,ça,1492,1494,B-UNIDADE_LITO
11,Barreiras,1495,1504,I-UNIDADE_LITO
12,bacia,1540,1545,B-BACIA
13,embasamento,1694,1705,B-UNIDADE_LITO
14,bacia,1726,1731,B-BACIA
15,rochas,1749,1755,B-ROCHA
16,série,1760,1765,B-UNIDADE_CRONO
17,Estância,1766,1774,I-UNIDADE_CRONO
18,bacia,2109,2114,B-BACIA
19,bacias,2134,2140,B-BACIA
20,de,2141,2143,I-BACIA
21,Recônc~,2144,2151,I-BACIA
22,bacias,2269,2275,B-BACIA
23,bacias,2376,2382,B-BACIA
24,poço,2838,2842,B-POÇO
25,bacia,2872,2877,B-BACIA
26,de,2878,2880,I-BACIA
27,Tucan,2881,2886,I-BACIA
28,Formação,3829,3837,B-UNIDADE_LITO
29,Serei,3838,3843,I-UNIDADE_LITO
30,Formação,4670,4678,B-UNIDADE_LITO
31,Ilhas,4679,4684,I-UNIDADE_LITO
32,bacia,4915,4920,B-BACIA
33,de,4921,4923,I-BACIA
34,Tucano,4924,4930,I-BACIA
35,formações,5347,5356,B-UNIDADE_LITO
36,do,5357,5359,I-UNIDADE_LITO
37,Recincavo,5360,5369,I-UNIDADE_LITO
38,poço,5400,5404,B-POÇO
39,Tucano,5547,5553,B-BACIA
40,Tucano,5726,5732,B-BACIA
41,formações,5824,5833,B-UNIDADE_LITO
42,do,5834,5836,I-UNIDADE_LITO
43,Recônoavo,5837,5846,I-UNIDADE_LITO
44,Tucano,5849,5855,B-BACIA
45,bacia,5932,5937,B-BACIA
46,bacia,6180,6185,B-BACIA
47,de,6186,6188,I-BACIA
48,Tucano,6189,6195,I-BACIA
