,TEXT,START,END,LABEL
0,campo,56,61,B-CAMPO
1,de,62,64,I-CAMPO
2,Gomo,65,69,I-CAMPO
3,arenitos,266,274,B-ROCHA
4,campo,661,666,B-CAMPO
5,poços,706,711,B-POÇO
6,secos,712,717,B-POÇO
7,campo,952,957,B-CAMPO
8,Bacia,1180,1185,B-BACIA
9,do,1186,1188,I-BACIA
10,Re,1189,1191,I-BACIA
11,rochas,1302,1308,B-ROCHA
12,Mesosoica,1318,1327,B-UNIDADE_CRONO
13,Cretáceo,1329,1337,B-UNIDADE_CRONO
14,Inferior,1338,1346,I-UNIDADE_CRONO
15,sedi,1495,1499,B-NÃOCONSOLID
16,Formação,1540,1548,B-UNIDADE_LITO
17,Barreiras,1549,1558,I-UNIDADE_LITO
18,embasamento,1602,1613,B-UNIDADE_LITO
19,pró-Cambriano,1614,1627,B-UNIDADE_CRONO
20,Formação,1632,1640,B-UNIDADE_LITO
21,Aliança,1641,1648,I-UNIDADE_LITO
22,Formações,1659,1668,B-UNIDADE_LITO
23,São,1669,1672,I-UNIDADE_LITO
24,Se,1673,1675,I-UNIDADE_LITO
25,bastião,1676,1683,I-UNIDADE_LITO
26,Barreiras,1686,1695,B-UNIDADE_LITO
27,arenitos,1798,1806,B-ROCHA
28,Arenito,1923,1930,B-ROCHA
29,Membro,1989,1995,B-UNIDADE_LITO
30,Superior,1996,2004,I-UNIDADE_LITO
31,Formação,2008,2016,B-UNIDADE_LITO
32,Ilnas,2017,2022,I-UNIDADE_LITO
33,poços,2169,2174,B-POÇO
34,água,2334,2338,B-FLUIDODATERRA
35,hidrocarbonetos,2392,2407,B-FLUIDODATERRA
36,Formação,3057,3065,B-UNIDADE_LITO
37,Alianga,3066,3073,I-UNIDADE_LITO
38,Formação,3103,3111,B-UNIDADE_LITO
39,Sergl,3112,3117,I-UNIDADE_LITO
40,Formação,3191,3199,B-UNIDADE_LITO
41,Candeias,3200,3208,I-UNIDADE_LITO
42,Formação,3282,3290,B-UNIDADE_LITO
43,São,3291,3294,I-UNIDADE_LITO
44,Sebastião,3295,3304,I-UNIDADE_LITO
45,Formação,3326,3334,B-UNIDADE_LITO
46,Barreiras,3335,3344,I-UNIDADE_LITO
47,Intervalo,4026,4035,I-UNIDADE_LITO
48,de,4797,4799,I-CAMPO
49,Cassarongongo,4800,4813,I-CAMPO
50,Bacia,4854,4859,B-BACIA
51,do,4860,4862,I-BACIA
52,Reconcave,4863,4872,I-BACIA
53,Arenito,4991,4998,B-ROCHA
54,Canbuquí,4999,5007,I-ROCHA
55,pioneiro,5582,5590,B-POÇO
56,extensão,5595,5603,B-POÇO
57,óleo,5934,5938,B-FLUIDODATERRA
58,gás,6011,6014,B-FLUIDODATERRA
59,gás,6210,6213,B-FLUIDODATERRA
60,pioneiros,6539,6548,B-POÇO
61,sedimentos,6685,6695,B-NÃOCONSOLID
62,Formações,6837,6846,B-UNIDADE_LITO
63,Aliança,6847,6854,I-UNIDADE_LITO
64,Sergf,6857,6862,I-UNIDADE_LITO
65,pioneiros,6879,6888,B-POÇO
66,sedimentos,7017,7027,B-NÃOCONSOLID
67,cretáceos,7028,7037,B-UNIDADE_CRONO
68,Formação,7074,7082,B-UNIDADE_LITO
69,Barreiras,7083,7092,I-UNIDADE_LITO
70,Tercídrio,7111,7120,B-UNIDADE_CRONO
71,embasamento,7216,7227,B-UNIDADE_LITO
72,pioneiros,7249,7258,B-POÇO
73,Formação,7384,7392,B-UNIDADE_LITO
74,Aliança,7393,7400,I-UNIDADE_LITO
75,sedimentos,7432,7442,B-NÃOCONSOLID
76,fra,7446,7449,B-UNIDADE_LITO
77,Kesosóica,7450,7459,I-UNIDADE_CRONO
78,Jurássico,7487,7496,B-UNIDADE_CRONO
79,Superior,7497,7505,I-UNIDADE_CRONO
80,Crétaceo,7509,7517,B-UNIDADE_CRONO
81,Inferior,7518,7526,I-UNIDADE_CRONO
82,Cretáceo,7617,7625,B-UNIDADE_CRONO
83,Inferior,7626,7634,I-UNIDADE_CRONO
84,sedimentos,7799,7809,B-NÃOCONSOLID
85,Formação,7813,7821,B-UNIDADE_LITO
86,Aliança,7822,7829,I-UNIDADE_LITO
87,poços,7846,7851,B-POÇO
88,Eolhelho,7903,7911,B-ROCHA
89,folhelho,8059,8067,B-ROCHA
90,Bacia,8225,8230,B-BACIA
91,«,8231,8232,I-BACIA
92,a,8232,8233,I-BACIA
93,Formação,8234,8242,B-UNIDADE_LITO
94,Alianga,8243,8250,I-UNIDADE_LITO
95,Reconcavo,8350,8359,B-BACIA
96,Bacias,8366,8372,B-BACIA
97,de,8373,8375,I-BACIA
98,Tucano,8376,8382,I-BACIA
99,Jatobá,8385,8391,B-BACIA
100,Bacia,8557,8562,B-BACIA
101,de,8563,8565,I-BACIA
102,Jatobá,8566,8572,I-BACIA
103,Formação,8634,8642,B-UNIDADE_LITO
104,Aliança,8643,8650,I-UNIDADE_LITO
105,Arenito,8674,8681,B-ROCHA
106,Bacia,8933,8938,B-BACIA
107,evaporitos,9088,9098,B-ROCHA
108,pioneiro,9615,9623,B-POÇO
109,Ce-l<-Ba,9624,9632,B-POÇO
110,arenitos,9637,9645,B-ROCHA
111,Formação,9778,9786,B-UNIDADE_LITO
112,Sergf,9787,9792,I-UNIDADE_LITO
113,Jurássico,9796,9805,B-UNIDADE_CRONO
114,Superior,9807,9815,I-UNIDADE_CRONO
115,Cretdeeo,9819,9827,B-UNIDADE_CRONO
116,Inferior,9828,9836,I-UNIDADE_CRONO
117,folhelho,10023,10031,B-ROCHA
118,Formação,10097,10105,B-UNIDADE_LITO
119,Itaparica,10106,10115,I-UNIDADE_LITO
120,bacia,10176,10181,B-BACIA
121,Formação,10268,10276,B-UNIDADE_LITO
122,Sergí,10277,10282,I-UNIDADE_LITO
123,Formação,10444,10452,B-UNIDADE_LITO
124,Sergí,10453,10458,I-UNIDADE_LITO
125,Formação,10495,10503,B-UNIDADE_LITO
126,Alianças,10504,10512,I-UNIDADE_LITO
127,Arenáto,10602,10609,B-ROCHA
128,folhelhos,10678,10687,B-ROCHA
129,Axenito,10699,10706,B-ROCHA
130,poços,10850,10855,B-POÇO
131,água,11075,11079,B-FLUIDODATERRA
132,Bacia,11224,11229,B-BACIA
133,sedimentos,11262,11272,B-NÃOCONSOLID
134,Formação,11415,11423,B-UNIDADE_LITO
135,Aliança,11424,11431,I-UNIDADE_LITO
136,sedimentos,11487,11497,B-NÃOCONSOLID
137,arenitos,11512,11520,B-ROCHA
138,Folhelho,11824,11832,B-ROCHA
139,Formação,11917,11925,B-UNIDADE_LITO
140,Sergí,11926,11931,I-UNIDADE_LITO
141,poços,11953,11958,B-POÇO
142,dlco,11994,11998,B-ROCHA
143,água,12091,12095,B-FLUIDODATERRA
144,salgada,12096,12103,I-FLUIDODATERRA
145,Formação,12141,12149,B-UNIDADE_LITO
146,Itaparica,12150,12159,I-UNIDADE_LITO
