,TEXT,START,END,LABEL
0,pel08,328,333,B-ROCHA
1,poços,334,339,B-POÇO
2,Lobato,348,354,B-CAMPO
3,folhelhos,843,852,B-ROCHA
4,endo,1429,1433,B-POÇO
5,q,1434,1435,B-POÇO
6,arenito,2666,2673,B-ROCHA
7,petróleo,3166,3174,B-FLUIDODATERRA
8,Arenito,3179,3186,B-ROCHA
9,astanho,3415,3422,B-ROCHA
10,arenito,3437,3444,B-ROCHA
11,seix08,3507,3513,B-NÃOCONSOLID
12,arenito,3525,3532,B-ROCHA
13,"Me-2-D,",3534,3541,B-POÇO
14,sei,3713,3716,B-NÃOCONSOLID
15,granito,3724,3731,B-ROCHA
16,aren1tos,4076,4084,B-ROCHA
17,Arenito,4144,4151,B-ROCHA
18,arenito,4434,4441,B-ROCHA
19,arenito,4732,4739,B-ROCHA
20,arenito,6415,6422,B-ROCHA
21,seixos,6502,6508,B-NÃOCONSOLID
22,rochas,6836,6842,B-ROCHA
23,arenito,6923,6930,B-ROCHA
24,poços,6963,6968,B-POÇO
25,arenito,7158,7165,B-ROCHA
26,arenito,7216,7223,B-ROCHA
27,Creúeeo,8437,8444,B-UNIDADE_CRONO
28,Interior,8445,8453,I-UNIDADE_CRONO
29,Grupo,8755,8760,B-UNIDADE_LITO
30,Brotas,8761,8767,I-UNIDADE_LITO
31,arenitos,9497,9505,B-ROCHA
32,petróleo,9818,9826,B-FLUIDODATERRA
33,arenito,9989,9996,B-ROCHA
34,arenito,10024,10031,B-ROCHA
35,arenito,10073,10080,B-ROCHA
36,arenito,10310,10317,B-ROCHA
37,arenitos,10358,10366,B-ROCHA
38,arenito,10484,10491,B-ROCHA
39,arenitol,10499,10507,B-ROCHA
40,fanglomerados,10757,10770,B-ROCHA
41,fanglomerados,11023,11036,B-ROCHA
42,seixos,11041,11047,B-NÃOCONSOLID
43,calcário,11051,11059,B-ROCHA
44,rochas,11065,11071,B-ROCHA
45,Ígneas,11072,11078,B-ROCHA
46,fanglomerados,11213,11226,B-ROCHA
47,rochas,11230,11236,B-ROCHA
48,Ígness,11237,11243,I-ROCHA
49,seixos,11282,11288,B-NÃOCONSOLID
50,fanglomerados,11293,11306,B-ROCHA
51,seixos,11409,11415,B-NÃOCONSOLID
52,Grupo,11539,11544,B-UNIDADE_LITO
53,Brotas,11545,11551,I-UNIDADE_LITO
54,sedimentos,11680,11690,B-NÃOCONSOLID
55,palevgóicos,11691,11702,B-UNIDADE_CRONO
56,seixos,11979,11985,B-NÃOCONSOLID
57,formação,12101,12109,B-UNIDADE_LITO
58,Caai,12110,12114,I-UNIDADE_LITO
59,1aa,12115,12118,I-UNIDADE_LITO
60,arenito,12144,12151,B-ROCHA
61,formação,12155,12163,B-UNIDADE_LITO
62,Ilhaae,12164,12170,I-UNIDADE_LITO
63,Bacia,12359,12364,B-BACIA
64,io,12365,12367,I-BACIA
65,Recôncavo,12368,12377,I-BACIA
66,Bacia,12526,12531,B-BACIA
67,io,12532,12534,I-BACIA
68,Recôncavo,12535,12544,I-BACIA
69,formações,12713,12722,B-UNIDADE_LITO
70,Ilhas,12723,12728,I-UNIDADE_LITO
71,Canieias,12731,12739,I-UNIDADE_LITO
72,seiimentos,12810,12820,B-NÃOCONSOLID
73,grupo,12824,12829,B-UNIDADE_LITO
74,Brotas,12830,12836,I-UNIDADE_LITO
75,bacia,12936,12941,B-BACIA
76,seiimentos,13003,13013,B-NÃOCONSOLID
77,fanglomerados,13267,13280,B-ROCHA
78,idade,13433,13438,B-UNIDADE_CRONO
79,pr~aptiana,13439,13449,I-UNIDADE_CRONO
80,embasamento,13846,13857,B-UNIDADE_LITO
81,fanglomerados,14182,14195,B-ROCHA
82,Candeias,14227,14235,B-CAMPO
83,arenitos,14268,14276,B-ROCHA
84,formação,14280,14288,B-UNIDADE_LITO
85,Candeias,14289,14297,I-UNIDADE_LITO
86,folhelho,14453,14461,B-ROCHA
87,formação,14510,14518,B-UNIDADE_LITO
88,Candeias,14519,14527,I-UNIDADE_LITO
89,Fazenda,14580,14587,B-CAMPO
90,Azevedo,14588,14595,I-CAMPO
91,hidrocarbone,15001,15013,B-FLUIDODATERRA
92,Me-2D2-BA,15652,15661,B-POÇO
93,xEA-1-BA,15742,15750,B-POÇO
94,embasamento,15943,15954,B-UNIDADE_LITO
95,Tucano-Sul,16277,16287,B-BACIA
96,sedimentos,16335,16345,B-NÃOCONSOLID
97,fanglomerados,16473,16486,B-ROCHA
98,hidrocaro,16802,16811,B-FLUIDODATERRA
99,Candeias,16923,16931,B-CAMPO
