,TEXT,START,END,LABEL
0,Tucano,52,58,B-BACIA
1,Norte,59,64,I-BACIA
2,Tucano,191,197,B-BACIA
3,rochas,355,361,B-ROCHA
4,ssdimentares,362,374,I-ROCHA
5,bacia,402,407,B-BACIA
6,de,408,410,I-BACIA
7,Tucano,411,417,I-BACIA
8,formação,454,462,B-UNIDADE_LITO
9,Kaya,463,467,I-UNIDADE_LITO
10,paieozóicas,556,567,B-UNIDADE_CRONO
11,Bacia,690,695,B-BACIA
12,de,696,698,I-BACIA
13,Tucano,699,705,I-BACIA
14,Norte,706,711,I-BACIA
15,Bacia,1398,1403,B-BACIA
16,de,1404,1406,I-BACIA
17,Tucano,1407,1413,I-BACIA
18,Norte,1414,1419,I-BACIA
19,formações,1698,1707,B-UNIDADE_LITO
20,Paleozóicas,1708,1719,B-UNIDADE_CRONO
21,bacia,1777,1782,B-BACIA
22,de,1783,1785,I-BACIA
23,Tucano,1786,1792,I-BACIA
24,formação,1828,1836,B-UNIDADE_LITO
25,llhas,1837,1842,I-UNIDADE_LITO
26,Tucano,1861,1867,B-BACIA
27,Jatobá,1870,1876,B-BACIA
28,bacia,2249,2254,B-BACIA
29,de,2255,2257,I-BACIA
30,Tu,2258,2260,I-BACIA
31,cano,2261,2265,I-BACIA
32,Norte,2266,2271,I-BACIA
33,Série,2578,2583,B-UNIDADE_LITO
34,Bahia,2584,2589,I-UNIDADE_CRONO
35,formações,2594,2603,B-UNIDADE_LITO
36,paleoz6icas,2604,2615,B-UNIDADE_CRONO
37,Juá,2616,2619,I-UNIDADE_LITO
38,Devoniano,2621,2630,B-UNIDADE_CRONO
39,Curitu,2649,2655,B-UNIDADE_CRONO
40,pré-Oambrianos,3560,3574,B-UNIDADE_CRONO
41,Tu,3749,3751,B-BACIA
42,oano,3752,3756,I-BACIA
43,Norte,3757,3762,I-BACIA
44,sedimentos,3859,3869,B-NÃOCONSOLID
45,bacia,4012,4017,B-BACIA
46,formação,4037,4045,B-UNIDADE_LITO
47,Marizal,4046,4053,I-UNIDADE_LITO
48,arenitos,4111,4119,B-ROCHA
49,formações,4140,4149,B-UNIDADE_LITO
50,Aliança,4150,4157,I-UNIDADE_LITO
51,Sergi,4159,4164,I-UNIDADE_LITO
52,Can,4166,4169,I-UNIDADE_LITO
53,Ilhas,4187,4192,I-UNIDADE_LITO
54,poços,4412,4417,B-POÇO
55,ROst-l-BA,4418,4427,I-POÇO
56,arenitos,4477,4485,B-ROCHA
57,formações,4595,4604,B-UNIDADE_LITO
58,Aliança,4605,4612,I-UNIDADE_LITO
59,Serli,4615,4620,I-UNIDADE_LITO
60,folhelhos,4666,4675,B-ROCHA
61,formação,4721,4729,B-UNIDADE_LITO
62,Aliança,4730,4737,I-UNIDADE_LITO
63,bacia,4785,4790,B-BACIA
64,de,4791,4793,I-BACIA
65,Jatobá,4794,4800,I-BACIA
66,formação,4804,4812,B-UNIDADE_LITO
67,Serli,4813,4818,I-UNIDADE_LITO
68,bacia,4905,4910,B-BACIA
69,de,4911,4913,I-BACIA
70,Jatobá,4914,4920,I-BACIA
71,formação,5012,5020,B-UNIDADE_LITO
72,Sergi,5021,5026,I-UNIDADE_LITO
73,poço,5105,5109,B-POÇO
74,Ibimirim,5113,5121,I-CAMPO
75,sedimentos,5182,5192,B-NÃOCONSOLID
76,Candeias,5196,5204,B-CAMPO
77,Inferior,5205,5213,I-CAMPO
78,Série,5270,5275,B-UNIDADE_CRONO
79,Bahia,5276,5281,I-UNIDADE_CRONO
80,arenitos,5290,5298,B-ROCHA
81,arenitos,5333,5341,B-ROCHA
82,formação,5349,5357,B-UNIDADE_LITO
83,Candeias,5358,5366,I-UNIDADE_LITO
84,Tucano,5433,5439,B-BACIA
85,Norte,5440,5445,I-BACIA
86,paleoz6icas,5666,5677,B-UNIDADE_CRONO
87,Juá,5693,5696,I-UNIDADE_LITO
88,Devoniano,5698,5707,B-UNIDADE_CRONO
89,Curituba,5726,5734,I-UNIDADE_LITO
90,Santa,5737,5742,I-UNIDADE_LITO
91,Brígida,5743,5750,I-UNIDADE_LITO
92,siltitos,5755,5763,B-ROCHA
93,membro,5779,5785,B-UNIDADE_LITO
94,Ingá,5786,5790,I-UNIDADE_LITO
95,formação,5811,5819,B-UNIDADE_LITO
96,Santa,5820,5825,I-UNIDADE_LITO
97,Bríiida,5826,5833,I-UNIDADE_LITO
98,rocha,5868,5873,B-ROCHA
99,bacia,5925,5930,B-BACIA
100,paleoz6ico,5964,5974,B-UNIDADE_CRONO
101,Fazenda,6045,6052,B-CAMPO
102,Bar,6053,6056,I-CAMPO
103,udi,6057,6060,I-CAMPO
104,formação,6093,6101,B-UNIDADE_LITO
105,Santa,6102,6107,I-UNIDADE_LITO
106,Brígida,6108,6115,I-UNIDADE_LITO
107,formação,6151,6159,B-UNIDADE_LITO
108,Candeias,6160,6168,I-UNIDADE_LITO
109,Grupo,6180,6185,B-UNIDADE_LITO
110,Brotas,6186,6192,I-UNIDADE_LITO
111,idade,6212,6217,B-UNIDADE_CRONO
112,cretácica,6218,6227,I-UNIDADE_CRONO
113,Cretá,6363,6368,B-UNIDADE_CRONO
114,ceo,6369,6372,I-UNIDADE_CRONO
115,PaleozÓico,6445,6455,B-UNIDADE_CRONO
116,paleozóioa,6529,6539,B-UNIDADE_CRONO
117,bacia,6543,6548,B-BACIA
118,de,6549,6551,I-BACIA
119,Tucano,6552,6558,I-BACIA
120,bacias,6602,6608,B-BACIA
121,água,6878,6882,B-FLUIDODATERRA
122,eoeno,31719,31724,B-UNIDADE_CRONO
123,arenito,38384,38391,B-ROCHA
124,Folholho,38437,38445,B-ROCHA
125,Calcário,39859,39867,B-ROCHA
126,folhelhos,39932,39941,B-ROCHA
127,folhelhos,40120,40129,B-ROCHA
128,Arenit.,47935,47942,B-ROCHA
129,Arenito,48393,48400,B-ROCHA
130,Areni,48563,48568,B-ROCHA
131,arenito,52747,52754,B-ROCHA
132,arenito,52813,52820,B-ROCHA
133,folhelho,52862,52870,B-ROCHA
134,argilas,54734,54741,B-NÃOCONSOLID
135,Pote,54789,54793,B-POÇO
136,nº,54794,54796,I-POÇO
137,Polhelhos,54812,54821,B-ROCHA
138,areni,55903,55908,B-ROCHA
139,Siltito,57979,57986,B-ROCHA
140,óleo,58053,58057,B-FLUIDODATERRA
141,Arenito,58199,58206,B-ROCHA
142,renito,58270,58276,B-ROCHA
143,Arenito,58427,58434,B-ROCHA
144,Arenito,58509,58516,B-ROCHA
145,Siltito,58623,58630,B-ROCHA
146,Areid.t.,61748,61756,B-ROCHA
147,Felhelho,61834,61842,B-ROCHA
148,arenitos,61875,61883,B-ROCHA
149,sedimentos,62110,62120,B-NÃOCONSOLID
150,Follelho,65027,65035,B-ROCHA
151,Arenito,65203,65210,B-ROCHA
152,arenito,66684,66691,B-ROCHA
153,Grupo,70884,70889,B-UNIDADE_LITO
154,Brotas,70890,70896,I-UNIDADE_LITO
155,arenito,70921,70928,B-ROCHA
156,Alianças,70965,70973,I-UNIDADE_LITO
157,seixos,74905,74911,B-NÃOCONSOLID
158,Arenito,75006,75013,B-ROCHA
159,Fol,75311,75314,B-ROCHA
160,arenitos,75349,75357,B-ROCHA
161,Arenito,75365,75372,B-ROCHA
162,Arenito,75420,75427,B-ROCHA
163,folbelho,75615,75623,B-ROCHA
164,arenito,75651,75658,B-ROCHA
165,renlto,75681,75687,B-ROCHA
166,arenito,78249,78256,B-ROCHA
167,Folhelhos,78264,78273,B-ROCHA
168,Arenito,78323,78330,B-ROCHA
169,renlto,78383,78389,B-ROCHA
170,eiltitoB,78460,78468,B-ROCHA
171,Arenito,78512,78519,B-ROCHA
172,Folhelho,78564,78572,B-ROCHA
173,arenito,78650,78657,B-ROCHA
174,Arenito,78740,78747,B-ROCHA
175,Folhelhos,78857,78866,B-ROCHA
176,Arenito,78922,78929,B-ROCHA
177,co,78990,78992,B-ROCHA
178,seixos,78993,78999,B-NÃOCONSOLID
179,SiItitos,79021,79029,B-ROCHA
180,arenitos,79061,79069,B-ROCHA
181,arenito,84914,84921,B-ROCHA
182,Arenite,84954,84961,B-ROCHA
183,FORMAÇÃO,86162,86170,B-UNIDADE_LITO
184,Arenito,87256,87263,B-ROCHA
185,Arenito,87383,87390,B-ROCHA
186,Arenito,87476,87483,B-ROCHA
187,Folhelh,87517,87524,B-ROCHA
188,Arenito,87554,87561,B-ROCHA
189,folhel,87590,87596,B-ROCHA
190,Ilhas,89428,89433,I-UNIDADE_LITO
191,Arati,101086,101091,B-BACIA
192,formação,112490,112498,B-UNIDADE_LITO
193,Ilhas,112499,112504,I-UNIDADE_LITO
194,Poço,114238,114242,B-POÇO
195,Bacia,114268,114273,B-BACIA
196,de,114274,114276,I-BACIA
197,Tucano,114277,114283,I-BACIA
198,Tucano,114333,114339,B-BACIA
199,PréCambriane,117161,117173,B-UNIDADE_CRONO
