,TEXT,START,END,LABEL
0,Água,553,557,B-CAMPO
1,Grande,558,564,I-CAMPO
2,Campo,621,626,B-CAMPO
3,de,627,629,I-CAMPO
4,Agua,630,634,I-CAMPO
5,Grande,635,641,I-CAMPO
6,Campo,1292,1297,B-CAMPO
7,de,1298,1300,I-CAMPO
8,Agua,1301,1305,I-CAMPO
9,Grande,1306,1312,I-CAMPO
10,arenito,1429,1436,B-ROCHA
11,óleo,1488,1492,B-FLUIDODATERRA
12,Campo,1963,1968,B-CAMPO
13,de,1969,1971,I-CAMPO
14,Água,1972,1976,I-CAMPO
15,Grande,1977,1983,I-CAMPO
16,campo,2218,2223,B-CAMPO
17,poços,2410,2415,B-POÇO
18,campo,2422,2427,B-CAMPO
19,poço,2543,2547,B-POÇO
20,arenito,2769,2776,B-ROCHA
21,Agua,4489,4493,B-CAMPO
