,TEXT,START,END,LABEL
0,ou-TG-18,204,212,B-POÇO
1,Bacia,259,264,B-BACIA
2,de,265,267,I-BACIA
3,latobã,268,274,I-BACIA
4,rocha.,2208,2214,B-ROCHA
5,Siluriana,2432,2441,B-UNIDADE_CRONO
6,Jatoltá,2627,2634,B-BACIA
7,Devoniana,2795,2804,B-UNIDADE_CRONO
8,rochas,2925,2931,B-ROCHA
9,Tuoano,3104,3110,B-UNIDADE_CRONO
10,Jatoàá,3772,3778,B-BACIA
11,Araripe,3910,3917,B-BACIA
12,poços,4328,4333,B-POÇO
13,G-18,10753,10757,B-POÇO
14,Bacia,12729,12734,B-BACIA
15,formação,34800,34808,B-UNIDADE_LITO
16,Cabeças,34809,34816,I-UNIDADE_LITO
17,idade,34841,34846,B-UNIDADE_CRONO
18,Carbonifera,34847,34858,I-UNIDADE_CRONO
19,idade,34869,34874,B-UNIDADE_CRONO
20,Devoniana,34875,34884,I-UNIDADE_CRONO
21,Rochas,37602,37608,B-ROCHA
22,Formaçao,39288,39296,B-UNIDADE_LITO
23,Candeias,39297,39305,I-UNIDADE_LITO
24,arenitos,49059,49067,B-ROCHA
25,areBit,51407,51413,B-ROCHA
26,areni,55491,55496,B-ROCHA
27,Arenite,55758,55765,B-ROCHA
28,arenitos,59930,59938,B-ROCHA
29,arenitos,60002,60010,B-ROCHA
30,Siltito,62385,62392,B-ROCHA
31,arenito,66818,66825,B-ROCHA
32,arenito,68043,68050,B-ROCHA
33,FORMAÇÃO,81355,81363,B-UNIDADE_LITO
34,Arenite,81397,81404,B-ROCHA
35,rocha,85031,85036,B-ROCHA
36,Folhelho,86371,86379,B-ROCHA
37,Candeias,89010,89018,I-UNIDADE_LITO
38,Cretáceo,89048,89056,B-UNIDADE_CRONO
39,idade,89058,89063,B-UNIDADE_CRONO
40,Barriasiano,89064,89075,I-UNIDADE_CRONO
41,arenit,90749,90755,B-ROCHA
42,arenito,92415,92422,B-ROCHA
43,arenit,95831,95837,B-ROCHA
44,areni,97276,97281,B-ROCHA
45,areni~,98539,98545,B-ROCHA
46,Arenite,100696,100703,B-ROCHA
47,Arenit,101021,101027,B-ROCHA
48,Arenito,101189,101196,B-ROCHA
49,areni,101520,101525,B-ROCHA
50,Bacia,107663,107668,B-BACIA
51,areni,127662,127667,B-ROCHA
52,areni,128458,128463,B-ROCHA
53,água,133306,133310,B-FLUIDODATERRA
54,água,134355,134359,B-FLUIDODATERRA
55,arenitos,134376,134384,B-ROCHA
56,arenit,135603,135609,B-ROCHA
57,arenit,136880,136886,B-ROCHA
58,arenit,136946,136952,B-ROCHA
59,Formaçao,137397,137405,B-UNIDADE_LITO
60,Sergi,137406,137411,I-UNIDADE_LITO
61,Formagae,137420,137428,B-UNIDADE_LITO
62,Candeiast,137429,137438,I-UNIDADE_LITO
