,TEXT,START,END,LABEL
0,campo,75,80,B-CAMPO
1,de,81,83,I-CAMPO
2,Santana,84,91,I-CAMPO
3,Sa-1,672,676,B-POÇO
4,Sa-7,682,686,B-POÇO
5,campo,727,732,B-CAMPO
6,Sa-14-BA,986,994,B-POÇO
7,campo,1144,1149,B-CAMPO
8,de,1150,1152,I-CAMPO
9,Santana,1153,1160,I-CAMPO
10,campo,1433,1438,B-CAMPO
11,Sa-1,1706,1710,B-POÇO
12,Sa-7,1716,1720,B-POÇO
13,campo,1761,1766,B-CAMPO
14,Sa-14-BA,1899,1907,B-POÇO
15,Sa-13-BA,2330,2338,B-POÇO
16,Formação,2443,2451,B-UNIDADE_LITO
17,Candeias,2452,2460,I-UNIDADE_LITO
18,Santana,4886,4893,B-CAMPO
19,Buracica,4913,4921,B-CAMPO
20,Buracica,4940,4948,B-CAMPO
21,Sa-6~BA,5754,5761,B-POÇO
