,TEXT,START,END,LABEL
0,Bacia,126,131,B-BACIA
1,do,132,134,I-BACIA
2,Maranblon,135,144,I-BACIA
3,Bacia,718,723,B-BACIA
4,do,724,726,I-BACIA
5,Maranhão,727,735,I-BACIA
6,sedimentos,1088,1098,B-NÃOCONSOLID
7,silurianos,1099,1109,B-UNIDADE_CRONO
8,devonianos,1112,1122,B-UNIDADE_CRONO
9,bacia,1332,1337,B-BACIA
10,Bacia,1354,1359,B-BACIA
11,poços,1708,1713,B-POÇO
12,Bacia,1717,1722,B-BACIA
13,do,1723,1725,I-BACIA
14,Merenhie,1726,1734,I-BACIA
15,familia,2488,2495,B-UNIDADE_LITO
16,Tasmanaceae,2496,2507,I-UNIDADE_LITO
17,família,2864,2871,B-UNIDADE_LITO
18,Tasmenacene,2872,2883,I-UNIDADE_LITO
19,Sie,3468,3471,B-UNIDADE_CRONO
20,luriano,3472,3479,I-UNIDADE_CRONO
21,Devoniano,3486,3495,B-UNIDADE_CRONO
22,do,3496,3498,I-UNIDADE_CRONO
23,Folhelhe,4380,4388,B-ROCHA
24,barreirânha,4389,4400,I-ROCHA
25,idade,4404,4409,B-UNIDADE_CRONO
26,devoniana,4410,4419,I-UNIDADE_CRONO
27,Silurianos,4517,4527,B-UNIDADE_CRONO
28,Tasmunâceos,4915,4926,B-UNIDADE_CRONO
29,Devoniauo,10105,10114,B-UNIDADE_CRONO
30,mississipiano,10403,10416,B-UNIDADE_CRONO
31,inferior,10417,10425,I-UNIDADE_CRONO
32,devoniana,10428,10437,B-UNIDADE_CRONO
33,superiors,10438,10447,I-UNIDADE_CRONO
34,Devoniano,10603,10612,B-UNIDADE_CRONO
35,médio,10613,10618,I-UNIDADE_CRONO
36,Idade,10791,10796,B-UNIDADE_CRONO
37,devoniana,10797,10806,B-UNIDADE_CRONO
38,idade,10907,10912,B-UNIDADE_CRONO
39,siluriana,10913,10922,I-UNIDADE_CRONO
40,poços,11107,11112,B-POÇO
41,poço,11284,11288,B-POÇO
42,devonianas,12053,12063,B-UNIDADE_CRONO
43,bacias,12650,12656,B-BACIA
44,Bacia,12696,12701,B-BACIA
45,Amazônica,12702,12711,I-BACIA
46,Bacia,12716,12721,B-BACIA
47,do,12722,12724,I-BACIA
48,Paranã,12725,12731,I-BACIA
