,TEXT,START,END,LABEL
0,sedimentos,1353,1363,B-NÃOCONSOLID
1,Recôncavo,1367,1376,B-BACIA
2,sedimentos,1419,1429,B-NÃOCONSOLID
3,Permiano,1565,1573,B-UNIDADE_CRONO
4,Cretáceo,1626,1634,B-UNIDADE_CRONO
5,bacias,1844,1850,B-BACIA
6,sedimentos,1858,1868,B-NÃOCONSOLID
7,Recôncavo-Tucano,1925,1941,B-BACIA
8,sedimentos,3842,3852,B-NÃOCONSOLID
9,Recôncavo,3856,3865,B-BACIA
10,bacia,3919,3924,B-BACIA
11,sedimentos,4196,4206,B-NÃOCONSOLID
12,bacia,4322,4327,B-BACIA
13,rochas,5049,5055,B-ROCHA
14,Carbonlfero,5463,5474,B-UNIDADE_CRONO
15,poços,5935,5940,B-POÇO
16,sedimentos,6338,6348,B-NÃOCONSOLID
17,Recôncavo,6352,6361,B-BACIA
18,Tucano,6364,6370,B-BACIA
19,arelho,7337,7343,B-ROCHA
20,água,7654,7658,B-FLUIDODATERRA
21,rocha,8436,8441,B-ROCHA
22,poços,10550,10555,B-POÇO
23,formação,11314,11322,B-UNIDADE_LITO
24,Itaparica,11323,11332,I-UNIDADE_LITO
25,Cretáceo,11447,11455,B-UNIDADE_CRONO
26,nferior,11456,11463,I-UNIDADE_CRONO
27,poços,11497,11502,B-POÇO
28,sedimentos,11945,11955,B-NÃOCONSOLID
29,formações,11965,11974,B-UNIDADE_LITO
30,Itaparica,11975,11984,I-UNIDADE_LITO
31,bacia,12571,12576,B-BACIA
32,Recôncavo,13181,13190,B-BACIA
33,Recôncavo,13829,13838,B-BACIA
34,sedimentos,15410,15420,B-NÃOCONSOLID
35,folhelhos,15444,15453,B-ROCHA
36,rochas,15620,15626,B-ROCHA
37,ecôncavo,16371,16379,B-BACIA
38,po,16727,16729,B-POÇO
39,ços,16730,16733,B-POÇO
40,campo,16737,16742,B-CAMPO
41,de,16743,16745,I-CAMPO
42,MapeIe,16746,16752,I-CAMPO
43,Bacia,17500,17505,B-BACIA
44,Alagoas,17506,17513,I-BACIA
45,/Sergipe,17513,17521,I-BACIA
46,bacia,17886,17891,B-BACIA
47,do,17892,17894,I-BACIA
48,Recôncavo,17895,17904,I-BACIA
49,sedimentos,17964,17974,B-NÃOCONSOLID
50,bacia,19023,19028,B-BACIA
51,do,19029,19031,I-BACIA
52,Recôncavo,19032,19041,I-BACIA
53,agua,19214,19218,B-FLUIDODATERRA
54,bacia,20279,20284,B-BACIA
55,água,20565,20569,B-FLUIDODATERRA
56,sedimentos,21015,21025,B-NÃOCONSOLID
57,bacia,21410,21415,B-BACIA
58,poços,21939,21944,B-POÇO
59,Tucano,22967,22973,B-BACIA
